variant,condition,food_site_count,food_site_radius,seeds,mean_final_recruitment_advantage,median_final_recruitment_advantage,mean_tail_recruitment_advantage,median_tail_recruitment_advantage,useful_fraction,mean_final_directional_bias,mean_final_receiver_attention,mean_final_dance_propensity,mean_final_success,mean_final_payoff,mean_final_floor_fraction,mean_tail_floor_fraction,mean_tail_dance_follow_share
baseline,c1_r15m,1,15.000000,50,0.000000,0.000000,0.002579,0.000000,0.060000,0.395847,0.376394,0.604414,0.000551,0.001000,1.000000,1.000000,0.081280
baseline,c1_r37.5m,1,37.500000,50,0.041907,0.000000,0.035817,0.035328,0.780000,0.362889,0.391514,0.588044,0.001457,0.001000,1.000000,1.000000,0.391566
baseline,c1_r75m,1,75.000000,50,0.045215,0.047173,0.048657,0.048962,0.940000,0.385652,0.408694,0.615108,0.002683,0.001000,1.000000,1.000000,0.406159
baseline,c1_r150m,1,150.000000,50,0.085340,0.087740,0.082926,0.080338,1,0.387972,0.397018,0.582656,0.004141,0.001151,0.998333,0.998900,0.356751
baseline,c1_r300m,1,300.000000,50,0.133749,0.137554,0.127746,0.136099,0.940000,0.373411,0.418894,0.625164,0.002972,0.009149,0.943333,0.947533,0.437602
baseline,c1_r600m,1,600.000000,50,0.176418,0.198555,0.165121,0.161592,1,0.546433,0.629730,0.621312,0.030575,0.116371,0.529333,0.525633,0.601995
baseline,c2_r15m,2,15.000000,50,0.011333,0.000000,0.004107,0.000000,0.100000,0.384868,0.380040,0.622882,0.001043,0.001000,1.000000,1.000000,0.113166
baseline,c2_r37.5m,2,37.500000,50,0.023584,0.021064,0.030288,0.029094,0.700000,0.394831,0.409970,0.631245,0.002629,0.001000,1.000000,1.000000,0.403588
baseline,c2_r75m,2,75.000000,50,0.048319,0.042817,0.048991,0.045663,0.980000,0.378905,0.381546,0.614095,0.006363,0.001000,1.000000,1.000000,0.388790
baseline,c2_r150m,2,150.000000,50,0.093372,0.080371,0.085345,0.079476,1,0.369795,0.414484,0.560038,0.004611,0.001261,0.998000,0.997000,0.406672
baseline,c2_r300m,2,300.000000,50,0.124593,0.148745,0.136579,0.138018,0.980000,0.419637,0.528568,0.634790,0.012396,0.023064,0.852000,0.867133,0.516604
baseline,c2_r600m,2,600.000000,50,0.276765,0.278480,0.276378,0.276115,1,0.841661,0.896033,0.639134,0.179104,0.925577,0.022000,0.020733,0.877067
baseline,c3_r15m,3,15.000000,50,0.019524,0.000000,0.012283,0.000000,0.280000,0.393324,0.392028,0.622138,0.001438,0.001000,1.000000,1.000000,0.147930
baseline,c3_r37.5m,3,37.500000,50,0.032282,0.029914,0.033660,0.031271,0.820000,0.351880,0.372974,0.619023,0.003810,0.001000,1.000000,1.000000,0.379335
baseline,c3_r75m,3,75.000000,50,0.046821,0.043285,0.048661,0.045005,1,0.395858,0.363169,0.626224,0.008991,0.001000,1.000000,0.999967,0.364408
baseline,c3_r150m,3,150.000000,50,0.090883,0.088839,0.081548,0.086244,0.980000,0.419887,0.466832,0.669536,0.006714,0.001363,0.996000,0.994833,0.457364
baseline,c3_r300m,3,300.000000,50,0.187543,0.193619,0.185599,0.195934,1,0.759970,0.836648,0.649508,0.090544,0.162178,0.458333,0.487067,0.808939
baseline,c3_r600m,3,600.000000,50,0.259871,0.256515,0.258647,0.258067,1,0.812320,0.860961,0.614433,0.245709,1.729074,0.000667,0.000300,0.853940
baseline,c4_r15m,4,15.000000,50,-0.012448,0.000000,0.012403,0.000000,0.260000,0.369594,0.362747,0.576560,0.002089,0.001000,1.000000,1.000000,0.199193
baseline,c4_r37.5m,4,37.500000,50,0.036383,0.037416,0.034907,0.032239,0.860000,0.389919,0.410298,0.630237,0.005510,0.001000,1.000000,1.000000,0.389890
baseline,c4_r75m,4,75.000000,50,0.045291,0.043315,0.047158,0.043923,1,0.378329,0.377115,0.593539,0.011614,0.001000,1.000000,1.000000,0.384360
baseline,c4_r150m,4,150.000000,50,0.100202,0.111938,0.104076,0.116480,1,0.556395,0.619881,0.585287,0.012612,0.002176,0.984667,0.985333,0.611086
baseline,c4_r300m,4,300.000000,50,0.193957,0.195145,0.192780,0.193053,1,0.865003,0.898596,0.660841,0.145395,0.512830,0.081667,0.091500,0.882151
baseline,c4_r600m,4,600.000000,50,0.246377,0.249838,0.244780,0.245849,1,0.793092,0.853169,0.612272,0.303254,2.441676,0.000000,0.000000,0.841028
baseline,c6_r15m,6,15.000000,50,0.019667,0.000000,0.013441,0.000000,0.320000,0.379445,0.388221,0.592158,0.002987,0.001000,1.000000,1.000000,0.222272
baseline,c6_r37.5m,6,37.500000,50,0.029399,0.027345,0.034444,0.031649,0.860000,0.378783,0.369416,0.603128,0.007983,0.001000,1.000000,1.000000,0.352838
baseline,c6_r75m,6,75.000000,50,0.049004,0.042668,0.047071,0.044008,0.980000,0.360376,0.376735,0.618308,0.016832,0.001000,1.000000,1.000000,0.360992
baseline,c6_r150m,6,150.000000,50,0.120498,0.122474,0.114078,0.119497,1,0.809146,0.867282,0.684996,0.069550,0.031606,0.796000,0.809233,0.847562
baseline,c6_r300m,6,300.000000,50,0.179091,0.180383,0.180390,0.181406,1,0.830225,0.871684,0.675790,0.195512,1.118901,0.001333,0.001033,0.853585
baseline,c6_r600m,6,600.000000,50,0.215132,0.218175,0.211605,0.215955,1,0.742179,0.820846,0.682382,0.387659,3.501018,0.000000,0.000000,0.802146
baseline,c8_r15m,8,15.000000,50,0.003365,0.000000,0.012556,0.004583,0.260000,0.378758,0.373545,0.608077,0.004448,0.001000,1.000000,1.000000,0.270635
baseline,c8_r37.5m,8,37.500000,50,0.031512,0.032323,0.034141,0.032223,0.880000,0.378706,0.381700,0.680726,0.011330,0.001000,1.000000,1.000000,0.378024
baseline,c8_r75m,8,75.000000,50,0.041414,0.039751,0.043971,0.044035,1,0.368621,0.386223,0.591356,0.023549,0.001000,1.000000,0.999967,0.368842
baseline,c8_r150m,8,150.000000,50,0.115604,0.113628,0.115165,0.115030,1,0.882933,0.902526,0.685111,0.116434,0.188352,0.326333,0.343167,0.886617
baseline,c8_r300m,8,300.000000,50,0.168043,0.170248,0.168364,0.169623,1,0.796584,0.853916,0.602596,0.240229,1.667028,0.000000,0.000000,0.837687
baseline,c8_r600m,8,600.000000,50,0.192116,0.192496,0.187148,0.188831,1,0.717605,0.783305,0.638315,0.459741,4.393100,0.000000,0.000000,0.758825
baseline,c12_r15m,12,15.000000,50,0.018324,0.000000,0.030285,0.021663,0.560000,0.400449,0.407752,0.637545,0.006371,0.001000,1.000000,1.000000,0.355358
baseline,c12_r37.5m,12,37.500000,50,0.032883,0.029552,0.030741,0.027367,0.780000,0.372625,0.333024,0.624187,0.018149,0.001000,1.000000,1.000000,0.334738
baseline,c12_r75m,12,75.000000,50,0.059665,0.062022,0.056752,0.056998,0.980000,0.577409,0.629109,0.658796,0.041250,0.001689,0.990667,0.991000,0.587529
baseline,c12_r150m,12,150.000000,50,0.103814,0.102031,0.104845,0.106197,1,0.838884,0.863874,0.650521,0.160512,0.670919,0.010333,0.009333,0.852460
baseline,c12_r300m,12,300.000000,50,0.150889,0.150375,0.148912,0.151977,1,0.766560,0.808683,0.608039,0.313828,2.594676,0.000000,0.000000,0.787281
baseline,c12_r600m,12,600.000000,50,0.142940,0.143637,0.141448,0.144197,1,0.628628,0.680080,0.592635,0.549817,5.551002,0.000000,0.000000,0.649713
baseline,c16_r15m,16,15.000000,50,0.013065,0.000000,0.008457,-0.000375,0.260000,0.373386,0.390325,0.634261,0.007908,0.001000,1.000000,1.000000,0.350775
baseline,c16_r37.5m,16,37.500000,50,0.026223,0.026313,0.028589,0.029486,0.760000,0.368609,0.404890,0.628481,0.021354,0.001000,1.000000,1.000000,0.390086
baseline,c16_r75m,16,75.000000,50,0.063499,0.063702,0.064283,0.065011,0.980000,0.821364,0.874621,0.694252,0.094096,0.031741,0.764667,0.764433,0.837455
baseline,c16_r150m,16,150.000000,50,0.097885,0.097506,0.097393,0.098467,1,0.797375,0.796853,0.620893,0.197387,1.133532,0.000000,0.000033,0.782762
baseline,c16_r300m,16,300.000000,50,0.125487,0.125013,0.121643,0.123102,1,0.655707,0.704315,0.574743,0.365049,3.242282,0.000000,0.000000,0.676702
baseline,c16_r600m,16,600.000000,50,0.103766,0.107285,0.098855,0.098001,1,0.519224,0.606236,0.597002,0.624356,6.501125,0.000000,0.000000,0.576024
baseline,c24_r15m,24,15.000000,50,0.011224,0.000000,0.026020,0.023968,0.560000,0.396634,0.389115,0.654567,0.011931,0.001000,1.000000,1.000000,0.365687
baseline,c24_r37.5m,24,37.500000,50,0.028308,0.027413,0.025952,0.024493,0.620000,0.346865,0.376746,0.581380,0.030924,0.001000,1.000000,0.999933,0.392424
baseline,c24_r75m,24,75.000000,50,0.059376,0.059602,0.058366,0.059157,1,0.790388,0.789619,0.620266,0.135038,0.362794,0.051667,0.048533,0.765687
baseline,c24_r150m,24,150.000000,50,0.081076,0.082003,0.078198,0.079758,1,0.710522,0.688913,0.606909,0.261122,1.931833,0.000000,0.000000,0.653758
baseline,c24_r300m,24,300.000000,50,0.093079,0.097882,0.092513,0.096992,1,0.590920,0.622987,0.630603,0.458307,4.427127,0.000000,0.000000,0.588302
baseline,c24_r600m,24,600.000000,50,0.063324,0.064017,0.063788,0.061948,1,0.451531,0.525610,0.615093,0.736668,7.949081,0.000000,0.000000,0.497483
