variant,condition,food_site_count,food_site_radius,seed,final_recruitment_advantage,tail_recruitment_advantage,final_directional_bias,final_receiver_attention,final_dance_propensity,final_success,final_payoff,final_floor_fraction,tail_floor_fraction,tail_dance_follow_share
common_draws,c1_r15m,1,15.000000,402,0.073864,0.007386,0.207255,0.367820,0.754853,0.001056,0.001000,1.000000,1.000000,0.074230
common_draws,c1_r15m,1,15.000000,403,0.000000,0.000000,0.422740,0.315174,0.841691,0.000694,0.001000,1.000000,1.000000,0.000000
common_draws,c1_r15m,1,15.000000,409,0.000000,0.000000,0.322690,0.302351,0.477844,0.001417,0.001000,1.000000,1.000000,0.020000
common_draws,c1_r15m,1,15.000000,408,0.000000,0.000000,0.364040,0.379405,0.492540,0.001083,0.001000,1.000000,1.000000,0.000000
common_draws,c1_r15m,1,15.000000,407,0.000000,-0.003125,0.160603,0.194405,0.821849,0.000194,0.001000,1.000000,1.000000,0.031042
common_draws,c1_r15m,1,15.000000,417,0.000000,0.000000,0.168719,0.441262,0.678796,0.000528,0.001000,1.000000,1.000000,0.040000
common_draws,c1_r15m,1,15.000000,416,0.000000,0.000000,0.263285,0.457438,0.645018,0.000306,0.001000,1.000000,1.000000,0.000000
common_draws,c1_r15m,1,15.000000,418,0.000000,0.000000,0.316306,0.591427,0.452529,0.000417,0.001000,1.000000,1.000000,0.028571
common_draws,c1_r15m,1,15.000000,412,0.000000,0.000000,0.491522,0.386038,0.531548,0.000083,0.001000,1.000000,1.000000,0.000000
common_draws,c1_r15m,1,15.000000,406,0.000000,0.005263,0.338998,0.512702,0.687208,0.000750,0.001000,1.000000,1.000000,0.057576
common_draws,c1_r15m,1,15.000000,410,0.000000,0.000000,0.435602,0.418434,0.669601,0.000361,0.001000,1.000000,1.000000,0.000000
common_draws,c1_r15m,1,15.000000,411,0.000000,0.000000,0.469067,0.304222,0.588070,0.000556,0.001000,1.000000,1.000000,0.000000
common_draws,c1_r15m,1,15.000000,404,0.000000,0.000000,0.178535,0.551160,0.840394,0.000139,0.001000,1.000000,1.000000,0.068966
common_draws,c1_r15m,1,15.000000,414,0.000000,0.000000,0.533412,0.480718,0.759512,0.000778,0.001000,1.000000,1.000000,0.057143
common_draws,c1_r15m,1,15.000000,415,0.000000,0.000000,0.285081,0.371057,0.749983,0.000389,0.001000,1.000000,1.000000,0.000000
common_draws,c1_r15m,1,15.000000,401,0.000000,0.009524,0.213090,0.401922,0.764733,0.000444,0.001000,1.000000,1.000000,0.035000
common_draws,c1_r15m,1,15.000000,405,0.000000,0.000000,0.146703,0.421994,0.818467,0.000611,0.001000,1.000000,1.000000,0.071429
common_draws,c1_r15m,1,15.000000,400,0.052632,0.005263,0.284751,0.701593,0.609991,0.001028,0.001000,1.000000,1.000000,0.073077
common_draws,c1_r15m,1,15.000000,413,0.000000,0.000000,0.293443,0.242046,0.666097,0.000667,0.001000,1.000000,1.000000,0.000000
common_draws,c1_r15m,1,15.000000,419,0.000000,0.000000,0.246267,0.281272,0.869930,0.000528,0.001000,1.000000,1.000000,0.040000
common_draws,c1_r15m,1,15.000000,420,0.000000,0.000000,0.583798,0.231467,0.719226,0.000806,0.001000,1.000000,1.000000,0.000000
common_draws,c1_r15m,1,15.000000,422,0.000000,0.000000,0.203177,0.403518,0.804978,0.000111,0.001000,1.000000,1.000000,0.000000
common_draws,c1_r15m,1,15.000000,421,0.000000,0.000000,0.357045,0.482598,0.589920,0.000222,0.001000,1.000000,1.000000,0.013333
common_draws,c1_r15m,1,15.000000,423,0.000000,0.000000,0.369983,0.193091,0.433403,0.000278,0.001000,1.000000,1.000000,0.038095
common_draws,c1_r15m,1,15.000000,435,0.000000,0.000000,0.678157,0.518008,0.703649,0.000500,0.001000,1.000000,1.000000,0.000000
common_draws,c1_r15m,1,15.000000,436,0.000000,0.000000,0.268554,0.555282,0.471505,0.000528,0.001000,1.000000,1.000000,0.000000
common_draws,c1_r15m,1,15.000000,437,0.000000,0.000000,0.450754,0.306144,0.476634,0.000222,0.001000,1.000000,1.000000,0.000000
common_draws,c1_r15m,1,15.000000,438,0.000000,0.000000,0.264492,0.269618,0.472919,0.000917,0.001000,1.000000,1.000000,0.000000
common_draws,c1_r15m,1,15.000000,439,0.000000,0.000000,0.377850,0.659101,0.498016,0.000500,0.001000,1.000000,1.000000,0.054167
common_draws,c1_r15m,1,15.000000,424,0.000000,0.000000,0.239397,0.430833,0.762558,0.000417,0.001000,1.000000,1.000000,0.050962
common_draws,c1_r15m,1,15.000000,425,0.000000,0.000000,0.476326,0.425130,0.682455,0.000167,0.001000,1.000000,1.000000,0.000000
common_draws,c1_r15m,1,15.000000,429,0.000000,0.000000,0.321117,0.314235,0.438546,0.000722,0.001000,1.000000,1.000000,0.000000
common_draws,c1_r15m,1,15.000000,428,0.000000,0.000000,0.372211,0.704881,0.533277,0.000306,0.001000,1.000000,1.000000,0.160000
common_draws,c1_r15m,1,15.000000,426,0.000000,0.011765,0.214634,0.532875,0.748052,0.000472,0.001000,1.000000,1.000000,0.097222
common_draws,c1_r15m,1,15.000000,430,0.000000,0.000000,0.164457,0.533220,0.839303,0.000250,0.001000,1.000000,1.000000,0.000000
common_draws,c1_r15m,1,15.000000,427,0.000000,0.025000,0.579662,0.238114,0.705031,0.001472,0.001000,1.000000,1.000000,0.074444
common_draws,c1_r15m,1,15.000000,431,0.000000,0.000000,0.388626,0.394512,0.828772,0.000750,0.001000,1.000000,1.000000,0.088095
common_draws,c1_r15m,1,15.000000,432,0.000000,0.000000,0.274068,0.500788,0.592834,0.000167,0.001000,1.000000,1.000000,0.027273
common_draws,c1_r15m,1,15.000000,434,0.000000,0.000000,0.392662,0.373801,0.786334,0.000417,0.001000,1.000000,1.000000,0.120238
common_draws,c1_r15m,1,15.000000,433,0.000000,0.000000,0.398058,0.270848,0.726393,0.000861,0.001000,1.000000,1.000000,0.101667
common_draws,c1_r15m,1,15.000000,440,0.000000,0.000000,0.269115,0.438164,0.792368,0.000417,0.001000,1.000000,1.000000,0.000000
common_draws,c1_r15m,1,15.000000,441,0.083333,0.008333,0.641762,0.481265,0.548761,0.000944,0.001000,1.000000,1.000000,0.102174
common_draws,c1_r15m,1,15.000000,442,0.000000,0.000000,0.422155,0.481235,0.768744,0.000417,0.001000,1.000000,1.000000,0.000000
common_draws,c1_r15m,1,15.000000,443,0.000000,0.000000,0.271259,0.311486,0.807238,0.000361,0.001000,1.000000,1.000000,0.000000
common_draws,c1_r15m,1,15.000000,444,0.000000,0.000000,0.352973,0.228294,0.829075,0.000417,0.001000,1.000000,1.000000,0.000000
common_draws,c1_r37.5m,1,37.500000,406,0.000000,0.005977,0.243237,0.215564,0.666529,0.000611,0.001000,1.000000,1.000000,0.228371
common_draws,c1_r37.5m,1,37.500000,407,0.000000,0.061467,0.471070,0.221721,0.507137,0.000417,0.001000,1.000000,1.000000,0.190437
common_draws,c1_r15m,1,15.000000,446,0.000000,0.000000,0.336246,0.149602,0.602817,0.000611,0.001000,1.000000,1.000000,0.013043
common_draws,c1_r37.5m,1,37.500000,408,0.000000,0.053929,0.314179,0.426915,0.692271,0.000722,0.001000,1.000000,1.000000,0.375136
common_draws,c1_r37.5m,1,37.500000,409,0.041667,0.052530,0.418223,0.723379,0.699486,0.000778,0.001000,1.000000,1.000000,0.688386
common_draws,c1_r37.5m,1,37.500000,410,0.000000,-0.001798,0.395215,0.361525,0.860249,0.001667,0.001000,1.000000,1.000000,0.243808
common_draws,c1_r15m,1,15.000000,445,0.000000,0.000000,0.229909,0.305745,0.783522,0.000194,0.001000,1.000000,1.000000,0.132857
common_draws,c1_r15m,1,15.000000,448,0.000000,0.000000,0.326582,0.420337,0.390579,0.000361,0.001000,1.000000,1.000000,0.000000
common_draws,c1_r15m,1,15.000000,447,0.000000,0.000000,0.585592,0.277375,0.448661,0.000306,0.001000,1.000000,1.000000,0.018750
common_draws,c1_r15m,1,15.000000,449,0.000000,0.000000,0.386711,0.534766,0.722581,0.000472,0.001000,1.000000,1.000000,0.020690
common_draws,c1_r37.5m,1,37.500000,402,0.000000,0.004630,0.556517,0.230901,0.599613,0.000722,0.001000,1.000000,1.000000,0.269646
common_draws,c1_r37.5m,1,37.500000,400,0.000000,0.002291,0.619959,0.232337,0.619003,0.001056,0.001000,1.000000,1.000000,0.272151
common_draws,c1_r37.5m,1,37.500000,403,-0.047619,0.015966,0.330109,0.615003,0.486811,0.002083,0.001000,1.000000,1.000000,0.589593
common_draws,c1_r37.5m,1,37.500000,411,0.000000,0.053255,0.388866,0.157724,0.710847,0.001194,0.001000,1.000000,1.000000,0.152213
common_draws,c1_r37.5m,1,37.500000,401,-0.021277,0.008372,0.243886,0.289540,0.422031,0.002083,0.001000,1.000000,1.000000,0.279927
common_draws,c1_r37.5m,1,37.500000,412,-0.050000,0.003329,0.361660,0.346457,0.363040,0.001111,0.001000,1.000000,1.000000,0.279954
common_draws,c1_r37.5m,1,37.500000,405,-0.066667,0.044358,0.523470,0.604682,0.625236,0.001889,0.001000,1.000000,1.000000,0.641569
common_draws,c1_r37.5m,1,37.500000,404,0.000000,0.011801,0.231125,0.128026,0.765600,0.001111,0.001000,1.000000,1.000000,0.179401
common_draws,c1_r37.5m,1,37.500000,413,0.000000,0.005412,0.182768,0.243436,0.654013,0.000833,0.001000,1.000000,1.000000,0.268716
common_draws,c1_r37.5m,1,37.500000,414,0.000000,0.041850,0.234084,0.169500,0.785292,0.001361,0.001000,1.000000,1.000000,0.165392
common_draws,c1_r37.5m,1,37.500000,415,0.000000,0.054469,0.634044,0.401118,0.551264,0.000972,0.001000,1.000000,1.000000,0.262842
