variant,condition,food_site_count,food_site_radius,seeds,mean_final_recruitment_advantage,median_final_recruitment_advantage,mean_tail_recruitment_advantage,median_tail_recruitment_advantage,useful_fraction,mean_final_directional_bias,mean_final_receiver_attention,mean_final_dance_propensity,mean_final_success,mean_final_payoff,mean_final_floor_fraction,mean_tail_floor_fraction,mean_tail_dance_follow_share
common_draws,c1_r15m,1,15.000000,50,0.004197,0.000000,0.001388,0.000000,0.020000,0.346789,0.401775,0.664576,0.000532,0.001000,1.000000,1.000000,0.034201
common_draws,c1_r37.5m,1,37.500000,50,0.023063,0.000000,0.024480,0.017641,0.460000,0.379650,0.368084,0.603947,0.001447,0.001000,1.000000,1.000000,0.353699
common_draws,c1_r75m,1,75.000000,50,0.053142,0.044469,0.044926,0.043178,0.920000,0.389164,0.407617,0.583934,0.003089,0.001000,1.000000,1.000000,0.407214
common_draws,c1_r150m,1,150.000000,50,0.082637,0.075702,0.072030,0.066620,0.980000,0.386998,0.401476,0.617245,0.006326,0.001000,1.000000,0.998967,0.377536
common_draws,c1_r300m,1,300.000000,50,0.152816,0.138146,0.137439,0.134609,1,0.508448,0.567403,0.601537,0.007288,0.001221,0.992333,0.965733,0.561123
common_draws,c1_r600m,1,600.000000,50,0.257718,0.260289,0.253615,0.257669,1,0.813930,0.897701,0.660950,0.054704,0.140685,0.472667,0.484900,0.877268
common_draws,c2_r15m,2,15.000000,50,0.003333,0.000000,0.001703,0.000000,0.020000,0.378612,0.430695,0.657982,0.001090,0.001000,1.000000,1.000000,0.071284
common_draws,c2_r37.5m,2,37.500000,50,0.042089,0.029129,0.029331,0.026411,0.600000,0.404965,0.386557,0.576259,0.002832,0.001000,1.000000,1.000000,0.369180
common_draws,c2_r75m,2,75.000000,50,0.053199,0.045136,0.043169,0.039662,0.940000,0.398589,0.372050,0.623286,0.006077,0.001001,0.999667,0.999967,0.365340
common_draws,c2_r150m,2,150.000000,50,0.080443,0.076237,0.078070,0.073744,1,0.395835,0.388588,0.621867,0.012028,0.001970,0.993333,0.998633,0.389478
