variant,condition,food_site_count,food_site_radius,seeds,mean_final_recruitment_advantage,median_final_recruitment_advantage,mean_tail_recruitment_advantage,median_tail_recruitment_advantage,useful_fraction,mean_final_directional_bias,mean_final_receiver_attention,mean_final_dance_propensity,mean_final_success,mean_final_payoff,mean_final_floor_fraction,mean_tail_floor_fraction,mean_tail_dance_follow_share
no_capacity_floor,c1_r15m,1,15.000000,50,0.000000,0.000000,0.002579,0.000000,0.060000,0.395847,0.376394,0.604414,0.000068,0.001000,1.000000,1.000000,0.081280
no_capacity_floor,c1_r37.5m,1,37.500000,50,0.041278,0.000000,0.036287,0.034203,0.780000,0.351683,0.385064,0.591478,0.000912,0.001000,1.000000,1.000000,0.389433
no_capacity_floor,c1_r75m,1,75.000000,50,0.044734,0.043388,0.050065,0.048969,0.960000,0.386865,0.411006,0.616355,0.002514,0.001000,1.000000,1.000000,0.408674
no_capacity_floor,c1_r150m,1,150.000000,50,0.081725,0.086472,0.083181,0.080653,1,0.390241,0.386033,0.585015,0.004029,0.001149,0.998667,0.999067,0.357084
no_capacity_floor,c1_r300m,1,300.000000,50,0.133749,0.137554,0.127746,0.136099,0.940000,0.373411,0.418894,0.625164,0.002972,0.009149,0.943333,0.947533,0.437602
no_capacity_floor,c1_r600m,1,600.000000,50,0.176418,0.198555,0.165121,0.161592,1,0.546433,0.629730,0.621312,0.030575,0.116371,0.529333,0.525633,0.601995
no_capacity_floor,c2_r15m,2,15.000000,50,0.011333,0.000000,0.004485,0.000000,0.120000,0.383373,0.379542,0.612260,0.000143,0.001000,1.000000,1.000000,0.125278
no_capacity_floor,c2_r37.5m,2,37.500000,50,0.024274,0.021626,0.028729,0.028398,0.760000,0.351277,0.375369,0.620434,0.001791,0.001000,1.000000,1.000000,0.389882
no_capacity_floor,c2_r75m,2,75.000000,50,0.047638,0.042972,0.046092,0.044635,0.980000,0.366434,0.368696,0.589744,0.005903,0.001000,1.000000,1.000000,0.365294
no_capacity_floor,c2_r150m,2,150.000000,50,0.095877,0.081290,0.085207,0.079517,1,0.360573,0.404170,0.572407,0.004248,0.001198,0.998333,0.996933,0.400051
no_capacity_floor,c2_r300m,2,300.000000,50,0.125629,0.148745,0.136709,0.138018,0.980000,0.421520,0.528071,0.633247,0.012254,0.023262,0.851333,0.867567,0.516146
no_capacity_floor,c2_r600m,2,600.000000,50,0.276765,0.278480,0.276378,0.276115,1,0.841661,0.896033,0.639134,0.179104,0.925577,0.022000,0.020733,0.877067
no_capacity_floor,c3_r15m,3,15.000000,50,0.019524,0.000000,0.013372,0.000000,0.280000,0.393917,0.389492,0.616231,0.000170,0.001000,1.000000,1.000000,0.146933
no_capacity_floor,c3_r37.5m,3,37.500000,50,0.034904,0.028997,0.035113,0.032366,0.840000,0.351475,0.395693,0.611782,0.002550,0.001000,1.000000,1.000000,0.388698
no_capacity_floor,c3_r75m,3,75.000000,50,0.050591,0.051583,0.050011,0.049354,0.960000,0.390018,0.379575,0.624832,0.007498,0.001000,1.000000,0.999933,0.370163
no_capacity_floor,c3_r150m,3,150.000000,50,0.105527,0.089578,0.085548,0.086941,0.980000,0.421355,0.454109,0.647390,0.007571,0.001400,0.995667,0.995233,0.441552
no_capacity_floor,c3_r300m,3,300.000000,50,0.189734,0.196397,0.186963,0.196734,1,0.762413,0.836928,0.630494,0.090102,0.163164,0.446333,0.489067,0.807237
no_capacity_floor,c3_r600m,3,600.000000,50,0.259871,0.256515,0.258647,0.258067,1,0.812320,0.860961,0.614433,0.245709,1.729074,0.000667,0.000300,0.853940
no_capacity_floor,c4_r15m,4,15.000000,50,-0.012448,0.000000,0.010328,0.000000,0.240000,0.374381,0.365426,0.591039,0.000257,0.001000,1.000000,1.000000,0.195580
no_capacity_floor,c4_r37.5m,4,37.500000,50,0.034823,0.031954,0.035447,0.031746,0.860000,0.415707,0.432057,0.635459,0.003372,0.001000,1.000000,1.000000,0.421092
no_capacity_floor,c4_r75m,4,75.000000,50,0.044638,0.042734,0.044131,0.041393,0.980000,0.367275,0.425474,0.630589,0.010964,0.001000,1.000000,0.999967,0.390584
no_capacity_floor,c4_r150m,4,150.000000,50,0.106659,0.114619,0.104036,0.113727,1,0.553020,0.531762,0.615641,0.010877,0.002153,0.988000,0.987367,0.529960
no_capacity_floor,c4_r300m,4,300.000000,50,0.195891,0.196198,0.193508,0.194279,1,0.869945,0.897485,0.625666,0.143444,0.489470,0.100667,0.094633,0.884066
no_capacity_floor,c4_r600m,4,600.000000,50,0.246377,0.249838,0.244780,0.245849,1,0.793092,0.853169,0.612272,0.303254,2.441676,0.000000,0.000000,0.841028
no_capacity_floor,c6_r15m,6,15.000000,50,0.031667,0.000000,0.017571,0.007045,0.340000,0.387047,0.377539,0.611837,0.000341,0.001000,1.000000,1.000000,0.235537
no_capacity_floor,c6_r37.5m,6,37.500000,50,0.024322,0.025461,0.030587,0.029667,0.800000,0.388687,0.396989,0.616533,0.005163,0.001000,1.000000,1.000000,0.381545
no_capacity_floor,c6_r75m,6,75.000000,50,0.045589,0.044214,0.045933,0.046180,0.940000,0.390376,0.398680,0.593007,0.016613,0.001000,1.000000,1.000000,0.395638
no_capacity_floor,c6_r150m,6,150.000000,50,0.118675,0.121756,0.115553,0.119730,1,0.805829,0.866326,0.680612,0.068234,0.031616,0.798000,0.815300,0.842139
no_capacity_floor,c6_r300m,6,300.000000,50,0.180073,0.180587,0.180958,0.181476,1,0.833437,0.871324,0.673710,0.195846,1.122033,0.001667,0.001667,0.858957
no_capacity_floor,c6_r600m,6,600.000000,50,0.214812,0.218175,0.211388,0.215955,1,0.743311,0.820146,0.681136,0.387538,3.499899,0.000000,0.000000,0.802197
no_capacity_floor,c8_r15m,8,15.000000,50,0.010315,0.000000,0.015457,0.010556,0.260000,0.386292,0.369606,0.615123,0.000551,0.001000,1.000000,1.000000,0.278295
no_capacity_floor,c8_r37.5m,8,37.500000,50,0.032270,0.032198,0.033456,0.033083,0.900000,0.351288,0.359243,0.588715,0.007183,0.001000,1.000000,1.000000,0.350115
no_capacity_floor,c8_r75m,8,75.000000,50,0.047527,0.043904,0.048261,0.047854,1,0.399376,0.337374,0.642871,0.021297,0.001002,0.999667,0.999933,0.342602
no_capacity_floor,c8_r150m,8,150.000000,50,0.114744,0.117571,0.116058,0.115917,1,0.874582,0.900339,0.639277,0.115159,0.178208,0.359333,0.344800,0.887728
no_capacity_floor,c8_r300m,8,300.000000,50,0.168887,0.172043,0.168869,0.170660,1,0.803559,0.850669,0.622124,0.241784,1.687089,0.000000,0.000067,0.840269
no_capacity_floor,c8_r600m,8,600.000000,50,0.192116,0.192496,0.187148,0.188831,1,0.717605,0.783305,0.638315,0.459741,4.393100,0.000000,0.000000,0.758825
no_capacity_floor,c12_r15m,12,15.000000,50,0.013071,0.000000,0.028169,0.022752,0.580000,0.393565,0.388452,0.630670,0.000772,0.001000,1.000000,1.000000,0.326631
no_capacity_floor,c12_r37.5m,12,37.500000,50,0.027245,0.024242,0.030547,0.029302,0.860000,0.363189,0.365740,0.598187,0.009626,0.001000,1.000000,1.000000,0.369280
no_capacity_floor,c12_r75m,12,75.000000,50,0.058144,0.060162,0.051910,0.051490,0.980000,0.493362,0.493945,0.599825,0.031681,0.001410,0.996667,0.996867,0.472910
no_capacity_floor,c12_r150m,12,150.000000,50,0.105898,0.106667,0.105445,0.104480,1,0.844534,0.860875,0.658871,0.159896,0.664333,0.007667,0.009967,0.845345
no_capacity_floor,c12_r300m,12,300.000000,50,0.150020,0.149690,0.148932,0.150005,1,0.773122,0.801398,0.612831,0.316491,2.617025,0.000000,0.000000,0.777178
no_capacity_floor,c12_r600m,12,600.000000,50,0.143971,0.145059,0.142535,0.144473,1,0.639093,0.687761,0.592605,0.551221,5.567168,0.000000,0.000000,0.658629
no_capacity_floor,c16_r15m,16,15.000000,50,0.004482,0.000000,0.025776,0.019995,0.500000,0.400321,0.388698,0.609724,0.000975,0.001000,1.000000,1.000000,0.333927
no_capacity_floor,c16_r37.5m,16,37.500000,50,0.035542,0.032987,0.033486,0.033278,0.860000,0.397465,0.404006,0.587945,0.013182,0.001000,1.000000,1.000000,0.396369
no_capacity_floor,c16_r75m,16,75.000000,50,0.068836,0.070637,0.064094,0.065677,0.980000,0.817649,0.826909,0.669801,0.084129,0.018566,0.858000,0.863400,0.779150
no_capacity_floor,c16_r150m,16,150.000000,50,0.095699,0.095666,0.095348,0.094494,1,0.802622,0.811341,0.640960,0.196863,1.127558,0.000000,0.000067,0.796383
no_capacity_floor,c16_r300m,16,300.000000,50,0.129894,0.131099,0.127787,0.131226,1,0.720075,0.754297,0.613908,0.372478,3.323311,0.000000,0.000000,0.716866
no_capacity_floor,c16_r600m,16,600.000000,50,0.104590,0.107909,0.099492,0.098001,1,0.524825,0.604399,0.601807,0.624393,6.501774,0.000000,0.000000,0.574773
no_capacity_floor,c24_r15m,24,15.000000,50,0.010169,0.000000,0.024112,0.022854,0.540000,0.417182,0.427050,0.640629,0.001372,0.001000,1.000000,1.000000,0.383987
no_capacity_floor,c24_r37.5m,24,37.500000,50,0.034137,0.034204,0.032859,0.032251,0.880000,0.405340,0.408606,0.598374,0.019273,0.001000,1.000000,1.000000,0.414306
no_capacity_floor,c24_r75m,24,75.000000,50,0.061274,0.061446,0.060344,0.059971,1,0.833743,0.817028,0.660636,0.129827,0.296870,0.099333,0.096233,0.792652
no_capacity_floor,c24_r150m,24,150.000000,50,0.075376,0.076055,0.075416,0.077478,1,0.653748,0.684004,0.624456,0.257470,1.890789,0.000000,0.000000,0.644426
no_capacity_floor,c24_r300m,24,300.000000,50,0.099603,0.097221,0.096857,0.100166,1,0.614827,0.606125,0.599133,0.461602,4.463233,0.000000,0.000000,0.569217
no_capacity_floor,c24_r600m,24,600.000000,50,0.063310,0.063008,0.064524,0.063403,1,0.452548,0.521244,0.617221,0.736505,7.947487,0.000000,0.000000,0.494235
