variant,condition,food_site_count,food_site_radius,seed,final_recruitment_advantage,tail_recruitment_advantage,final_directional_bias,final_receiver_attention,final_dance_propensity,final_success,final_payoff,final_floor_fraction,tail_floor_fraction,tail_dance_follow_share
pre_visit_dance,c1_r15m,1,15.000000,413,0.000000,0.000000,0.249047,0.422634,0.608917,0.000694,0.001000,1.000000,1.000000,0.337991
pre_visit_dance,c1_r15m,1,15.000000,408,0.000000,0.000000,0.255509,0.451824,0.563965,0.000333,0.001000,1.000000,1.000000,0.419768
pre_visit_dance,c1_r15m,1,15.000000,400,0.000000,0.004059,0.529387,0.298412,0.710669,0.000500,0.001000,1.000000,1.000000,0.206585
pre_visit_dance,c1_r15m,1,15.000000,410,0.000000,0.000000,0.167050,0.248084,0.596233,0.000528,0.001000,1.000000,1.000000,0.246323
pre_visit_dance,c1_r15m,1,15.000000,402,0.000000,-0.014286,0.323105,0.492688,0.490322,0.000250,0.001000,1.000000,1.000000,0.632353
pre_visit_dance,c1_r15m,1,15.000000,411,0.000000,0.000000,0.604861,0.459045,0.516912,0.000417,0.001000,1.000000,1.000000,0.389140
pre_visit_dance,c1_r15m,1,15.000000,412,0.000000,0.000000,0.229476,0.297412,0.624039,0.000917,0.001000,1.000000,1.000000,0.433752
pre_visit_dance,c1_r15m,1,15.000000,405,-0.032258,-0.003226,0.343991,0.612358,0.637562,0.000500,0.001000,1.000000,1.000000,0.672150
pre_visit_dance,c1_r15m,1,15.000000,406,0.000000,0.000000,0.562277,0.307769,0.548816,0.000250,0.001000,1.000000,1.000000,0.581698
pre_visit_dance,c1_r15m,1,15.000000,409,0.000000,0.000000,0.224538,0.398398,0.845961,0.000194,0.001000,1.000000,1.000000,0.484218
pre_visit_dance,c1_r15m,1,15.000000,407,0.000000,0.000000,0.223864,0.103676,0.692168,0.000222,0.001000,1.000000,1.000000,0.134145
pre_visit_dance,c1_r15m,1,15.000000,403,0.000000,0.002885,0.291082,0.553800,0.620689,0.000528,0.001000,1.000000,1.000000,0.638086
pre_visit_dance,c1_r15m,1,15.000000,415,0.000000,0.000000,0.429418,0.447167,0.790645,0.000500,0.001000,1.000000,1.000000,0.353354
pre_visit_dance,c1_r15m,1,15.000000,404,0.000000,0.000000,0.199837,0.537364,0.340441,0.000361,0.001000,1.000000,1.000000,0.558622
pre_visit_dance,c1_r15m,1,15.000000,401,0.000000,0.000000,0.441821,0.464467,0.536974,0.000917,0.001000,1.000000,1.000000,0.361051
pre_visit_dance,c1_r15m,1,15.000000,414,0.000000,0.000000,0.252727,0.573499,0.619186,0.001167,0.001000,1.000000,1.000000,0.435241
