variant,condition,food_site_count,food_site_radius,seeds,mean_final_recruitment_advantage,median_final_recruitment_advantage,mean_tail_recruitment_advantage,median_tail_recruitment_advantage,useful_fraction,mean_final_directional_bias,mean_final_receiver_attention,mean_final_dance_propensity,mean_final_success,mean_final_payoff,mean_final_floor_fraction,mean_tail_floor_fraction,mean_tail_dance_follow_share
pre_visit_dance,c1_r15m,1,15.000000,50,-0.001597,0.000000,0.000103,0.000000,0,0.376771,0.417145,0.594359,0.000618,0.001000,1.000000,1.000000,0.410103
pre_visit_dance,c1_r37.5m,1,37.500000,50,0.008519,0.001203,0.012609,0.012102,0.140000,0.390478,0.402753,0.579334,0.001372,0.001000,1.000000,1.000000,0.405902
pre_visit_dance,c1_r75m,1,75.000000,50,0.036787,0.036698,0.038724,0.037953,0.940000,0.372962,0.390713,0.632875,0.002817,0.001000,1.000000,1.000000,0.393398
pre_visit_dance,c1_r150m,1,150.000000,50,0.084056,0.083705,0.075223,0.071704,1,0.375012,0.414623,0.581434,0.004128,0.001012,0.999667,0.999067,0.388175
pre_visit_dance,c1_r300m,1,300.000000,50,0.144367,0.137847,0.135030,0.136264,0.960000,0.398482,0.377307,0.547747,0.002489,0.007609,0.956000,0.950133,0.375756
pre_visit_dance,c1_r600m,1,600.000000,50,0.169176,0.186033,0.165138,0.162949,1,0.548657,0.590038,0.623206,0.027416,0.113959,0.532000,0.527200,0.582024
pre_visit_dance,c2_r15m,2,15.000000,50,-0.001833,0.000000,-0.000140,-0.000551,0.020000,0.387011,0.389991,0.618744,0.001113,0.001000,1.000000,1.000000,0.401363
pre_visit_dance,c2_r37.5m,2,37.500000,50,0.014359,0.008511,0.010767,0.009573,0.140000,0.310361,0.379516,0.611891,0.002740,0.001000,1.000000,1.000000,0.366072
pre_visit_dance,c2_r75m,2,75.000000,50,0.037461,0.031886,0.035063,0.036165,0.900000,0.366987,0.419491,0.594623,0.005784,0.001000,1.000000,0.999967,0.401650
pre_visit_dance,c2_r150m,2,150.000000,50,0.086474,0.078501,0.077749,0.072568,0.980000,0.372930,0.386045,0.587854,0.005640,0.001223,0.996667,0.997267,0.367749
pre_visit_dance,c2_r300m,2,300.000000,50,0.154607,0.188827,0.153965,0.173418,0.960000,0.513724,0.591344,0.622405,0.015657,0.022400,0.854000,0.857567,0.574155
pre_visit_dance,c2_r600m,2,600.000000,50,0.274136,0.271623,0.273461,0.273139,1,0.836414,0.885292,0.658357,0.178953,0.929725,0.016000,0.019033,0.875869
pre_visit_dance,c3_r15m,3,15.000000,50,-0.001332,0.000000,0.000611,0.000062,0.020000,0.400076,0.421035,0.637941,0.001359,0.001000,1.000000,1.000000,0.408987
pre_visit_dance,c3_r37.5m,3,37.500000,50,0.011898,0.010781,0.010980,0.012007,0.040000,0.360595,0.403998,0.623046,0.004124,0.001000,1.000000,1.000000,0.400654
pre_visit_dance,c3_r75m,3,75.000000,50,0.038346,0.029856,0.036002,0.036674,0.940000,0.389319,0.395306,0.619072,0.007641,0.001000,1.000000,0.999967,0.376628
pre_visit_dance,c3_r150m,3,150.000000,50,0.083967,0.088979,0.078242,0.069239,1,0.375580,0.499534,0.562170,0.007888,0.001583,0.992667,0.994800,0.494018
pre_visit_dance,c3_r300m,3,300.000000,50,0.193092,0.200583,0.190617,0.198770,1,0.816393,0.853952,0.666766,0.095013,0.168416,0.440333,0.461700,0.823206
pre_visit_dance,c3_r600m,3,600.000000,50,0.262275,0.260445,0.260343,0.262348,1,0.817402,0.866744,0.714814,0.245338,1.728416,0.000000,0.000067,0.854591
pre_visit_dance,c4_r15m,4,15.000000,50,0.000506,0.000000,0.000614,0.000186,0,0.370491,0.393206,0.605913,0.002327,0.001000,1.000000,1.000000,0.383622
pre_visit_dance,c4_r37.5m,4,37.500000,50,0.010026,0.007998,0.011380,0.010885,0.080000,0.380477,0.406230,0.608844,0.005544,0.001000,1.000000,1.000000,0.419107
pre_visit_dance,c4_r75m,4,75.000000,50,0.036717,0.033053,0.034304,0.033667,0.860000,0.377161,0.438472,0.603886,0.010443,0.001000,1.000000,0.999967,0.430265
pre_visit_dance,c4_r150m,4,150.000000,50,0.102681,0.105054,0.096782,0.099689,0.980000,0.531664,0.650053,0.665973,0.013327,0.003015,0.980333,0.983133,0.606806
pre_visit_dance,c4_r300m,4,300.000000,50,0.194944,0.196023,0.192115,0.192419,1,0.866309,0.896959,0.678178,0.144152,0.494856,0.090000,0.097133,0.883356
pre_visit_dance,c4_r600m,4,600.000000,50,0.245732,0.246477,0.243610,0.243095,1,0.814002,0.855473,0.647014,0.300810,2.415456,0.000000,0.000000,0.838490
pre_visit_dance,c6_r15m,6,15.000000,50,0.001784,0.000000,0.000639,0.000558,0,0.367891,0.412877,0.594685,0.003332,0.001000,1.000000,1.000000,0.401992
pre_visit_dance,c6_r37.5m,6,37.500000,50,0.009531,0.009205,0.011050,0.009700,0.100000,0.409750,0.409325,0.633182,0.006937,0.001000,1.000000,1.000000,0.385922
pre_visit_dance,c6_r75m,6,75.000000,50,0.034778,0.032831,0.036637,0.035432,0.940000,0.394334,0.381251,0.648526,0.015266,0.001000,1.000000,0.999933,0.380772
pre_visit_dance,c6_r150m,6,150.000000,50,0.114671,0.117317,0.113082,0.114855,1,0.809191,0.831219,0.666628,0.065728,0.028167,0.818000,0.823167,0.807173
pre_visit_dance,c6_r300m,6,300.000000,50,0.180011,0.178994,0.180800,0.181198,1,0.827779,0.869763,0.607665,0.197009,1.132908,0.001000,0.001033,0.853956
pre_visit_dance,c6_r600m,6,600.000000,50,0.219093,0.218790,0.213828,0.218740,1,0.758216,0.820033,0.603094,0.388894,3.513127,0.000000,0.000000,0.810379
pre_visit_dance,c8_r15m,8,15.000000,50,0.000235,0.000000,-0.000089,-0.000949,0,0.381933,0.351762,0.619431,0.004259,0.001000,1.000000,1.000000,0.347483
pre_visit_dance,c8_r37.5m,8,37.500000,50,0.013057,0.013193,0.009700,0.009205,0.020000,0.374923,0.415147,0.607654,0.010919,0.001000,1.000000,1.000000,0.405417
pre_visit_dance,c8_r75m,8,75.000000,50,0.033677,0.035445,0.032496,0.030797,0.880000,0.368917,0.417629,0.634480,0.020273,0.001006,0.999667,0.999667,0.397274
pre_visit_dance,c8_r150m,8,150.000000,50,0.108310,0.107972,0.110551,0.110686,1,0.874224,0.902742,0.625333,0.114134,0.170227,0.353000,0.352267,0.889793
pre_visit_dance,c8_r300m,8,300.000000,50,0.167637,0.166073,0.168400,0.169778,1,0.809442,0.842385,0.630141,0.240198,1.666500,0.000000,0.000033,0.832134
pre_visit_dance,c8_r600m,8,600.000000,50,0.188241,0.188825,0.184568,0.186801,1,0.708832,0.800239,0.629294,0.458242,4.378264,0.000000,0.000000,0.774464
pre_visit_dance,c12_r15m,12,15.000000,50,-0.001276,-0.001532,0.000193,0.000197,0,0.363954,0.366463,0.592656,0.006474,0.001000,1.000000,1.000000,0.369823
pre_visit_dance,c12_r37.5m,12,37.500000,50,0.013451,0.009894,0.011422,0.011562,0.080000,0.393494,0.370264,0.627555,0.016179,0.001000,1.000000,1.000000,0.384987
pre_visit_dance,c12_r75m,12,75.000000,50,0.039175,0.037909,0.038247,0.037154,0.840000,0.493866,0.573978,0.614800,0.039775,0.001309,0.993667,0.994600,0.549140
pre_visit_dance,c12_r150m,12,150.000000,50,0.102754,0.100901,0.101391,0.101498,1,0.835892,0.853332,0.631461,0.160493,0.665423,0.010000,0.009633,0.844730
pre_visit_dance,c12_r300m,12,300.000000,50,0.147975,0.147156,0.143785,0.145386,1,0.760276,0.812762,0.614216,0.314100,2.594939,0.000000,0.000000,0.775577
pre_visit_dance,c12_r600m,12,600.000000,50,0.144778,0.148966,0.143757,0.148173,1,0.617950,0.704127,0.611243,0.552257,5.578706,0.000000,0.000000,0.670411
pre_visit_dance,c16_r15m,16,15.000000,50,-0.000218,-0.000279,-0.000710,-0.000717,0,0.345836,0.380826,0.613997,0.007306,0.001000,1.000000,1.000000,0.379118
pre_visit_dance,c16_r37.5m,16,37.500000,50,0.006485,0.005450,0.008630,0.008008,0.060000,0.372952,0.396950,0.650773,0.020697,0.001000,1.000000,1.000000,0.405842
pre_visit_dance,c16_r75m,16,75.000000,50,0.049804,0.050320,0.050768,0.050349,1,0.813737,0.844959,0.566172,0.089347,0.020097,0.825000,0.803667,0.813666
pre_visit_dance,c16_r150m,16,150.000000,50,0.090659,0.090305,0.089065,0.090627,1,0.785654,0.810432,0.619855,0.196658,1.113400,0.000000,0.000100,0.794473
pre_visit_dance,c16_r300m,16,300.000000,50,0.126772,0.131260,0.124232,0.126967,1,0.698541,0.725697,0.574108,0.366005,3.255149,0.000000,0.000000,0.692947
pre_visit_dance,c16_r600m,16,600.000000,50,0.109021,0.109599,0.107687,0.110314,1,0.556698,0.574100,0.617597,0.620300,6.455294,0.000000,0.000000,0.558737
pre_visit_dance,c24_r15m,24,15.000000,50,-0.001755,-0.002029,-0.000542,-0.000366,0,0.374778,0.410170,0.616287,0.011560,0.001000,1.000000,1.000000,0.411987
pre_visit_dance,c24_r37.5m,24,37.500000,50,0.006625,0.005028,0.008328,0.008770,0.060000,0.371159,0.415140,0.601346,0.033546,0.001000,1.000000,0.999933,0.411416
pre_visit_dance,c24_r75m,24,75.000000,50,0.045753,0.044805,0.044451,0.044410,1,0.785555,0.755571,0.526284,0.133416,0.335921,0.056000,0.061533,0.720679
pre_visit_dance,c24_r150m,24,150.000000,50,0.074602,0.075640,0.073540,0.074848,1,0.689774,0.673758,0.629750,0.259350,1.910697,0.000000,0.000000,0.640577
pre_visit_dance,c24_r300m,24,300.000000,50,0.095225,0.095440,0.092128,0.092842,1,0.576510,0.588341,0.648296,0.459199,4.435554,0.000000,0.000000,0.566385
pre_visit_dance,c24_r600m,24,600.000000,50,0.064640,0.065803,0.064659,0.065236,1,0.441285,0.456190,0.574613,0.727648,7.852905,0.000000,0.000000,0.438622
