variant,condition,food_site_count,food_site_radius,seed,final_recruitment_advantage,tail_recruitment_advantage,final_directional_bias,final_receiver_attention,final_dance_propensity,final_success,final_payoff,final_floor_fraction,tail_floor_fraction,tail_dance_follow_share
tournament,c1_r15m,1,15.000000,412,0.000000,0.000000,0.523462,0.231198,0.614536,0.000000,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,414,0.000000,0.000000,0.383825,0.123026,0.460298,0.000028,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,410,0.000000,0.000000,0.203493,0.450798,0.567886,0.000000,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,409,0.000000,0.000000,0.497165,0.176547,0.754644,0.000000,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,400,0.000000,0.000000,0.249839,0.351256,0.762782,0.000000,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,407,0.000000,0.000000,0.371313,0.187277,0.366158,0.000000,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,403,0.000000,0.000000,0.431252,0.181410,0.628855,0.000000,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,415,0.000000,0.000000,0.713000,0.347676,0.501648,0.000000,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,417,0.000000,0.000000,0.308198,0.400042,0.678931,0.000000,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,419,0.000000,0.000000,0.454635,0.360723,0.481770,0.000000,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,420,0.000000,0.000000,0.401607,0.434303,0.699429,0.000000,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,413,0.000000,0.000000,0.250876,0.466140,0.729237,0.000000,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,411,0.000000,0.000000,0.432195,0.132475,0.733550,0.000028,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,401,0.000000,0.000000,0.311384,0.505465,0.640815,0.000000,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,404,0.000000,0.000000,0.407107,0.218451,0.336841,0.000056,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,408,0.000000,0.000000,0.197961,0.493001,0.464254,0.000000,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,402,0.000000,0.000000,0.379740,0.320919,0.298937,0.000000,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,405,0.000000,0.000000,0.294706,0.595414,0.378607,0.000000,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,406,0.000000,0.000000,0.130426,0.383959,0.451735,0.000000,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,416,0.000000,0.000000,0.550592,0.193665,0.807157,0.000000,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,422,0.000000,0.000000,0.386001,0.523517,0.627593,0.000028,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,423,0.000000,0.000000,0.617618,0.815762,0.475727,0.000028,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,418,0.000000,0.000000,0.388514,0.391161,0.687553,0.000000,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,424,0.000000,0.000000,0.209791,0.468269,0.232614,0.000028,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,426,0.000000,0.000000,0.241084,0.296868,0.848778,0.000000,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,421,0.000000,0.000000,0.360130,0.448833,0.650370,0.000000,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,436,0.000000,0.000000,0.624262,0.602030,0.604686,0.000000,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,437,0.000000,0.000000,0.598041,0.189018,0.604538,0.000000,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,425,0.000000,0.000000,0.254755,0.216920,0.357690,0.000000,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,439,0.000000,0.000000,0.299426,0.336950,0.331639,0.000000,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,428,0.000000,0.000000,0.668340,0.250726,0.349734,0.000000,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,429,0.000000,0.000000,0.694141,0.355065,0.857770,0.000028,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,430,0.000000,0.000000,0.340240,0.348650,0.747609,0.000000,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,427,0.000000,0.000000,0.379287,0.322144,0.735645,0.000000,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,431,0.000000,0.000000,0.781844,0.429664,0.834299,0.000028,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,432,0.000000,0.000000,0.130613,0.505516,0.656160,0.000000,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,433,0.000000,0.000000,0.383548,0.418801,0.708703,0.000000,0.001000,1.000000,1.000000,0.000000
