variant,condition,food_site_count,food_site_radius,seeds,mean_final_recruitment_advantage,median_final_recruitment_advantage,mean_tail_recruitment_advantage,median_tail_recruitment_advantage,useful_fraction,mean_final_directional_bias,mean_final_receiver_attention,mean_final_dance_propensity,mean_final_success,mean_final_payoff,mean_final_floor_fraction,mean_tail_floor_fraction,mean_tail_dance_follow_share
tournament,c1_r15m,1,15.000000,50,0.000000,0.000000,0.000000,0.000000,0,0.419105,0.357514,0.595193,0.000007,0.001000,1.000000,1.000000,0.002000
tournament,c1_r37.5m,1,37.500000,50,0.023652,0.000000,0.007931,0.000000,0.180000,0.392577,0.353765,0.640835,0.000034,0.001000,1.000000,1.000000,0.068822
tournament,c1_r75m,1,75.000000,50,0.017046,0.000000,0.021027,0.007301,0.380000,0.413708,0.346779,0.600895,0.000053,0.001000,1.000000,0.999933,0.225379
tournament,c1_r150m,1,150.000000,50,0.070175,0.013384,0.086748,0.077581,0.940000,0.377614,0.394929,0.593441,0.000234,0.001411,0.997333,0.997867,0.369920
tournament,c1_r300m,1,300.000000,50,0.134481,0.125569,0.117411,0.108285,0.960000,0.394586,0.409713,0.561641,0.001698,0.009160,0.949667,0.949300,0.404417
tournament,c1_r600m,1,600.000000,50,0.109238,0.101387,0.128658,0.125417,1,0.457344,0.518571,0.644528,0.018415,0.108016,0.543667,0.536700,0.524020
tournament,c2_r15m,2,15.000000,50,0.000000,0.000000,0.000000,0.000000,0,0.384880,0.379842,0.608170,0.000024,0.001000,1.000000,1.000000,0.003050
tournament,c2_r37.5m,2,37.500000,50,0.000000,0.000000,0.005548,0.000000,0.180000,0.410775,0.436976,0.594418,0.000040,0.001000,1.000000,1.000000,0.127841
tournament,c2_r75m,2,75.000000,50,0.043358,0.000000,0.036941,0.020485,0.560000,0.387096,0.372140,0.602053,0.000123,0.001000,1.000000,1.000000,0.303272
tournament,c2_r150m,2,150.000000,50,0.085571,0.079963,0.079707,0.079979,0.800000,0.390465,0.378881,0.586565,0.000488,0.001645,0.995667,0.995900,0.369373
tournament,c2_r300m,2,300.000000,50,0.116004,0.122047,0.121326,0.116331,1,0.409103,0.487317,0.641375,0.004549,0.020581,0.881667,0.884567,0.495106
tournament,c2_r600m,2,600.000000,50,0.282175,0.281021,0.279975,0.280771,1,0.869551,0.912673,0.649769,0.186469,0.985469,0.014667,0.016400,0.893562
tournament,c3_r15m,3,15.000000,50,0.000000,0.000000,0.000200,0.000000,0,0.403598,0.361484,0.617896,0.000031,0.001000,1.000000,1.000000,0.008714
tournament,c3_r37.5m,3,37.500000,50,0.003333,0.000000,0.014191,0.000000,0.240000,0.390983,0.400005,0.661653,0.000077,0.001000,1.000000,1.000000,0.185320
tournament,c3_r75m,3,75.000000,50,0.049453,0.000000,0.032351,0.030150,0.600000,0.380601,0.361981,0.581642,0.000201,0.001000,1.000000,0.999933,0.336012
tournament,c3_r150m,3,150.000000,50,0.103357,0.107001,0.081738,0.081755,0.880000,0.377046,0.380666,0.598039,0.000702,0.001802,0.994333,0.994100,0.382921
tournament,c3_r300m,3,300.000000,50,0.159448,0.176638,0.150322,0.158987,0.980000,0.575627,0.649285,0.591338,0.039606,0.081735,0.657333,0.680600,0.653658
tournament,c3_r600m,3,600.000000,50,0.267758,0.269991,0.268811,0.269854,1,0.875623,0.916855,0.678216,0.261373,1.879097,0.000000,0.000100,0.900174
tournament,c4_r15m,4,15.000000,50,0.000000,0.000000,0.000000,0.000000,0,0.355947,0.424191,0.565791,0.000037,0.001000,1.000000,1.000000,0.010628
tournament,c4_r37.5m,4,37.500000,50,0.006250,0.000000,0.017862,0.000000,0.360000,0.378203,0.392192,0.574900,0.000118,0.001000,1.000000,1.000000,0.220448
tournament,c4_r75m,4,75.000000,50,0.046137,0.000000,0.039818,0.033769,0.720000,0.396788,0.414444,0.616428,0.000248,0.001000,1.000000,0.999900,0.399441
tournament,c4_r150m,4,150.000000,50,0.090173,0.053477,0.079617,0.081764,0.920000,0.368578,0.374957,0.616357,0.000984,0.002604,0.989000,0.991100,0.377654
tournament,c4_r300m,4,300.000000,50,0.194364,0.193206,0.193142,0.193273,1,0.872355,0.901329,0.675685,0.144520,0.499516,0.087333,0.089267,0.892087
tournament,c4_r600m,4,600.000000,50,0.256211,0.255919,0.256561,0.257170,1,0.874584,0.914646,0.654220,0.322089,2.623435,0.000000,0.000000,0.901087
tournament,c6_r15m,6,15.000000,50,0.000000,0.000000,0.000083,0.000000,0,0.342284,0.391683,0.628348,0.000056,0.001000,1.000000,1.000000,0.005403
tournament,c6_r37.5m,6,37.500000,50,-0.000538,0.000000,0.017335,0.002020,0.340000,0.365365,0.397839,0.637622,0.000151,0.001000,1.000000,1.000000,0.260308
tournament,c6_r75m,6,75.000000,50,0.056156,0.000000,0.041524,0.039344,0.760000,0.373188,0.393447,0.592033,0.000378,0.001077,0.999667,0.999933,0.378024
tournament,c6_r150m,6,150.000000,50,0.090417,0.088375,0.078014,0.077264,0.960000,0.380040,0.441032,0.601063,0.001487,0.003346,0.981667,0.983067,0.439714
tournament,c6_r300m,6,300.000000,50,0.186322,0.186570,0.184401,0.185726,1,0.870769,0.901632,0.687335,0.206465,1.212820,0.000000,0.000567,0.892354
tournament,c6_r600m,6,600.000000,50,0.232505,0.232348,0.231721,0.232406,1,0.875231,0.916980,0.669255,0.423682,3.872498,0.000000,0.000000,0.903974
tournament,c8_r15m,8,15.000000,50,0.000000,0.000000,0.001714,0.000000,0.040000,0.370133,0.419378,0.625058,0.000077,0.001000,1.000000,1.000000,0.014096
tournament,c8_r37.5m,8,37.500000,50,0.019952,0.000000,0.012795,0.000000,0.320000,0.420682,0.407262,0.612376,0.000189,0.001000,1.000000,1.000000,0.283246
tournament,c8_r75m,8,75.000000,50,0.021263,0.000000,0.046336,0.044481,0.800000,0.403915,0.388990,0.622367,0.000476,0.001085,0.999333,0.999533,0.378723
tournament,c8_r150m,8,150.000000,50,0.079630,0.086342,0.094198,0.098541,1,0.485391,0.532970,0.593981,0.019861,0.029489,0.861333,0.888067,0.535025
tournament,c8_r300m,8,300.000000,50,0.176240,0.177232,0.176264,0.176481,1,0.885199,0.914286,0.664666,0.257826,1.839180,0.000000,0.000000,0.895024
