comb_tilt,sender_code,receiver_code,matched,success_rate
0.0,direct,direct,True,1.0000
0.0,direct,gravity,False,0.0837
0.0,gravity,direct,False,0.0880
0.0,gravity,gravity,True,0.0843
0.25,direct,direct,True,0.9467
0.25,direct,gravity,False,0.0805
0.25,gravity,direct,False,0.0867
0.25,gravity,gravity,True,0.1283
0.5,direct,direct,True,0.5767
0.5,direct,gravity,False,0.0828
0.5,gravity,direct,False,0.0804
0.5,gravity,gravity,True,0.2692
0.75,direct,direct,True,0.3571
0.75,direct,gravity,False,0.0853
0.75,gravity,direct,False,0.0843
0.75,gravity,gravity,True,0.7925
1.0,direct,direct,True,0.0807
1.0,direct,gravity,False,0.0823
1.0,gravity,direct,False,0.0832
1.0,gravity,gravity,True,1.0000
