comb_tilt,mixing,population,success_rate
0.0,0.0,blender,1.0000
0.0,0.0,chooser,1.0000
0.0,0.25,blender,1.0000
0.0,0.25,chooser,0.6024
0.0,0.5,blender,1.0000
0.0,0.5,chooser,0.3144
0.0,0.75,blender,1.0000
0.0,0.75,chooser,0.1412
0.0,1.0,blender,0.0834
0.0,1.0,chooser,0.0806
0.25,0.0,blender,0.9485
0.25,0.0,chooser,0.9488
0.25,0.25,blender,0.8922
0.25,0.25,chooser,0.5771
0.25,0.5,blender,0.5337
0.25,0.5,chooser,0.3109
0.25,0.75,blender,0.1829
0.25,0.75,chooser,0.1679
0.25,1.0,blender,0.1306
0.25,1.0,chooser,0.1248
0.5,0.0,blender,0.5834
0.5,0.0,chooser,0.5836
0.5,0.25,blender,0.5234
0.5,0.25,chooser,0.3784
0.5,0.5,blender,0.3768
0.5,0.5,chooser,0.2517
0.5,0.75,blender,0.2735
0.5,0.75,chooser,0.2197
0.5,1.0,blender,0.2708
0.5,1.0,chooser,0.2607
0.75,0.0,blender,0.3612
0.75,0.0,chooser,0.3592
0.75,0.25,blender,0.2784
0.75,0.25,chooser,0.2836
0.75,0.5,blender,0.3459
0.75,0.5,chooser,0.3304
0.75,0.75,blender,0.6647
0.75,0.75,chooser,0.4983
0.75,1.0,blender,0.7936
0.75,1.0,chooser,0.7960
1.0,0.0,blender,0.0838
1.0,0.0,chooser,0.0851
1.0,0.25,blender,0.2061
1.0,0.25,chooser,0.1394
1.0,0.5,blender,0.3928
1.0,0.5,chooser,0.3104
1.0,0.75,blender,0.8519
1.0,0.75,chooser,0.5935
1.0,1.0,blender,1.0000
1.0,1.0,chooser,1.0000
