condition,sweep,food_site_count,food_site_radius,food_site_capacity,food_value,seed,generations,final_directional_bias,final_receiver_attention,final_search_limit,final_comb_tilt,final_success,final_payoff,final_follower_success_rate,final_matched_searcher_success_rate,final_recruitment_advantage,final_dance_follow_share,tail_recruitment_advantage,tail_follower_success_rate,tail_matched_searcher_success_rate,tail_dance_follow_share
hard,anchor,1,37.500000,6,1.000000,412,60,0.365487,0.382403,1847.215164,0.000000,0.001722,0.001000,0.021053,0.004739,0.016313,0.310458,0.027509,0.036575,0.009066,0.277918
hard,anchor,1,37.500000,6,1.000000,400,60,0.286602,0.258535,2490.996830,0.000000,0.002417,0.001000,0.024540,0.016611,0.007929,0.351293,0.038056,0.048677,0.010620,0.301452
hard,anchor,1,37.500000,6,1.000000,411,60,0.095870,0.426198,1388.548597,0.000000,0.001500,0.001000,0.000000,0.029940,-0.029940,0.430034,0.017177,0.025841,0.008664,0.416786
hard,anchor,1,37.500000,6,1.000000,403,60,0.403748,0.375821,2541.007984,0.000000,0.002111,0.001000,0.071895,0.004310,0.067585,0.397403,0.044542,0.054672,0.010130,0.368357
hard,anchor,1,37.500000,6,1.000000,414,60,0.670098,0.598969,2259.471284,0.000000,0.003194,0.001000,0.093750,0.007905,0.085845,0.532348,0.046495,0.054032,0.007537,0.395302
hard,anchor,1,37.500000,6,1.000000,407,60,0.419000,0.213427,3697.432191,0.000000,0.003944,0.001000,0.080000,0.009058,0.070942,0.213675,0.037898,0.047667,0.009768,0.175193
hard,anchor,1,37.500000,6,1.000000,405,60,0.392096,0.538319,3215.800245,0.000000,0.003417,0.001000,0.024176,0.004348,0.019828,0.664234,0.033898,0.042114,0.008216,0.500870
hard,anchor,1,37.500000,6,1.000000,413,60,0.350667,0.425970,2822.812008,0.000000,0.003000,0.001000,0.031250,0.006472,0.024778,0.420263,0.033295,0.040418,0.007123,0.474569
hard,anchor,1,37.500000,6,1.000000,409,60,0.317828,0.306886,4021.595246,0.000000,0.003472,0.001000,0.022599,0.008696,0.013903,0.277865,0.033922,0.044036,0.010114,0.232021
hard,anchor,1,37.500000,6,1.000000,401,60,0.468167,0.170886,3743.737718,0.000000,0.003444,0.001000,0.033898,0.007042,0.026856,0.172012,0.031920,0.041323,0.009403,0.162153
hard,anchor,1,37.500000,6,1.000000,415,60,0.492576,0.699361,3321.171781,0.000000,0.003306,0.001000,0.062937,0.022989,0.039949,0.831395,0.042457,0.055390,0.012933,0.740830
hard,anchor,1,37.500000,6,1.000000,406,60,0.366928,0.241671,4624.137767,0.000000,0.004139,0.001000,0.065476,0.011385,0.054091,0.241727,0.021471,0.031100,0.009629,0.242298
hard,anchor,1,37.500000,6,1.000000,410,60,0.123179,0.389362,2413.103743,0.000000,0.002722,0.001000,0.030675,0.012739,0.017936,0.341719,0.025315,0.033868,0.008553,0.340048
hard,anchor,1,37.500000,6,1.000000,404,60,0.244272,0.359340,2549.985512,0.000000,0.002917,0.001000,0.042373,0.012626,0.029747,0.229572,0.035514,0.042746,0.007232,0.287487
