condition,sweep,food_site_count,food_site_radius,food_site_capacity,food_value,seeds,mean_final_recruitment_advantage,median_final_recruitment_advantage,mean_tail_recruitment_advantage,median_tail_recruitment_advantage,useful_fraction,mean_final_directional_bias,mean_final_receiver_attention,mean_final_success,mean_final_payoff,mean_tail_follower_success_rate,mean_tail_matched_searcher_success_rate,mean_tail_dance_follow_share
hard,anchor,1,37.500000,6,1.000000,50,0.030539,0.028120,0.030818,0.030670,0.060000,0.383674,0.418854,0.002698,0.001000,0.040878,0.010060,0.414598
baseline,anchor,2,150.000000,6,1.000000,50,0.125007,0.141333,0.127246,0.142521,0.980000,0.615329,0.683762,0.016912,0.003851,0.177217,0.049971,0.652245
easy,anchor,8,300.000000,6,1.000000,50,0.161287,0.163211,0.162693,0.163079,1,0.746223,0.767735,0.324519,2.784833,0.425932,0.263239,0.748731
sites_1,site_count,1,150.000000,6,1.000000,50,0.100023,0.097115,0.094355,0.091884,0.920000,0.424807,0.461242,0.004911,0.001310,0.140000,0.045645,0.439253
sites_2,site_count,2,150.000000,6,1.000000,50,0.125007,0.141333,0.127246,0.142521,0.980000,0.615329,0.683762,0.016912,0.003851,0.177217,0.049971,0.652245
sites_3,site_count,3,150.000000,6,1.000000,50,0.155963,0.157398,0.156667,0.156910,1,0.881864,0.903864,0.046943,0.041577,0.214123,0.057455,0.892773
sites_4,site_count,4,150.000000,6,1.000000,50,0.154538,0.153751,0.152604,0.153165,1,0.873140,0.897957,0.075992,0.135350,0.226104,0.073501,0.887881
sites_6,site_count,6,150.000000,6,1.000000,50,0.141792,0.141002,0.141654,0.142038,1,0.863574,0.873296,0.133346,0.491324,0.250316,0.108661,0.858212
sites_8,site_count,8,150.000000,6,1.000000,50,0.131266,0.131712,0.130758,0.131122,1,0.837366,0.847607,0.173271,0.914993,0.270534,0.139776,0.834905
radius_15m,patch_radius,2,15.000000,6,1.000000,50,0.013567,0.009456,0.013847,0.012575,0,0.411919,0.410983,0.001968,0.001000,0.018986,0.005138,0.411980
radius_37.5m,patch_radius,2,37.500000,6,1.000000,50,0.030587,0.027801,0.029903,0.029189,0.040000,0.383122,0.396090,0.004849,0.001000,0.043294,0.013391,0.389520
radius_75m,patch_radius,2,75.000000,6,1.000000,50,0.053923,0.050348,0.054569,0.054291,0.620000,0.397902,0.400149,0.010367,0.001000,0.081415,0.026846,0.386738
radius_150m,patch_radius,2,150.000000,6,1.000000,50,0.125007,0.141333,0.127246,0.142521,0.980000,0.615329,0.683762,0.016912,0.003851,0.177217,0.049971,0.652245
radius_300m,patch_radius,2,300.000000,6,1.000000,50,0.227988,0.226736,0.225427,0.225367,1,0.852919,0.887089,0.095963,0.308611,0.324393,0.098966,0.875123
radius_600m,patch_radius,2,600.000000,6,1.000000,50,0.238557,0.239340,0.239116,0.238233,1,0.794447,0.839160,0.226996,1.572732,0.430423,0.191307,0.825127
