condition,sweep,food_site_count,food_site_radius,food_site_capacity,food_value
c1_r15m,grid,1,15.000000,6,1.000000
c1_r37.5m,grid,1,37.500000,6,1.000000
c1_r75m,grid,1,75.000000,6,1.000000
c1_r150m,grid,1,150.000000,6,1.000000
c1_r300m,grid,1,300.000000,6,1.000000
c1_r600m,grid,1,600.000000,6,1.000000
c2_r15m,grid,2,15.000000,6,1.000000
c2_r37.5m,grid,2,37.500000,6,1.000000
c2_r75m,grid,2,75.000000,6,1.000000
c2_r150m,grid,2,150.000000,6,1.000000
c2_r300m,grid,2,300.000000,6,1.000000
c2_r600m,grid,2,600.000000,6,1.000000
c3_r15m,grid,3,15.000000,6,1.000000
c3_r37.5m,grid,3,37.500000,6,1.000000
c3_r75m,grid,3,75.000000,6,1.000000
c3_r150m,grid,3,150.000000,6,1.000000
c3_r300m,grid,3,300.000000,6,1.000000
c3_r600m,grid,3,600.000000,6,1.000000
c4_r15m,grid,4,15.000000,6,1.000000
c4_r37.5m,grid,4,37.500000,6,1.000000
c4_r75m,grid,4,75.000000,6,1.000000
c4_r150m,grid,4,150.000000,6,1.000000
c4_r300m,grid,4,300.000000,6,1.000000
c4_r600m,grid,4,600.000000,6,1.000000
c6_r15m,grid,6,15.000000,6,1.000000
c6_r37.5m,grid,6,37.500000,6,1.000000
c6_r75m,grid,6,75.000000,6,1.000000
c6_r150m,grid,6,150.000000,6,1.000000
c6_r300m,grid,6,300.000000,6,1.000000
c6_r600m,grid,6,600.000000,6,1.000000
c8_r15m,grid,8,15.000000,6,1.000000
c8_r37.5m,grid,8,37.500000,6,1.000000
c8_r75m,grid,8,75.000000,6,1.000000
c8_r150m,grid,8,150.000000,6,1.000000
c8_r300m,grid,8,300.000000,6,1.000000
c8_r600m,grid,8,600.000000,6,1.000000
c12_r15m,grid,12,15.000000,6,1.000000
c12_r37.5m,grid,12,37.500000,6,1.000000
c12_r75m,grid,12,75.000000,6,1.000000
c12_r150m,grid,12,150.000000,6,1.000000
c12_r300m,grid,12,300.000000,6,1.000000
c12_r600m,grid,12,600.000000,6,1.000000
c16_r15m,grid,16,15.000000,6,1.000000
c16_r37.5m,grid,16,37.500000,6,1.000000
c16_r75m,grid,16,75.000000,6,1.000000
c16_r150m,grid,16,150.000000,6,1.000000
c16_r300m,grid,16,300.000000,6,1.000000
c16_r600m,grid,16,600.000000,6,1.000000
c24_r15m,grid,24,15.000000,6,1.000000
c24_r37.5m,grid,24,37.500000,6,1.000000
c24_r75m,grid,24,75.000000,6,1.000000
c24_r150m,grid,24,150.000000,6,1.000000
c24_r300m,grid,24,300.000000,6,1.000000
c24_r600m,grid,24,600.000000,6,1.000000
