condition,sweep,food_site_count,food_site_radius,food_site_capacity,food_value,seed,generation,directional_bias,receiver_attention,search_limit,comb_tilt,success_rate,payoff,follower_success_rate,matched_searcher_success_rate,recruitment_advantage,dance_follow_share
hard,anchor,1,37.500000,6,1.000000,412,0,0.070438,0.134717,1665.620624,0.000000,0.002000,0.001000,0.021277,0.024911,-0.003634,0.143293
hard,anchor,1,37.500000,6,1.000000,412,1,0.079532,0.126904,1669.710291,0.000000,0.001361,0.001000,0.027778,0.000000,0.027778,0.132353
hard,anchor,1,37.500000,6,1.000000,412,2,0.076610,0.119023,1699.414427,0.000000,0.002111,0.001000,0.000000,0.021472,-0.021472,0.130667
hard,anchor,1,37.500000,6,1.000000,412,3,0.115657,0.109879,1624.267886,0.000000,0.001583,0.001000,0.000000,0.003597,-0.003597,0.100324
hard,anchor,1,37.500000,6,1.000000,412,4,0.126694,0.108678,1524.735689,0.000000,0.001444,0.001000,0.068966,0.013453,0.055513,0.115079
hard,anchor,1,37.500000,6,1.000000,412,5,0.177789,0.121286,1504.020185,0.000000,0.001472,0.001000,0.040000,0.012245,0.027755,0.092593
hard,anchor,1,37.500000,6,1.000000,412,6,0.152839,0.127997,1829.951508,0.000000,0.002111,0.001000,0.000000,0.004878,-0.004878,0.104803
hard,anchor,1,37.500000,6,1.000000,412,7,0.166306,0.130937,1801.785469,0.000000,0.001417,0.001000,0.000000,0.012712,-0.012712,0.119403
hard,anchor,1,37.500000,6,1.000000,412,8,0.140473,0.142334,1604.363199,0.000000,0.001778,0.001000,0.022222,0.010309,0.011913,0.133929
hard,anchor,1,37.500000,6,1.000000,412,9,0.144253,0.154447,1650.563910,0.000000,0.001694,0.001000,0.020000,0.014440,0.005560,0.152905
hard,anchor,1,37.500000,6,1.000000,412,10,0.140767,0.157087,1677.833119,0.000000,0.001694,0.001000,0.046512,0.003236,0.043275,0.122159
hard,anchor,1,37.500000,6,1.000000,412,11,0.132791,0.173906,1569.164605,0.000000,0.001750,0.001000,0.086207,0.004762,0.081445,0.216418
hard,anchor,1,37.500000,6,1.000000,412,12,0.105459,0.171895,1383.264415,0.000000,0.001306,0.001000,0.000000,0.000000,0.000000,0.166008
hard,anchor,1,37.500000,6,1.000000,412,13,0.111813,0.187896,1682.664317,0.000000,0.001583,0.001000,0.012658,0.012295,0.000363,0.244582
hard,anchor,1,37.500000,6,1.000000,412,14,0.126367,0.125090,1381.159201,0.000000,0.001222,0.001000,0.000000,0.010101,-0.010101,0.178423
hard,anchor,1,37.500000,6,1.000000,412,15,0.147706,0.124782,1327.422914,0.000000,0.000972,0.001000,0.000000,0.007407,-0.007407,0.215116
hard,anchor,1,37.500000,6,1.000000,412,16,0.126160,0.133669,1151.707314,0.000000,0.001111,0.001000,0.000000,0.005747,-0.005747,0.190698
hard,anchor,1,37.500000,6,1.000000,412,17,0.163414,0.130787,1182.735475,0.000000,0.001083,0.001000,0.033333,0.000000,0.033333,0.146341
hard,anchor,1,37.500000,6,1.000000,412,18,0.174824,0.125432,1065.423764,0.000000,0.000833,0.001000,0.047619,0.017544,0.030075,0.155556
hard,anchor,1,37.500000,6,1.000000,412,19,0.171561,0.137845,1183.509024,0.000000,0.001444,0.001000,0.018519,0.004405,0.014113,0.192171
hard,anchor,1,37.500000,6,1.000000,412,20,0.238281,0.145735,1044.238613,0.000000,0.000694,0.001000,0.000000,0.000000,0.000000,0.102740
hard,anchor,1,37.500000,6,1.000000,412,21,0.229518,0.158813,972.677816,0.000000,0.000917,0.001000,0.000000,0.012346,-0.012346,0.058140
hard,anchor,1,37.500000,6,1.000000,412,22,0.263627,0.129235,1109.336149,0.000000,0.001194,0.001000,0.050000,0.000000,0.050000,0.078431
hard,anchor,1,37.500000,6,1.000000,412,23,0.209453,0.153247,1147.417486,0.000000,0.001000,0.001000,0.000000,0.005917,-0.005917,0.061111
hard,anchor,1,37.500000,6,1.000000,412,24,0.215632,0.179408,1190.531093,0.000000,0.001333,0.001000,0.000000,0.009662,-0.009662,0.122881
hard,anchor,1,37.500000,6,1.000000,412,25,0.217012,0.171062,1243.111717,0.000000,0.001167,0.001000,0.000000,0.017964,-0.017964,0.087432
hard,anchor,1,37.500000,6,1.000000,412,26,0.238862,0.155250,1206.332210,0.000000,0.001444,0.001000,0.076923,0.011538,0.065385,0.130435
