condition,sweep,food_site_count,food_site_width,food_site_capacity,food_value,seed,generations,final_directional_bias,final_receiver_attention,final_search_limit,final_comb_tilt,final_success,final_payoff,final_follower_success_rate,final_matched_searcher_success_rate,final_recruitment_advantage,final_dance_follow_share,tail_recruitment_advantage,tail_follower_success_rate,tail_matched_searcher_success_rate,tail_dance_follow_share
hard,anchor,1,0.080000,6,1.000000,410,60,0.454089,0.458966,1.990909,0.000000,0.004222,0.001000,0.044386,0.023333,0.021053,0.560761,0.035452,0.059220,0.023767,0.333481
hard,anchor,1,0.080000,6,1.000000,406,60,0.234548,0.397629,1.722654,0.000000,0.003861,0.001000,0.053571,0.009677,0.043894,0.558405,0.042931,0.060393,0.017462,0.392340
hard,anchor,1,0.080000,6,1.000000,412,60,0.333849,0.344691,2.824858,0.000000,0.007028,0.001000,0.048843,0.024306,0.024538,0.310455,0.064129,0.085684,0.021555,0.337840
hard,anchor,1,0.080000,6,1.000000,415,60,0.275535,0.425613,2.195949,0.000000,0.005556,0.001000,0.065990,0.024528,0.041462,0.426407,0.047703,0.068202,0.020499,0.345389
hard,anchor,1,0.080000,6,1.000000,403,60,0.606770,0.276425,3.090681,0.000000,0.008861,0.001000,0.072093,0.020833,0.051260,0.289367,0.066873,0.086354,0.019481,0.270459
hard,anchor,1,0.080000,6,1.000000,402,60,0.315306,0.381038,2.507903,0.000000,0.006694,0.001000,0.074297,0.025510,0.048787,0.458564,0.056702,0.080425,0.023723,0.479683
hard,anchor,1,0.080000,6,1.000000,405,60,0.458061,0.348453,3.500228,0.000000,0.010111,0.001000,0.100179,0.015693,0.084486,0.327667,0.063543,0.083539,0.019996,0.377274
hard,anchor,1,0.080000,6,1.000000,409,60,0.331480,0.640288,2.056778,0.000000,0.005333,0.001000,0.079254,0.042453,0.036801,0.502931,0.046714,0.068362,0.021648,0.420415
hard,anchor,1,0.080000,6,1.000000,401,60,0.520063,0.336156,3.705648,0.000000,0.011583,0.001000,0.113565,0.019188,0.094376,0.318753,0.095013,0.115557,0.020544,0.309615
hard,anchor,1,0.080000,6,1.000000,400,60,0.252492,0.271780,2.519181,0.000000,0.007139,0.001000,0.058282,0.025168,0.033114,0.522436,0.050268,0.069455,0.019187,0.517357
hard,anchor,1,0.080000,6,1.000000,408,60,0.367984,0.227780,4.245281,0.000000,0.013194,0.001000,0.098394,0.026361,0.072033,0.222024,0.065094,0.090321,0.025227,0.223786
hard,anchor,1,0.080000,6,1.000000,404,60,0.450346,0.598322,2.510765,0.000000,0.007806,0.001000,0.095935,0.021382,0.074553,0.502862,0.058753,0.081358,0.022605,0.474032
hard,anchor,1,0.080000,6,1.000000,411,60,0.691332,0.270452,3.433787,0.000000,0.009611,0.001000,0.110837,0.022648,0.088189,0.261261,0.077385,0.101683,0.024299,0.169237
hard,anchor,1,0.080000,6,1.000000,414,60,0.297682,0.704873,2.699486,0.000000,0.007833,0.001000,0.059181,0.018018,0.041163,0.497358,0.036696,0.061243,0.024547,0.492413
hard,anchor,1,0.080000,6,1.000000,407,60,0.284799,0.239870,6.505318,0.000000,0.023250,0.001000,0.117838,0.023892,0.093946,0.242591,0.059808,0.084188,0.024380,0.217213
hard,anchor,1,0.080000,6,1.000000,413,60,0.569117,0.633089,4.496572,0.000000,0.016083,0.001000,0.088289,0.018204,0.070086,0.664358,0.071131,0.095049,0.023918,0.687209
hard,anchor,1,0.080000,6,1.000000,419,60,0.281751,0.299786,2.997275,0.000000,0.008306,0.001000,0.076522,0.019563,0.056959,0.398199,0.049808,0.070876,0.021068,0.251916
hard,anchor,1,0.080000,6,1.000000,424,60,0.507144,0.289647,1.435588,0.000000,0.002722,0.001000,0.055556,0.010695,0.044860,0.252000,0.052720,0.071283,0.018563,0.271992
hard,anchor,1,0.080000,6,1.000000,425,60,0.288266,0.239293,2.180264,0.000000,0.005889,0.001000,0.031830,0.021638,0.010192,0.368164,0.036906,0.060525,0.023619,0.404033
hard,anchor,1,0.080000,6,1.000000,417,60,0.362486,0.170198,3.550866,0.000000,0.011500,0.001000,0.108586,0.022398,0.086188,0.206897,0.094419,0.116836,0.022418,0.194037
hard,anchor,1,0.080000,6,1.000000,423,60,0.158569,0.279187,2.944875,0.000000,0.007417,0.001000,0.065274,0.028335,0.036939,0.311382,0.036785,0.057339,0.020554,0.295794
hard,anchor,1,0.080000,6,1.000000,426,60,0.309770,0.402437,1.931919,0.000000,0.003917,0.001000,0.052805,0.013369,0.039436,0.447563,0.054364,0.075207,0.020843,0.344808
