candidate,seed_count,stable_count,collapse_count,mean_final_success,mean_final_payoff,mean_final_comb_tilt,mean_final_min_transposition,mean_final_dance_propensity
trial_301,40,29,0,0.115,1.146,0.814,0.689,0.613
trial_600,40,38,0,0.244,3.186,0.840,0.829,0.573
trial_770,40,29,0,0.278,4.016,0.809,0.709,0.562
trial_877,40,28,0,0.265,3.615,0.821,0.706,0.512
trial_879,40,25,0,0.253,4.004,0.822,0.693,0.527
trial_909,40,35,0,0.227,3.056,0.833,0.765,0.548
trial_915,40,29,0,0.206,2.689,0.825,0.764,0.582
trial_96,40,36,0,0.169,1.929,0.841,0.814,0.597
trial_170,40,34,0,0.208,3.115,0.845,0.829,0.625
trial_759,40,33,0,0.291,4.327,0.828,0.749,0.588
trial_891,40,30,0,0.228,3.081,0.824,0.764,0.557
trial_1003,40,34,0,0.214,2.696,0.826,0.731,0.601
trial_17,40,32,0,0.193,1.789,0.781,0.747,0.572
trial_110,40,32,0,0.206,2.584,0.832,0.782,0.574
trial_967,40,34,0,0.304,4.450,0.839,0.749,0.526
trial_1015,40,28,0,0.247,3.221,0.826,0.747,0.581
trial_26,40,33,0,0.188,2.421,0.809,0.751,0.580
trial_529,40,37,0,0.350,5.741,0.852,0.777,0.517
trial_729,40,35,0,0.347,5.427,0.850,0.790,0.551
trial_918,40,31,0,0.217,2.894,0.823,0.756,0.588
