candidate,source,food_site_count,food_site_radius,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation
trial_337,trials,8,165.0000,12,1.0000,0.6000,4000.0000,2.500000e-05,0.1200,0.4000
trial_485,trials,6,150.0000,9,1.0000,0.5400,3500.0000,2.500000e-05,0.1000,0.9000
trial_603,trials,2,360.0000,9,1.0000,0.6000,3000.0000,3.500000e-05,0.1200,1.0000
trial_623,trials,8,345.0000,9,1.0000,0.6000,5250.0000,1.500000e-05,0.1000,1.0000
trial_626,trials,5,345.0000,9,1.0000,0.6000,5250.0000,1.750000e-05,0.1000,1.0000
trial_629,trials,4,345.0000,9,1.0000,0.6000,5250.0000,1.750000e-05,0.1000,1.0000
trial_633,trials,4,345.0000,9,1.0000,0.6000,3750.0000,1.750000e-05,0.1000,1.0000
trial_654,trials,4,285.0000,9,1.0000,0.6000,5250.0000,1.500000e-05,0.1000,1.0000
trial_655,trials,4,345.0000,9,1.0000,0.6000,6000.0000,1.500000e-05,0.1000,1.0000
trial_662,trials,5,345.0000,9,1.0000,0.5600,5250.0000,1.750000e-05,0.1000,1.0000
trial_663,trials,7,345.0000,9,1.0000,0.6000,5250.0000,1.500000e-05,0.1000,1.0000
trial_664,trials,5,345.0000,9,1.0000,0.6000,5250.0000,1.750000e-05,0.0900,1.0000
trial_667,trials,8,345.0000,9,1.0000,0.6000,6000.0000,1.500000e-05,0.1000,1.0000
trial_672,trials,6,345.0000,9,1.0000,0.6000,6000.0000,1.500000e-05,0.1000,1.0000
trial_677,trials,6,345.0000,9,1.0000,0.5600,5250.0000,1.500000e-05,0.1000,1.0000
trial_687,trials,7,345.0000,9,1.0000,0.6000,6000.0000,1.500000e-05,0.1000,1.0000
trial_728,trials,7,345.0000,9,1.0000,0.3800,3500.0000,1.750000e-05,0.1000,1.0000
trial_737,trials,7,345.0000,4,1.0000,0.5600,5250.0000,1.750000e-05,0.1000,1.0000
trial_742,trials,7,345.0000,4,1.0000,0.5600,6000.0000,1.500000e-05,0.1000,1.0000
trial_761,trials,5,285.0000,4,1.0000,0.6000,3500.0000,1.500000e-05,0.1000,1.0000
