cell,vertical_comb_benefit,mutation_sd,transposition_mutation_correlation,seed_count,stable_count,collapse_count,mean_final_success,mean_final_comb_tilt,mean_final_min_transposition,mean_final_dance_propensity
vertical_comb_benefit0.1000_mutation_sd0.0500_transposition_mutation_correlation0.0000,0.1000,0.0500,0.0000,100,0,0,0.366,0.173,0.189,0.617
vertical_comb_benefit0.1000_mutation_sd0.0500_transposition_mutation_correlation0.3000,0.1000,0.0500,0.3000,100,0,0,0.367,0.166,0.199,0.627
vertical_comb_benefit0.1000_mutation_sd0.0500_transposition_mutation_correlation0.6000,0.1000,0.0500,0.6000,100,1,0,0.367,0.185,0.208,0.592
vertical_comb_benefit0.1000_mutation_sd0.0500_transposition_mutation_correlation0.9000,0.1000,0.0500,0.9000,100,1,0,0.369,0.185,0.206,0.614
vertical_comb_benefit0.1000_mutation_sd0.0700_transposition_mutation_correlation0.0000,0.1000,0.0700,0.0000,100,0,0,0.352,0.194,0.225,0.588
vertical_comb_benefit0.1000_mutation_sd0.0700_transposition_mutation_correlation0.3000,0.1000,0.0700,0.3000,100,3,0,0.353,0.215,0.237,0.597
vertical_comb_benefit0.1000_mutation_sd0.0700_transposition_mutation_correlation0.6000,0.1000,0.0700,0.6000,100,2,0,0.354,0.212,0.228,0.564
vertical_comb_benefit0.1000_mutation_sd0.0700_transposition_mutation_correlation0.9000,0.1000,0.0700,0.9000,100,5,0,0.355,0.256,0.280,0.606
vertical_comb_benefit0.1000_mutation_sd0.0900_transposition_mutation_correlation0.0000,0.1000,0.0900,0.0000,100,2,0,0.338,0.222,0.251,0.586
vertical_comb_benefit0.1000_mutation_sd0.0900_transposition_mutation_correlation0.3000,0.1000,0.0900,0.3000,100,4,0,0.336,0.258,0.266,0.584
vertical_comb_benefit0.1000_mutation_sd0.0900_transposition_mutation_correlation0.6000,0.1000,0.0900,0.6000,100,5,0,0.338,0.281,0.287,0.563
vertical_comb_benefit0.1000_mutation_sd0.0900_transposition_mutation_correlation0.9000,0.1000,0.0900,0.9000,100,3,0,0.341,0.279,0.279,0.565
vertical_comb_benefit0.1000_mutation_sd0.1100_transposition_mutation_correlation0.0000,0.1000,0.1100,0.0000,100,2,0,0.323,0.269,0.300,0.554
vertical_comb_benefit0.1000_mutation_sd0.1100_transposition_mutation_correlation0.3000,0.1000,0.1100,0.3000,100,5,0,0.319,0.360,0.344,0.572
vertical_comb_benefit0.1000_mutation_sd0.1100_transposition_mutation_correlation0.6000,0.1000,0.1100,0.6000,100,5,0,0.325,0.344,0.348,0.550
vertical_comb_benefit0.1000_mutation_sd0.1100_transposition_mutation_correlation0.9000,0.1000,0.1100,0.9000,100,6,0,0.322,0.432,0.420,0.551
vertical_comb_benefit0.3000_mutation_sd0.0500_transposition_mutation_correlation0.0000,0.3000,0.0500,0.0000,100,6,0,0.354,0.329,0.230,0.621
vertical_comb_benefit0.3000_mutation_sd0.0500_transposition_mutation_correlation0.3000,0.3000,0.0500,0.3000,100,10,0,0.351,0.345,0.251,0.615
vertical_comb_benefit0.3000_mutation_sd0.0500_transposition_mutation_correlation0.6000,0.3000,0.0500,0.6000,100,8,0,0.356,0.359,0.258,0.648
vertical_comb_benefit0.3000_mutation_sd0.0500_transposition_mutation_correlation0.9000,0.3000,0.0500,0.9000,100,20,0,0.351,0.448,0.332,0.636
vertical_comb_benefit0.3000_mutation_sd0.0700_transposition_mutation_correlation0.0000,0.3000,0.0700,0.0000,100,12,0,0.341,0.357,0.281,0.554
vertical_comb_benefit0.3000_mutation_sd0.0700_transposition_mutation_correlation0.3000,0.3000,0.0700,0.3000,100,25,0,0.343,0.445,0.366,0.552
vertical_comb_benefit0.3000_mutation_sd0.0700_transposition_mutation_correlation0.6000,0.3000,0.0700,0.6000,100,26,0,0.344,0.458,0.397,0.550
vertical_comb_benefit0.3000_mutation_sd0.0700_transposition_mutation_correlation0.9000,0.3000,0.0700,0.9000,100,46,0,0.346,0.593,0.535,0.586
vertical_comb_benefit0.3000_mutation_sd0.0900_transposition_mutation_correlation0.0000,0.3000,0.0900,0.0000,100,27,0,0.327,0.510,0.442,0.554
vertical_comb_benefit0.3000_mutation_sd0.0900_transposition_mutation_correlation0.3000,0.3000,0.0900,0.3000,100,39,0,0.328,0.593,0.504,0.566
vertical_comb_benefit0.3000_mutation_sd0.0900_transposition_mutation_correlation0.6000,0.3000,0.0900,0.6000,100,54,0,0.327,0.681,0.591,0.579
vertical_comb_benefit0.3000_mutation_sd0.0900_transposition_mutation_correlation0.9000,0.3000,0.0900,0.9000,100,53,0,0.332,0.661,0.606,0.574
vertical_comb_benefit0.3000_mutation_sd0.1100_transposition_mutation_correlation0.0000,0.3000,0.1100,0.0000,100,40,0,0.310,0.644,0.549,0.560
vertical_comb_benefit0.3000_mutation_sd0.1100_transposition_mutation_correlation0.3000,0.3000,0.1100,0.3000,100,46,0,0.313,0.723,0.635,0.548
vertical_comb_benefit0.3000_mutation_sd0.1100_transposition_mutation_correlation0.6000,0.3000,0.1100,0.6000,100,51,0,0.318,0.739,0.663,0.555
vertical_comb_benefit0.3000_mutation_sd0.1100_transposition_mutation_correlation0.9000,0.3000,0.1100,0.9000,100,56,0,0.321,0.769,0.709,0.570
vertical_comb_benefit0.4500_mutation_sd0.0500_transposition_mutation_correlation0.0000,0.4500,0.0500,0.0000,100,13,0,0.330,0.524,0.264,0.647
