number,state,value,seed,food_site_count,food_site_radius,food_site_capacity,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation,stable,collapsed,progress,final_success,final_payoff,final_comb_tilt,final_sender_transposition,final_receiver_transposition,final_min_transposition,final_dance_propensity
0,COMPLETE,-8.350,100,1,330.000,4,0.480,7500.000,5.250000e-05,0.140,0.000,false,true,0.918,0.007,0.030,0.734,0.487,0.838,0.487,0.141
0,COMPLETE,-8.350,101,1,330.000,4,0.480,7500.000,5.250000e-05,0.140,0.000,false,true,0.424,0.008,0.023,0.893,0.212,0.320,0.212,0.632
0,COMPLETE,-8.350,102,1,330.000,4,0.480,7500.000,5.250000e-05,0.140,0.000,false,true,0.833,0.008,0.042,0.704,0.416,0.921,0.416,0.490
0,COMPLETE,-8.350,103,1,330.000,4,0.480,7500.000,5.250000e-05,0.140,0.000,false,true,0.392,0.008,0.032,0.544,0.196,0.490,0.196,0.154
0,COMPLETE,-8.350,104,1,330.000,4,0.480,7500.000,5.250000e-05,0.140,0.000,false,true,0.257,0.007,0.023,0.829,0.902,0.129,0.129,0.542
0,COMPLETE,-8.350,105,1,330.000,4,0.480,7500.000,5.250000e-05,0.140,0.000,true,true,1.000,0.014,0.027,0.802,0.812,0.820,0.812,0.095
0,COMPLETE,-8.350,106,1,330.000,4,0.480,7500.000,5.250000e-05,0.140,0.000,false,true,0.411,0.007,0.026,0.703,0.472,0.206,0.206,0.253
0,COMPLETE,-8.350,107,1,330.000,4,0.480,7500.000,5.250000e-05,0.140,0.000,false,true,0.947,0.010,0.037,0.757,0.734,0.926,0.734,0.915
0,COMPLETE,-8.350,108,1,330.000,4,0.480,7500.000,5.250000e-05,0.140,0.000,false,true,0.462,0.011,0.052,0.861,0.231,0.488,0.231,0.673
0,COMPLETE,-8.350,109,1,330.000,4,0.480,7500.000,5.250000e-05,0.140,0.000,false,true,0.857,0.009,0.046,0.686,0.823,0.702,0.702,0.308
1,COMPLETE,0.165,100,2,270.000,5,0.100,5250.000,2.250000e-05,0.080,0.800,false,false,0.181,0.116,0.545,0.145,0.242,0.244,0.242,0.888
1,COMPLETE,0.165,101,2,270.000,5,0.100,5250.000,2.250000e-05,0.080,0.800,false,false,0.159,0.120,0.521,0.127,0.196,0.104,0.104,0.520
1,COMPLETE,0.165,102,2,270.000,5,0.100,5250.000,2.250000e-05,0.080,0.800,false,false,0.110,0.117,0.570,0.088,0.315,0.338,0.315,0.677
1,COMPLETE,0.165,103,2,270.000,5,0.100,5250.000,2.250000e-05,0.080,0.800,false,false,0.167,0.120,0.531,0.134,0.092,0.137,0.092,0.852
1,COMPLETE,0.165,104,2,270.000,5,0.100,5250.000,2.250000e-05,0.080,0.800,false,false,0.139,0.120,0.582,0.111,0.159,0.200,0.159,0.688
1,COMPLETE,0.165,105,2,270.000,5,0.100,5250.000,2.250000e-05,0.080,0.800,false,false,0.120,0.117,0.608,0.096,0.256,0.165,0.165,0.535
1,COMPLETE,0.165,106,2,270.000,5,0.100,5250.000,2.250000e-05,0.080,0.800,false,false,0.282,0.113,0.480,0.225,0.160,0.203,0.160,0.596
1,COMPLETE,0.165,107,2,270.000,5,0.100,5250.000,2.250000e-05,0.080,0.800,false,false,0.174,0.112,0.485,0.139,0.207,0.185,0.185,0.509
1,COMPLETE,0.165,108,2,270.000,5,0.100,5250.000,2.250000e-05,0.080,0.800,false,false,0.169,0.114,0.492,0.135,0.283,0.455,0.283,0.586
1,COMPLETE,0.165,109,2,270.000,5,0.100,5250.000,2.250000e-05,0.080,0.800,false,false,0.150,0.115,0.496,0.120,0.208,0.215,0.208,0.433
2,COMPLETE,0.232,100,3,240.000,3,0.400,6250.000,1.500000e-05,0.090,0.800,false,false,0.166,0.130,0.855,0.133,0.166,0.137,0.137,0.705
2,COMPLETE,0.232,101,3,240.000,3,0.400,6250.000,1.500000e-05,0.090,0.800,false,false,0.297,0.128,0.900,0.237,0.205,0.191,0.191,0.558
2,COMPLETE,0.232,102,3,240.000,3,0.400,6250.000,1.500000e-05,0.090,0.800,false,false,0.310,0.113,0.764,0.248,0.244,0.204,0.204,0.672
2,COMPLETE,0.232,103,3,240.000,3,0.400,6250.000,1.500000e-05,0.090,0.800,false,false,0.170,0.123,0.812,0.136,0.249,0.271,0.249,0.699
2,COMPLETE,0.232,104,3,240.000,3,0.400,6250.000,1.500000e-05,0.090,0.800,false,false,0.222,0.127,0.812,0.179,0.181,0.111,0.111,0.680
2,COMPLETE,0.232,105,3,240.000,3,0.400,6250.000,1.500000e-05,0.090,0.800,false,false,0.203,0.125,0.846,0.163,0.257,0.180,0.180,0.662
2,COMPLETE,0.232,106,3,240.000,3,0.400,6250.000,1.500000e-05,0.090,0.800,false,false,0.136,0.122,0.825,0.109,0.283,0.270,0.270,0.599
2,COMPLETE,0.232,107,3,240.000,3,0.400,6250.000,1.500000e-05,0.090,0.800,false,false,0.301,0.109,0.720,0.240,0.227,0.265,0.227,0.682
2,COMPLETE,0.232,108,3,240.000,3,0.400,6250.000,1.500000e-05,0.090,0.800,false,false,0.226,0.136,0.962,0.180,0.176,0.206,0.176,0.829
