number,state,value,food_site_count,food_site_radius,food_site_radius_log_sd,food_site_capacity,food_value,vertical_comb_benefit,food_site_min_distance,food_site_max_distance,foray_shape,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation,stable_count,seed_count,collapse_count,mean_progress,mean_final_success,mean_final_payoff,mean_final_comb_tilt,mean_final_min_transposition,mean_final_dance_propensity,elapsed_seconds
0,COMPLETE,-9.875,7,75.000,0.6,11,,0.360,750.0,4000.000,2.0,2.250000e-05,0.050,0.700,0,10,10,0.125,0.066,0.089,0.132,0.162,0.601,625.075
1,COMPLETE,8.903,5,330.000,0.6,4,,0.580,750.0,3750.000,2.0,3.000000e-05,0.070,0.800,8,10,0,0.903,0.263,3.275,0.777,0.723,0.553,908.921
2,COMPLETE,-7.518,2,195.000,0.6,6,,0.200,750.0,5250.000,2.0,4.250000e-05,0.090,0.400,2,10,10,0.482,0.003,0.004,0.504,0.359,0.549,253.459
3,COMPLETE,0.201,4,345.000,0.6,3,,0.420,750.0,7500.000,2.0,1.750000e-05,0.100,0.700,0,10,0,0.201,0.128,0.555,0.161,0.190,0.690,684.260
4,COMPLETE,-1.843,7,195.000,0.6,5,,0.420,750.0,5500.000,2.0,4.000000e-05,0.080,0.100,0,10,2,0.157,0.143,0.177,0.125,0.215,0.690,813.451
5,COMPLETE,-9.707,3,330.000,0.6,11,,0.280,750.0,7000.000,2.0,4.000000e-05,0.040,0.500,0,10,10,0.293,0.004,0.025,0.396,0.244,0.572,288.742
6,COMPLETE,0.226,3,330.000,0.6,4,,0.340,750.0,4250.000,2.0,2.500000e-05,0.070,0.900,0,10,0,0.226,0.164,1.182,0.181,0.203,0.551,746.421
7,COMPLETE,9.980,6,300.000,0.6,2,,0.360,750.0,3250.000,2.0,1.250000e-05,0.120,0.700,9,10,0,0.980,0.269,3.711,0.823,0.721,0.567,1024.104
8,COMPLETE,0.263,7,330.000,0.6,11,,0.120,750.0,5750.000,2.0,2.750000e-05,0.090,0.900,0,10,0,0.263,0.233,1.647,0.220,0.206,0.518,987.508
9,COMPLETE,-8.435,1,360.000,0.6,12,,0.140,750.0,7000.000,2.0,3.000000e-05,0.120,0.500,1,10,10,0.565,0.004,0.011,0.578,0.424,0.648,218.337
10,COMPLETE,-9.702,3,90.000,0.6,4,,0.260,750.0,3500.000,2.0,5.750000e-05,0.040,0.400,0,10,10,0.298,0.011,0.001,0.243,0.255,0.649,333.272
11,COMPLETE,-9.499,2,90.000,0.6,11,,0.300,750.0,3250.000,2.0,5.750000e-05,0.070,0.300,0,10,10,0.501,0.010,0.001,0.459,0.376,0.476,286.940
12,COMPLETE,-9.360,3,135.000,0.6,9,,0.320,750.0,4750.000,2.0,5.750000e-05,0.120,0.900,0,10,10,0.640,0.015,0.001,0.512,0.592,0.544,331.067
13,COMPLETE,-9.582,3,105.000,0.6,6,,0.580,750.0,6750.000,2.0,3.750000e-05,0.050,0.400,0,10,10,0.418,0.011,0.001,0.357,0.274,0.647,378.112
14,COMPLETE,1.600,7,225.000,0.6,3,,0.140,750.0,6750.000,2.0,1.000000e-05,0.130,0.700,1,10,0,0.600,0.122,0.987,0.482,0.488,0.613,827.482
15,COMPLETE,0.210,3,255.000,0.6,6,,0.420,750.0,3000.000,2.0,3.750000e-05,0.070,0.700,0,10,0,0.210,0.166,1.139,0.168,0.211,0.636,793.603
16,COMPLETE,5.644,7,210.000,0.6,2,,0.540,750.0,6000.000,2.0,1.000000e-05,0.040,0.900,5,10,0,0.644,0.132,1.482,0.729,0.477,0.700,815.628
17,COMPLETE,-9.526,7,105.000,0.6,8,,0.280,750.0,6250.000,2.0,2.500000e-05,0.130,0.000,0,10,10,0.474,0.027,0.001,0.457,0.269,0.566,500.960
18,COMPLETE,-7.427,5,315.000,0.6,2,,0.200,750.0,6000.000,2.0,5.750000e-05,0.100,0.600,2,10,10,0.573,0.045,0.056,0.558,0.398,0.543,527.667
19,COMPLETE,-8.646,3,360.000,0.6,11,,0.560,750.0,5750.000,2.0,3.750000e-05,0.070,0.900,1,10,10,0.354,0.085,0.178,0.459,0.271,0.698,543.271
20,COMPLETE,-8.427,4,150.000,0.6,2,,0.220,750.0,4250.000,2.0,5.000000e-05,0.100,0.800,1,10,10,0.573,0.012,0.003,0.567,0.449,0.515,413.702
21,COMPLETE,-8.591,5,180.000,0.6,4,,0.480,750.0,6500.000,2.0,4.750000e-05,0.100,0.800,1,10,10,0.409,0.006,0.003,0.412,0.391,0.484,438.119
22,COMPLETE,-1.839,8,345.000,0.6,3,,0.400,750.0,7500.000,2.0,4.250000e-05,0.080,0.100,0,10,2,0.161,0.214,0.490,0.129,0.175,0.675,980.410
23,COMPLETE,0.187,6,180.000,0.6,3,,0.140,750.0,4000.000,2.0,4.750000e-05,0.110,0.900,0,10,0,0.187,0.150,0.361,0.150,0.197,0.606,903.909
24,COMPLETE,0.241,8,285.000,0.6,9,,0.360,750.0,6500.000,2.0,1.250000e-05,0.040,1.000,0,10,0,0.241,0.211,2.017,0.284,0.180,0.634,926.320
25,COMPLETE,-9.375,4,120.000,0.6,3,,0.380,750.0,7000.000,2.0,4.500000e-05,0.100,0.900,0,10,10,0.625,0.017,0.001,0.560,0.462,0.526,481.305
26,COMPLETE,0.190,5,345.000,0.6,5,,0.120,750.0,5000.000,2.0,3.750000e-05,0.090,0.600,0,10,0,0.190,0.222,1.281,0.152,0.195,0.628,940.987
27,COMPLETE,0.158,3,345.000,0.6,5,,0.600,750.0,3500.000,2.0,6.000000e-05,0.040,0.600,0,10,0,0.158,0.225,1.131,0.162,0.115,0.595,819.226
28,COMPLETE,0.301,6,345.000,0.6,7,,0.340,750.0,3750.000,2.0,2.000000e-05,0.040,0.300,0,10,0,0.301,0.305,3.341,0.342,0.185,0.721,1097.826
29,COMPLETE,7.928,5,180.000,0.6,2,,0.560,750.0,5500.000,2.0,1.250000e-05,0.110,0.500,7,10,0,0.928,0.086,0.695,0.781,0.751,0.685,605.423
30,COMPLETE,-9.398,3,90.000,0.6,10,,0.460,750.0,6250.000,2.0,5.500000e-05,0.100,0.500,0,10,10,0.602,0.012,0.001,0.498,0.456,0.506,450.151
31,COMPLETE,-9.584,3,120.000,0.6,8,,0.380,750.0,5000.000,2.0,5.750000e-05,0.050,0.500,0,10,10,0.416,0.016,0.001,0.378,0.307,0.662,331.187
32,COMPLETE,-6.496,4,195.000,0.6,4,,0.520,750.0,5750.000,2.0,3.250000e-05,0.110,0.400,3,10,10,0.504,0.030,0.009,0.435,0.442,0.589,497.623
33,COMPLETE,2.406,7,285.000,0.6,2,,0.320,750.0,5500.000,2.0,3.500000e-05,0.140,0.600,2,10,0,0.406,0.196,1.029,0.329,0.326,0.600,995.104
34,COMPLETE,0.203,5,240.000,0.6,3,,0.180,750.0,5500.000,2.0,2.750000e-05,0.140,0.900,0,10,0,0.203,0.129,0.427,0.168,0.215,0.630,824.493
35,COMPLETE,-8.739,5,120.000,0.6,4,,0.340,750.0,5500.000,2.0,1.500000e-05,0.090,1.000,1,10,10,0.261,0.059,0.098,0.211,0.308,0.674,675.413
36,COMPLETE,-7.670,4,240.000,0.6,5,,0.240,750.0,5750.000,2.0,3.500000e-05,0.120,1.000,2,10,10,0.330,0.070,0.034,0.325,0.336,0.656,512.561
37,COMPLETE,-8.522,1,195.000,0.6,10,,0.360,750.0,7250.000,2.0,3.750000e-05,0.090,0.300,1,10,10,0.478,0.004,0.002,0.503,0.407,0.437,230.706
38,COMPLETE,-8.456,3,270.000,0.6,3,,0.540,750.0,6750.000,2.0,5.250000e-05,0.120,0.800,1,10,10,0.544,0.005,0.008,0.636,0.371,0.538,328.982
39,COMPLETE,-6.839,4,150.000,0.6,9,,0.420,750.0,3500.000,2.0,5.000000e-05,0.130,0.000,0,10,7,0.161,0.081,0.026,0.179,0.202,0.709,630.401
40,COMPLETE,0.211,6,180.000,0.6,6,,0.360,750.0,3750.000,2.0,4.750000e-05,0.120,0.900,0,10,0,0.211,0.151,0.499,0.172,0.219,0.621,931.721
41,COMPLETE,-9.851,6,75.000,0.6,8,,0.400,750.0,3500.000,2.0,2.750000e-05,0.140,0.100,0,10,10,0.149,0.056,0.030,0.133,0.172,0.682,571.420
42,COMPLETE,-9.412,7,60.000,0.6,3,,0.380,750.0,7250.000,2.0,4.250000e-05,0.110,0.900,0,10,10,0.588,0.017,0.001,0.476,0.490,0.541,444.516
43,COMPLETE,-8.530,4,300.000,0.6,10,,0.360,750.0,6250.000,2.0,4.500000e-05,0.110,0.500,1,10,10,0.470,0.012,0.033,0.555,0.317,0.598,439.701
44,COMPLETE,-8.497,8,135.000,0.6,2,,0.160,750.0,7250.000,2.0,5.750000e-05,0.070,0.000,0,10,9,0.503,0.020,0.001,0.447,0.359,0.401,501.137
45,COMPLETE,0.165,7,180.000,0.6,5,,0.180,750.0,6000.000,2.0,2.500000e-05,0.060,0.900,0,10,0,0.165,0.129,0.359,0.132,0.187,0.679,844.454
46,COMPLETE,-9.656,2,240.000,0.6,6,,0.220,750.0,6750.000,2.0,5.000000e-05,0.080,0.300,0,10,10,0.344,0.002,0.006,0.359,0.314,0.634,255.142
47,COMPLETE,5.791,4,240.000,0.6,7,,0.560,750.0,3500.000,2.0,2.000000e-05,0.110,0.000,5,10,0,0.791,0.149,1.641,0.651,0.604,0.583,713.167
