candidate,seed_count,stable_count,collapse_count,mean_final_success,mean_final_payoff,mean_final_comb_tilt,mean_final_min_transposition,mean_final_dance_propensity
baseline,100,91,0,0.348,5.442,0.845,0.782,0.565
food_site_count=2,100,46,0,0.179,2.192,0.569,0.512,0.617
food_site_count=3,100,64,0,0.242,3.385,0.709,0.638,0.584
food_site_count=4,100,78,0,0.296,4.479,0.821,0.733,0.595
food_site_count=6,100,85,0,0.384,6.089,0.853,0.757,0.556
food_site_count=7,100,87,0,0.422,6.786,0.861,0.749,0.568
food_site_radius=225.0000,100,79,0,0.240,3.484,0.813,0.707,0.597
food_site_radius=270.0000,100,87,0,0.295,4.485,0.842,0.757,0.565
food_site_radius=360.0000,100,89,0,0.392,6.256,0.862,0.760,0.590
food_site_capacity=1,100,88,0,0.331,5.152,0.846,0.760,0.575
food_site_capacity=2,100,88,0,0.339,5.305,0.852,0.760,0.565
food_site_capacity=3,100,90,0,0.345,5.411,0.858,0.773,0.565
food_site_capacity=5,100,88,0,0.348,5.443,0.847,0.788,0.562
food_site_capacity=6,100,91,0,0.348,5.439,0.854,0.776,0.588
vertical_comb_benefit=0.4400,100,66,0,0.343,4.843,0.763,0.672,0.574
vertical_comb_benefit=0.4800,100,79,0,0.344,5.053,0.815,0.711,0.565
vertical_comb_benefit=0.5200,100,81,0,0.346,5.208,0.814,0.734,0.596
vertical_comb_benefit=0.6000,100,93,0,0.346,5.553,0.861,0.791,0.562
food_site_max_distance=3000.0000,100,93,0,0.357,5.655,0.859,0.779,0.563
food_site_max_distance=4000.0000,100,85,0,0.316,4.746,0.840,0.758,0.579
food_site_max_distance=4750.0000,100,79,0,0.290,4.123,0.802,0.734,0.606
travel_cost_per_distance=1.000000e-05,100,84,0,0.343,5.600,0.850,0.770,0.599
travel_cost_per_distance=1.250000e-05,100,90,0,0.344,5.537,0.848,0.770,0.569
travel_cost_per_distance=2.250000e-05,100,93,0,0.346,5.277,0.861,0.798,0.577
travel_cost_per_distance=3.250000e-05,100,76,0,0.346,4.812,0.789,0.707,0.589
mutation_sd=0.0400,200,52,0,0.325,4.690,0.689,0.359,0.671
mutation_sd=0.0400,200,52,0,0.325,4.690,0.689,0.359,0.671
mutation_sd=0.0500,100,49,0,0.334,5.042,0.780,0.514,0.644
mutation_sd=0.0900,100,93,0,0.334,5.212,0.848,0.787,0.578
transposition_mutation_correlation=0.4000,100,73,0,0.333,5.127,0.823,0.682,0.555
transposition_mutation_correlation=0.6500,100,76,0,0.335,5.180,0.833,0.693,0.572
transposition_mutation_correlation=1.0000,100,96,0,0.350,5.508,0.865,0.817,0.588
