point,parameter,parameter_value,is_baseline,food_site_count,food_site_radius,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation
baseline,baseline,,true,5,315.0000,4,1.0000,0.5600,3250.0000,1.750000e-05,0.0700,0.9000
food_site_count=2,food_site_count,2,false,2,315.0000,4,1.0000,0.5600,3250.0000,1.750000e-05,0.0700,0.9000
food_site_count=3,food_site_count,3,false,3,315.0000,4,1.0000,0.5600,3250.0000,1.750000e-05,0.0700,0.9000
food_site_count=4,food_site_count,4,false,4,315.0000,4,1.0000,0.5600,3250.0000,1.750000e-05,0.0700,0.9000
food_site_count=6,food_site_count,6,false,6,315.0000,4,1.0000,0.5600,3250.0000,1.750000e-05,0.0700,0.9000
food_site_count=7,food_site_count,7,false,7,315.0000,4,1.0000,0.5600,3250.0000,1.750000e-05,0.0700,0.9000
food_site_radius=225.0000,food_site_radius,225.0000,false,5,225.0000,4,1.0000,0.5600,3250.0000,1.750000e-05,0.0700,0.9000
food_site_radius=270.0000,food_site_radius,270.0000,false,5,270.0000,4,1.0000,0.5600,3250.0000,1.750000e-05,0.0700,0.9000
food_site_radius=360.0000,food_site_radius,360.0000,false,5,360.0000,4,1.0000,0.5600,3250.0000,1.750000e-05,0.0700,0.9000
food_site_capacity=1,food_site_capacity,1,false,5,315.0000,1,1.0000,0.5600,3250.0000,1.750000e-05,0.0700,0.9000
food_site_capacity=2,food_site_capacity,2,false,5,315.0000,2,1.0000,0.5600,3250.0000,1.750000e-05,0.0700,0.9000
food_site_capacity=3,food_site_capacity,3,false,5,315.0000,3,1.0000,0.5600,3250.0000,1.750000e-05,0.0700,0.9000
food_site_capacity=5,food_site_capacity,5,false,5,315.0000,5,1.0000,0.5600,3250.0000,1.750000e-05,0.0700,0.9000
food_site_capacity=6,food_site_capacity,6,false,5,315.0000,6,1.0000,0.5600,3250.0000,1.750000e-05,0.0700,0.9000
vertical_comb_benefit=0.4400,vertical_comb_benefit,0.4400,false,5,315.0000,4,1.0000,0.4400,3250.0000,1.750000e-05,0.0700,0.9000
vertical_comb_benefit=0.4800,vertical_comb_benefit,0.4800,false,5,315.0000,4,1.0000,0.4800,3250.0000,1.750000e-05,0.0700,0.9000
vertical_comb_benefit=0.5200,vertical_comb_benefit,0.5200,false,5,315.0000,4,1.0000,0.5200,3250.0000,1.750000e-05,0.0700,0.9000
vertical_comb_benefit=0.6000,vertical_comb_benefit,0.6000,false,5,315.0000,4,1.0000,0.6000,3250.0000,1.750000e-05,0.0700,0.9000
food_site_max_distance=3000.0000,food_site_max_distance,3000.0000,false,5,315.0000,4,1.0000,0.5600,3000.0000,1.750000e-05,0.0700,0.9000
food_site_max_distance=4000.0000,food_site_max_distance,4000.0000,false,5,315.0000,4,1.0000,0.5600,4000.0000,1.750000e-05,0.0700,0.9000
food_site_max_distance=4750.0000,food_site_max_distance,4750.0000,false,5,315.0000,4,1.0000,0.5600,4750.0000,1.750000e-05,0.0700,0.9000
travel_cost_per_distance=1.000000e-05,travel_cost_per_distance,1.000000e-05,false,5,315.0000,4,1.0000,0.5600,3250.0000,1.000000e-05,0.0700,0.9000
travel_cost_per_distance=1.250000e-05,travel_cost_per_distance,1.250000e-05,false,5,315.0000,4,1.0000,0.5600,3250.0000,1.250000e-05,0.0700,0.9000
travel_cost_per_distance=2.250000e-05,travel_cost_per_distance,2.250000e-05,false,5,315.0000,4,1.0000,0.5600,3250.0000,2.250000e-05,0.0700,0.9000
travel_cost_per_distance=3.250000e-05,travel_cost_per_distance,3.250000e-05,false,5,315.0000,4,1.0000,0.5600,3250.0000,3.250000e-05,0.0700,0.9000
mutation_sd=0.0400,mutation_sd,0.0400,false,5,315.0000,4,1.0000,0.5600,3250.0000,1.750000e-05,0.0400,0.9000
mutation_sd=0.0500,mutation_sd,0.0500,false,5,315.0000,4,1.0000,0.5600,3250.0000,1.750000e-05,0.0500,0.9000
mutation_sd=0.0900,mutation_sd,0.0900,false,5,315.0000,4,1.0000,0.5600,3250.0000,1.750000e-05,0.0900,0.9000
transposition_mutation_correlation=0.4000,transposition_mutation_correlation,0.4000,false,5,315.0000,4,1.0000,0.5600,3250.0000,1.750000e-05,0.0700,0.4000
transposition_mutation_correlation=0.6500,transposition_mutation_correlation,0.6500,false,5,315.0000,4,1.0000,0.5600,3250.0000,1.750000e-05,0.0700,0.6500
transposition_mutation_correlation=1.0000,transposition_mutation_correlation,1.0000,false,5,315.0000,4,1.0000,0.5600,3250.0000,1.750000e-05,0.0700,1.0000
