candidate,seed_count,stable_count,collapse_count,mean_final_success,mean_final_payoff,mean_final_comb_tilt,mean_final_min_transposition,mean_final_dance_propensity
trial_65,40,33,0,0.168,1.905,0.821,0.757,0.606
trial_169,40,35,0,0.197,2.846,0.833,0.746,0.523
trial_178,40,34,0,0.240,3.189,0.813,0.741,0.573
trial_297,40,31,0,0.426,5.996,0.828,0.699,0.548
trial_313,40,36,0,0.339,4.160,0.843,0.774,0.540
trial_541,40,35,0,0.347,5.700,0.852,0.752,0.580
trial_631,40,20,0,0.233,1.479,0.578,0.575,0.607
trial_653,40,24,0,0.353,5.528,0.813,0.767,0.513
trial_654,40,27,0,0.196,2.850,0.822,0.804,0.571
trial_657,40,33,0,0.193,2.741,0.827,0.805,0.590
trial_795,40,29,0,0.275,4.338,0.821,0.773,0.579
trial_852,40,24,0,0.367,5.789,0.815,0.645,0.538
trial_872,40,28,0,0.163,1.906,0.830,0.670,0.564
trial_917,40,29,0,0.221,2.909,0.821,0.708,0.573
trial_983,40,32,0,0.249,3.285,0.842,0.672,0.578
trial_985,40,33,0,0.256,3.392,0.839,0.721,0.562
trial_1007,40,33,0,0.276,4.080,0.831,0.777,0.594
trial_1013,40,37,0,0.260,3.475,0.846,0.772,0.534
trial_463,40,30,0,0.147,1.202,0.799,0.698,0.551
trial_769,40,32,0,0.360,5.617,0.824,0.752,0.552
