candidate,source,food_site_count,food_site_radius,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation
trial_254,trials,8,225.0000,4,1.0000,0.5800,5000.0000,3.000000e-05,0.1400,0.5000
trial_383,trials,5,210.0000,5,1.0000,0.5600,4250.0000,1.750000e-05,0.1000,0.5000
trial_608,trials,5,270.0000,5,1.0000,0.6000,3000.0000,4.500000e-05,0.1000,1.0000
trial_630,trials,5,270.0000,9,1.0000,0.6000,3000.0000,4.500000e-05,0.1200,0.8000
trial_638,trials,4,270.0000,5,1.0000,0.6000,3000.0000,4.500000e-05,0.1200,0.8000
trial_669,trials,7,270.0000,4,1.0000,0.5600,3750.0000,5.250000e-05,0.1300,0.8000
trial_676,trials,4,285.0000,5,1.0000,0.6000,3750.0000,3.500000e-05,0.1300,0.8000
trial_692,trials,4,345.0000,5,1.0000,0.6000,3000.0000,3.500000e-05,0.1300,0.8000
trial_697,trials,5,285.0000,5,1.0000,0.5600,3750.0000,3.500000e-05,0.1300,0.7000
trial_707,trials,7,285.0000,4,1.0000,0.5000,3750.0000,3.500000e-05,0.1300,0.7000
trial_901,trials,7,165.0000,2,1.0000,0.5400,5250.0000,1.000000e-05,0.0900,0.0000
trial_903,trials,7,360.0000,2,1.0000,0.5400,5250.0000,1.250000e-05,0.1100,0.0000
trial_908,trials,7,345.0000,2,1.0000,0.5400,5250.0000,1.000000e-05,0.1100,0.0000
trial_918,trials,7,345.0000,3,1.0000,0.5400,5250.0000,1.000000e-05,0.1100,0.0000
trial_923,trials,7,345.0000,2,1.0000,0.5400,5250.0000,1.250000e-05,0.0900,0.0000
trial_950,trials,8,255.0000,2,1.0000,0.5400,5250.0000,1.500000e-05,0.0900,0.6000
trial_953,trials,8,225.0000,2,1.0000,0.5400,4250.0000,2.000000e-05,0.0900,0.6000
trial_961,trials,8,225.0000,2,1.0000,0.5400,5250.0000,1.000000e-05,0.0900,0.6000
trial_969,trials,8,345.0000,2,1.0000,0.5400,5250.0000,2.000000e-05,0.0900,0.6000
trial_977,trials,8,345.0000,2,1.0000,0.5600,4250.0000,2.000000e-05,0.0900,0.4000
