cell,vertical_comb_benefit,mutation_sd,transposition_mutation_correlation,seed_count,stable_count,collapse_count,mean_final_success,mean_final_comb_tilt,mean_final_min_transposition,mean_final_dance_propensity
vertical_comb_benefit0.3000_mutation_sd0.0500_transposition_mutation_correlation0.0000,0.3000,0.0500,0.0000,100,6,0,0.368,0.349,0.224,0.615
vertical_comb_benefit0.3000_mutation_sd0.0500_transposition_mutation_correlation0.3000,0.3000,0.0500,0.3000,100,10,0,0.366,0.377,0.251,0.639
vertical_comb_benefit0.3000_mutation_sd0.0500_transposition_mutation_correlation0.6000,0.3000,0.0500,0.6000,100,14,0,0.367,0.401,0.279,0.643
vertical_comb_benefit0.3000_mutation_sd0.0500_transposition_mutation_correlation0.9000,0.3000,0.0500,0.9000,100,25,0,0.366,0.479,0.370,0.597
vertical_comb_benefit0.3000_mutation_sd0.0700_transposition_mutation_correlation0.0000,0.3000,0.0700,0.0000,100,21,0,0.357,0.416,0.341,0.566
vertical_comb_benefit0.3000_mutation_sd0.0700_transposition_mutation_correlation0.3000,0.3000,0.0700,0.3000,100,33,0,0.361,0.500,0.419,0.560
vertical_comb_benefit0.3000_mutation_sd0.0700_transposition_mutation_correlation0.6000,0.3000,0.0700,0.6000,100,43,0,0.360,0.581,0.505,0.557
vertical_comb_benefit0.3000_mutation_sd0.0700_transposition_mutation_correlation0.9000,0.3000,0.0700,0.9000,100,39,0,0.363,0.575,0.535,0.544
vertical_comb_benefit0.3000_mutation_sd0.0900_transposition_mutation_correlation0.0000,0.3000,0.0900,0.0000,100,41,0,0.342,0.616,0.497,0.514
vertical_comb_benefit0.3000_mutation_sd0.0900_transposition_mutation_correlation0.3000,0.3000,0.0900,0.3000,100,54,0,0.347,0.652,0.560,0.568
vertical_comb_benefit0.3000_mutation_sd0.0900_transposition_mutation_correlation0.6000,0.3000,0.0900,0.6000,100,56,0,0.348,0.684,0.607,0.546
vertical_comb_benefit0.3000_mutation_sd0.0900_transposition_mutation_correlation0.9000,0.3000,0.0900,0.9000,100,57,0,0.351,0.712,0.658,0.544
vertical_comb_benefit0.3000_mutation_sd0.1100_transposition_mutation_correlation0.0000,0.3000,0.1100,0.0000,100,60,0,0.331,0.764,0.635,0.550
vertical_comb_benefit0.3000_mutation_sd0.1100_transposition_mutation_correlation0.3000,0.3000,0.1100,0.3000,100,55,0,0.332,0.747,0.617,0.539
vertical_comb_benefit0.3000_mutation_sd0.1100_transposition_mutation_correlation0.6000,0.3000,0.1100,0.6000,100,67,0,0.336,0.784,0.681,0.528
vertical_comb_benefit0.3000_mutation_sd0.1100_transposition_mutation_correlation0.9000,0.3000,0.1100,0.9000,100,58,0,0.338,0.789,0.745,0.534
vertical_comb_benefit0.4400_mutation_sd0.0500_transposition_mutation_correlation0.0000,0.4400,0.0500,0.0000,100,16,0,0.350,0.530,0.299,0.596
vertical_comb_benefit0.4400_mutation_sd0.0500_transposition_mutation_correlation0.3000,0.4400,0.0500,0.3000,100,24,0,0.352,0.580,0.346,0.647
vertical_comb_benefit0.4400_mutation_sd0.0500_transposition_mutation_correlation0.6000,0.4400,0.0500,0.6000,100,47,0,0.358,0.662,0.461,0.607
vertical_comb_benefit0.4400_mutation_sd0.0500_transposition_mutation_correlation0.9000,0.4400,0.0500,0.9000,100,38,0,0.367,0.565,0.434,0.626
vertical_comb_benefit0.4400_mutation_sd0.0700_transposition_mutation_correlation0.0000,0.4400,0.0700,0.0000,100,57,0,0.349,0.699,0.524,0.554
vertical_comb_benefit0.4400_mutation_sd0.0700_transposition_mutation_correlation0.3000,0.4400,0.0700,0.3000,100,62,0,0.358,0.722,0.590,0.530
vertical_comb_benefit0.4400_mutation_sd0.0700_transposition_mutation_correlation0.6000,0.4400,0.0700,0.6000,100,69,0,0.361,0.749,0.631,0.576
vertical_comb_benefit0.4400_mutation_sd0.0700_transposition_mutation_correlation0.9000,0.4400,0.0700,0.9000,100,76,0,0.362,0.775,0.701,0.563
vertical_comb_benefit0.4400_mutation_sd0.0900_transposition_mutation_correlation0.0000,0.4400,0.0900,0.0000,100,83,0,0.340,0.816,0.657,0.544
vertical_comb_benefit0.4400_mutation_sd0.0900_transposition_mutation_correlation0.3000,0.4400,0.0900,0.3000,100,79,0,0.346,0.834,0.687,0.573
vertical_comb_benefit0.4400_mutation_sd0.0900_transposition_mutation_correlation0.6000,0.4400,0.0900,0.6000,100,82,0,0.350,0.829,0.741,0.545
vertical_comb_benefit0.4400_mutation_sd0.0900_transposition_mutation_correlation0.9000,0.4400,0.0900,0.9000,100,81,0,0.351,0.832,0.773,0.563
vertical_comb_benefit0.4400_mutation_sd0.1100_transposition_mutation_correlation0.0000,0.4400,0.1100,0.0000,100,71,0,0.330,0.821,0.646,0.536
vertical_comb_benefit0.4400_mutation_sd0.1100_transposition_mutation_correlation0.3000,0.4400,0.1100,0.3000,100,76,0,0.334,0.821,0.702,0.541
vertical_comb_benefit0.4400_mutation_sd0.1100_transposition_mutation_correlation0.6000,0.4400,0.1100,0.6000,100,82,0,0.338,0.833,0.724,0.502
vertical_comb_benefit0.4400_mutation_sd0.1100_transposition_mutation_correlation0.9000,0.4400,0.1100,0.9000,100,77,0,0.342,0.821,0.749,0.559
vertical_comb_benefit0.5600_mutation_sd0.0500_transposition_mutation_correlation0.0000,0.5600,0.0500,0.0000,100,37,0,0.335,0.764,0.416,0.611
vertical_comb_benefit0.5600_mutation_sd0.0500_transposition_mutation_correlation0.3000,0.5600,0.0500,0.3000,100,43,0,0.338,0.767,0.441,0.606
vertical_comb_benefit0.5600_mutation_sd0.0500_transposition_mutation_correlation0.6000,0.5600,0.0500,0.6000,100,47,0,0.344,0.741,0.473,0.633
vertical_comb_benefit0.5600_mutation_sd0.0500_transposition_mutation_correlation0.9000,0.5600,0.0500,0.9000,100,56,0,0.349,0.786,0.556,0.599
vertical_comb_benefit0.5600_mutation_sd0.0700_transposition_mutation_correlation0.0000,0.5600,0.0700,0.0000,100,65,0,0.347,0.810,0.602,0.530
vertical_comb_benefit0.5600_mutation_sd0.0700_transposition_mutation_correlation0.3000,0.5600,0.0700,0.3000,100,83,0,0.357,0.823,0.668,0.530
vertical_comb_benefit0.5600_mutation_sd0.0700_transposition_mutation_correlation0.6000,0.5600,0.0700,0.6000,100,83,0,0.363,0.824,0.715,0.551
vertical_comb_benefit0.5600_mutation_sd0.0700_transposition_mutation_correlation0.9000,0.5600,0.0700,0.9000,100,86,0,0.364,0.850,0.772,0.547
vertical_comb_benefit0.5600_mutation_sd0.0900_transposition_mutation_correlation0.0000,0.5600,0.0900,0.0000,100,90,0,0.342,0.851,0.674,0.561
vertical_comb_benefit0.5600_mutation_sd0.0900_transposition_mutation_correlation0.3000,0.5600,0.0900,0.3000,100,95,0,0.348,0.854,0.723,0.556
vertical_comb_benefit0.5600_mutation_sd0.0900_transposition_mutation_correlation0.6000,0.5600,0.0900,0.6000,100,90,0,0.350,0.848,0.745,0.549
vertical_comb_benefit0.5600_mutation_sd0.0900_transposition_mutation_correlation0.9000,0.5600,0.0900,0.9000,100,93,0,0.354,0.848,0.785,0.555
vertical_comb_benefit0.5600_mutation_sd0.1100_transposition_mutation_correlation0.0000,0.5600,0.1100,0.0000,100,83,0,0.332,0.835,0.692,0.572
vertical_comb_benefit0.5600_mutation_sd0.1100_transposition_mutation_correlation0.3000,0.5600,0.1100,0.3000,100,82,0,0.335,0.839,0.694,0.546
vertical_comb_benefit0.5600_mutation_sd0.1100_transposition_mutation_correlation0.6000,0.5600,0.1100,0.6000,100,73,0,0.338,0.827,0.733,0.520
vertical_comb_benefit0.5600_mutation_sd0.1100_transposition_mutation_correlation0.9000,0.5600,0.1100,0.9000,100,78,0,0.339,0.827,0.769,0.556
