number,state,value,seed,food_site_count,food_site_radius,food_site_capacity,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation,stable,collapsed,progress,final_success,final_payoff,final_comb_tilt,final_sender_transposition,final_receiver_transposition,final_min_transposition,final_dance_propensity
0,COMPLETE,-8.433,100,1,75.000,3,0.520,3750.000,1.250000e-05,0.120,0.300,false,true,0.603,0.003,0.001,0.483,0.619,0.438,0.438,0.167
0,COMPLETE,-8.433,101,1,75.000,3,0.520,3750.000,1.250000e-05,0.120,0.300,false,true,0.676,0.006,0.001,0.541,0.728,0.573,0.573,0.691
0,COMPLETE,-8.433,102,1,75.000,3,0.520,3750.000,1.250000e-05,0.120,0.300,false,true,0.362,0.001,0.001,0.290,0.601,0.398,0.398,0.343
0,COMPLETE,-8.433,103,1,75.000,3,0.520,3750.000,1.250000e-05,0.120,0.300,false,true,0.382,0.008,0.002,0.306,0.538,0.328,0.328,0.605
0,COMPLETE,-8.433,104,1,75.000,3,0.520,3750.000,1.250000e-05,0.120,0.300,false,true,0.406,0.006,0.001,0.325,0.671,0.485,0.485,0.329
0,COMPLETE,-8.433,105,1,75.000,3,0.520,3750.000,1.250000e-05,0.120,0.300,false,true,0.342,0.006,0.001,0.274,0.284,0.328,0.284,0.838
0,COMPLETE,-8.433,106,1,75.000,3,0.520,3750.000,1.250000e-05,0.120,0.300,true,true,1.000,0.011,0.001,0.848,0.884,0.748,0.748,0.880
0,COMPLETE,-8.433,107,1,75.000,3,0.520,3750.000,1.250000e-05,0.120,0.300,false,true,0.851,0.004,0.003,0.744,0.539,0.425,0.425,0.212
0,COMPLETE,-8.433,108,1,75.000,3,0.520,3750.000,1.250000e-05,0.120,0.300,false,true,0.815,0.007,0.001,0.652,0.417,0.611,0.417,0.369
0,COMPLETE,-8.433,109,1,75.000,3,0.520,3750.000,1.250000e-05,0.120,0.300,false,true,0.231,0.007,0.001,0.185,0.550,0.325,0.325,0.516
1,COMPLETE,-8.848,100,3,135.000,6,0.260,6250.000,4.000000e-05,0.040,0.000,false,true,0.113,0.001,0.002,0.402,0.117,0.056,0.056,0.105
1,COMPLETE,-8.848,101,3,135.000,6,0.260,6250.000,4.000000e-05,0.040,0.000,false,true,0.234,0.003,0.005,0.188,0.163,0.526,0.163,0.806
1,COMPLETE,-8.848,102,3,135.000,6,0.260,6250.000,4.000000e-05,0.040,0.000,false,false,0.268,0.040,0.001,0.323,0.409,0.134,0.134,0.307
1,COMPLETE,-8.848,103,3,135.000,6,0.260,6250.000,4.000000e-05,0.040,0.000,false,true,0.117,0.005,0.008,0.157,0.299,0.059,0.059,0.847
1,COMPLETE,-8.848,104,3,135.000,6,0.260,6250.000,4.000000e-05,0.040,0.000,false,true,0.155,0.004,0.001,0.155,0.077,0.173,0.077,0.642
1,COMPLETE,-8.848,105,3,135.000,6,0.260,6250.000,4.000000e-05,0.040,0.000,false,true,0.067,0.003,0.003,0.241,0.077,0.033,0.033,0.889
1,COMPLETE,-8.848,106,3,135.000,6,0.260,6250.000,4.000000e-05,0.040,0.000,false,true,0.093,0.011,0.001,0.075,0.314,0.110,0.110,0.792
