number,state,value,food_site_count,food_site_radius,food_site_radius_log_sd,food_site_capacity,food_value,vertical_comb_benefit,food_site_min_distance,food_site_max_distance,foray_shape,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation,stable_count,seed_count,collapse_count,mean_progress,mean_final_success,mean_final_payoff,mean_final_comb_tilt,mean_final_min_transposition,mean_final_dance_propensity,elapsed_seconds
0,COMPLETE,-8.433,1,75.000,0.6,3,,0.520,750.0,3750.000,2.0,1.250000e-05,0.120,0.300,1,10,10,0.567,0.006,0.001,0.465,0.442,0.495,327.593
1,COMPLETE,-8.848,3,135.000,0.6,6,,0.260,750.0,6250.000,2.0,4.000000e-05,0.040,0.000,0,10,9,0.152,0.007,0.003,0.204,0.096,0.611,432.029
2,COMPLETE,0.178,6,195.000,0.6,4,,0.300,750.0,5500.000,2.0,5.500000e-05,0.070,0.200,0,10,0,0.178,0.159,0.385,0.142,0.146,0.610,928.710
3,COMPLETE,7.995,5,165.000,0.6,6,,0.500,750.0,3000.000,2.0,1.000000e-05,0.130,0.200,7,10,0,0.995,0.152,2.207,0.824,0.663,0.603,868.056
4,COMPLETE,0.709,7,270.000,0.6,2,,0.100,750.0,4000.000,2.0,2.750000e-05,0.140,0.900,0,10,0,0.709,0.302,3.015,0.568,0.617,0.506,1100.408
5,COMPLETE,1.370,4,135.000,0.6,8,,0.340,750.0,4500.000,2.0,1.500000e-05,0.110,0.600,1,10,0,0.370,0.092,0.627,0.303,0.338,0.591,665.491
6,COMPLETE,9.966,8,180.000,0.6,8,,0.520,750.0,3000.000,2.0,1.500000e-05,0.080,0.200,9,10,0,0.966,0.269,4.104,0.875,0.712,0.636,1099.715
7,COMPLETE,-9.727,2,105.000,0.6,3,,0.140,750.0,5250.000,2.0,5.750000e-05,0.040,1.000,0,10,10,0.273,0.010,0.001,0.261,0.248,0.675,398.487
8,COMPLETE,2.437,7,300.000,0.6,5,,0.360,750.0,4750.000,2.0,3.000000e-05,0.050,0.900,2,10,0,0.437,0.357,3.677,0.379,0.321,0.683,1215.820
9,COMPLETE,-7.759,5,90.000,0.6,2,,0.200,750.0,4250.000,2.0,3.750000e-05,0.060,0.400,1,10,9,0.241,0.034,0.003,0.214,0.324,0.698,530.996
10,COMPLETE,-8.700,5,90.000,0.6,9,,0.600,750.0,7250.000,2.0,4.000000e-05,0.040,0.100,0,10,9,0.300,0.024,0.001,0.293,0.203,0.565,477.645
11,COMPLETE,-9.594,4,135.000,0.6,7,,0.280,750.0,5750.000,2.0,5.000000e-05,0.140,0.100,0,10,10,0.406,0.018,0.002,0.400,0.353,0.359,476.636
12,COMPLETE,-9.393,5,60.000,0.6,3,,0.240,750.0,4250.000,2.0,4.750000e-05,0.080,0.800,0,10,10,0.607,0.021,0.001,0.505,0.485,0.535,433.863
13,COMPLETE,0.301,4,360.000,0.6,10,,0.300,750.0,4250.000,2.0,3.500000e-05,0.090,0.200,0,10,0,0.301,0.295,2.615,0.243,0.222,0.622,1028.593
14,COMPLETE,1.304,2,315.000,0.6,7,,0.580,750.0,6000.000,2.0,2.000000e-05,0.070,0.700,1,10,0,0.304,0.129,0.761,0.254,0.228,0.610,589.011
15,COMPLETE,-9.689,2,150.000,0.6,3,,0.100,750.0,3000.000,2.0,6.000000e-05,0.060,0.400,0,10,10,0.311,0.002,0.005,0.362,0.286,0.498,274.689
16,COMPLETE,0.162,7,165.000,0.6,6,,0.400,750.0,5750.000,2.0,3.750000e-05,0.050,1.000,0,10,0,0.162,0.178,0.719,0.129,0.189,0.732,868.460
17,COMPLETE,0.178,3,240.000,0.6,7,,0.280,750.0,4750.000,2.0,2.000000e-05,0.070,0.000,0,10,0,0.178,0.157,1.170,0.142,0.189,0.654,714.192
18,COMPLETE,-9.480,1,285.000,0.6,10,,0.180,750.0,7500.000,2.0,4.000000e-05,0.130,0.600,0,10,10,0.520,0.006,0.014,0.576,0.310,0.501,241.962
19,COMPLETE,-7.381,1,210.000,0.6,12,,0.140,750.0,4000.000,2.0,4.000000e-05,0.130,0.700,2,10,10,0.619,0.006,0.012,0.556,0.561,0.428,241.603
20,COMPLETE,-9.670,2,60.000,0.6,12,,0.480,750.0,3750.000,2.0,4.500000e-05,0.040,0.800,0,10,10,0.330,0.007,0.001,0.321,0.368,0.669,339.943
21,COMPLETE,2.408,8,120.000,0.6,7,,0.460,750.0,4750.000,2.0,2.500000e-05,0.100,0.400,2,10,0,0.408,0.145,0.965,0.338,0.302,0.618,899.147
22,COMPLETE,-9.388,6,60.000,0.6,2,,0.480,750.0,3500.000,2.0,5.250000e-05,0.120,0.800,0,10,10,0.612,0.030,0.001,0.507,0.483,0.574,467.512
23,COMPLETE,0.201,7,330.000,0.6,4,,0.520,750.0,7500.000,2.0,5.250000e-05,0.060,0.800,0,10,0,0.201,0.283,1.646,0.173,0.190,0.668,1084.478
24,COMPLETE,1.315,2,300.000,0.6,12,,0.340,750.0,4250.000,2.0,1.500000e-05,0.070,0.700,1,10,0,0.315,0.146,1.336,0.265,0.232,0.636,669.999
25,COMPLETE,8.989,7,330.000,0.6,10,,0.540,750.0,5500.000,2.0,1.500000e-05,0.130,0.200,8,10,0,0.989,0.316,4.621,0.818,0.685,0.496,1102.734
26,COMPLETE,-8.493,2,105.000,0.6,7,,0.420,750.0,6250.000,2.0,2.250000e-05,0.110,0.600,1,10,10,0.507,0.009,0.001,0.443,0.337,0.472,316.484
27,COMPLETE,0.218,4,195.000,0.6,4,,0.520,750.0,5750.000,2.0,3.250000e-05,0.110,0.400,0,10,0,0.218,0.117,0.305,0.177,0.194,0.664,678.814
28,COMPLETE,0.284,6,270.000,0.6,10,,0.120,750.0,4750.000,2.0,3.500000e-05,0.120,0.700,0,10,0,0.284,0.273,2.170,0.229,0.281,0.597,1072.228
29,COMPLETE,-3.835,2,195.000,0.6,11,,0.240,750.0,6250.000,2.0,1.500000e-05,0.050,1.000,0,10,4,0.165,0.064,0.212,0.132,0.203,0.719,449.947
30,COMPLETE,-7.422,1,255.000,0.6,3,,0.180,750.0,5500.000,2.0,5.500000e-05,0.120,0.300,2,10,10,0.578,0.005,0.017,0.580,0.393,0.523,255.764
31,COMPLETE,-9.576,1,105.000,0.6,8,,0.420,750.0,6250.000,2.0,1.500000e-05,0.090,0.500,0,10,10,0.424,0.005,0.001,0.435,0.296,0.515,275.323
32,COMPLETE,-9.511,2,60.000,0.6,2,,0.460,750.0,5500.000,2.0,2.250000e-05,0.120,0.700,0,10,10,0.489,0.008,0.001,0.419,0.393,0.498,288.234
33,COMPLETE,0.211,3,360.000,0.6,11,,0.560,750.0,5750.000,2.0,3.750000e-05,0.070,0.900,0,10,0,0.211,0.210,1.199,0.175,0.179,0.640,790.750
34,COMPLETE,4.713,8,150.000,0.6,4,,0.320,750.0,4750.000,2.0,1.000000e-05,0.070,0.300,4,10,0,0.713,0.178,2.062,0.611,0.503,0.574,901.718
35,COMPLETE,-9.558,1,75.000,0.6,12,,0.260,750.0,4250.000,2.0,3.750000e-05,0.070,0.800,0,10,10,0.442,0.006,0.001,0.360,0.383,0.491,351.796
