candidate,seed_count,stable_count,collapse_count,mean_final_success,mean_final_payoff,mean_final_comb_tilt,mean_final_min_transposition,mean_final_dance_propensity
baseline,100,92,0,0.350,5.731,0.848,0.734,0.537
food_site_count=4,100,85,0,0.236,3.606,0.799,0.695,0.570
food_site_count=5,100,92,0,0.278,4.427,0.842,0.736,0.570
food_site_count=6,100,90,0,0.315,5.114,0.852,0.733,0.567
food_site_count=8,100,84,0,0.380,6.276,0.850,0.707,0.553
food_site_count=9,100,83,0,0.407,6.769,0.851,0.698,0.553
food_site_radius=225.0000,100,91,0,0.247,3.861,0.844,0.724,0.524
food_site_radius=270.0000,100,92,0,0.302,4.872,0.849,0.746,0.572
food_site_radius=360.0000,100,92,0,0.394,6.535,0.849,0.732,0.555
food_site_capacity=9,100,92,0,0.347,5.694,0.856,0.729,0.560
food_site_capacity=10,100,88,0,0.349,5.718,0.850,0.724,0.574
food_site_capacity=11,100,98,0,0.348,5.714,0.854,0.733,0.557
food_site_capacity=13,100,93,0,0.349,5.737,0.859,0.725,0.520
food_site_capacity=14,100,94,0,0.350,5.757,0.855,0.741,0.567
vertical_comb_benefit=0.4800,100,88,0,0.350,5.344,0.844,0.732,0.576
vertical_comb_benefit=0.5200,100,90,0,0.348,5.436,0.848,0.737,0.577
vertical_comb_benefit=0.5600,100,95,0,0.348,5.582,0.852,0.735,0.572
food_site_max_distance=3250.0000,100,90,0,0.408,6.905,0.846,0.728,0.525
food_site_max_distance=4000.0000,100,92,0,0.376,6.274,0.852,0.730,0.551
food_site_max_distance=5500.0000,100,87,0,0.326,5.239,0.851,0.749,0.551
food_site_max_distance=6250.0000,100,91,0,0.310,4.877,0.850,0.736,0.579
travel_cost_per_distance=1.500000e-05,100,94,0,0.351,5.534,0.853,0.740,0.557
travel_cost_per_distance=2.500000e-05,100,91,0,0.352,5.099,0.846,0.732,0.537
mutation_sd=0.0400,100,16,0,0.323,4.939,0.718,0.292,0.661
mutation_sd=0.0600,100,77,0,0.355,5.696,0.802,0.617,0.605
mutation_sd=0.0700,100,87,0,0.358,5.888,0.856,0.702,0.585
mutation_sd=0.1100,100,82,0,0.337,5.496,0.837,0.710,0.552
transposition_mutation_correlation=0.0000,100,88,0,0.344,5.633,0.852,0.678,0.561
transposition_mutation_correlation=0.1500,100,92,0,0.347,5.704,0.860,0.700,0.570
transposition_mutation_correlation=0.6500,100,94,0,0.352,5.790,0.856,0.758,0.555
transposition_mutation_correlation=0.9000,100,91,0,0.353,5.805,0.852,0.790,0.531
