point,parameter,parameter_value,is_baseline,food_site_count,food_site_radius,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation
baseline,baseline,,true,8,345.0000,2,1.0000,0.5600,4250.0000,2.000000e-05,0.0900,0.4000
food_site_count=5,food_site_count,5,false,5,345.0000,2,1.0000,0.5600,4250.0000,2.000000e-05,0.0900,0.4000
food_site_count=6,food_site_count,6,false,6,345.0000,2,1.0000,0.5600,4250.0000,2.000000e-05,0.0900,0.4000
food_site_count=7,food_site_count,7,false,7,345.0000,2,1.0000,0.5600,4250.0000,2.000000e-05,0.0900,0.4000
food_site_count=9,food_site_count,9,false,9,345.0000,2,1.0000,0.5600,4250.0000,2.000000e-05,0.0900,0.4000
food_site_count=10,food_site_count,10,false,10,345.0000,2,1.0000,0.5600,4250.0000,2.000000e-05,0.0900,0.4000
food_site_radius=255.0000,food_site_radius,255.0000,false,8,255.0000,2,1.0000,0.5600,4250.0000,2.000000e-05,0.0900,0.4000
food_site_radius=300.0000,food_site_radius,300.0000,false,8,300.0000,2,1.0000,0.5600,4250.0000,2.000000e-05,0.0900,0.4000
food_site_radius=360.0000,food_site_radius,360.0000,false,8,360.0000,2,1.0000,0.5600,4250.0000,2.000000e-05,0.0900,0.4000
food_site_capacity=1,food_site_capacity,1,false,8,345.0000,1,1.0000,0.5600,4250.0000,2.000000e-05,0.0900,0.4000
food_site_capacity=3,food_site_capacity,3,false,8,345.0000,3,1.0000,0.5600,4250.0000,2.000000e-05,0.0900,0.4000
food_site_capacity=4,food_site_capacity,4,false,8,345.0000,4,1.0000,0.5600,4250.0000,2.000000e-05,0.0900,0.4000
vertical_comb_benefit=0.4400,vertical_comb_benefit,0.4400,false,8,345.0000,2,1.0000,0.4400,4250.0000,2.000000e-05,0.0900,0.4000
vertical_comb_benefit=0.4800,vertical_comb_benefit,0.4800,false,8,345.0000,2,1.0000,0.4800,4250.0000,2.000000e-05,0.0900,0.4000
vertical_comb_benefit=0.5200,vertical_comb_benefit,0.5200,false,8,345.0000,2,1.0000,0.5200,4250.0000,2.000000e-05,0.0900,0.4000
vertical_comb_benefit=0.6000,vertical_comb_benefit,0.6000,false,8,345.0000,2,1.0000,0.6000,4250.0000,2.000000e-05,0.0900,0.4000
food_site_max_distance=3000.0000,food_site_max_distance,3000.0000,false,8,345.0000,2,1.0000,0.5600,3000.0000,2.000000e-05,0.0900,0.4000
food_site_max_distance=3500.0000,food_site_max_distance,3500.0000,false,8,345.0000,2,1.0000,0.5600,3500.0000,2.000000e-05,0.0900,0.4000
food_site_max_distance=5000.0000,food_site_max_distance,5000.0000,false,8,345.0000,2,1.0000,0.5600,5000.0000,2.000000e-05,0.0900,0.4000
food_site_max_distance=5750.0000,food_site_max_distance,5750.0000,false,8,345.0000,2,1.0000,0.5600,5750.0000,2.000000e-05,0.0900,0.4000
travel_cost_per_distance=1.000000e-05,travel_cost_per_distance,1.000000e-05,false,8,345.0000,2,1.0000,0.5600,4250.0000,1.000000e-05,0.0900,0.4000
travel_cost_per_distance=1.500000e-05,travel_cost_per_distance,1.500000e-05,false,8,345.0000,2,1.0000,0.5600,4250.0000,1.500000e-05,0.0900,0.4000
travel_cost_per_distance=2.500000e-05,travel_cost_per_distance,2.500000e-05,false,8,345.0000,2,1.0000,0.5600,4250.0000,2.500000e-05,0.0900,0.4000
travel_cost_per_distance=3.500000e-05,travel_cost_per_distance,3.500000e-05,false,8,345.0000,2,1.0000,0.5600,4250.0000,3.500000e-05,0.0900,0.4000
mutation_sd=0.0400,mutation_sd,0.0400,false,8,345.0000,2,1.0000,0.5600,4250.0000,2.000000e-05,0.0400,0.4000
mutation_sd=0.0600,mutation_sd,0.0600,false,8,345.0000,2,1.0000,0.5600,4250.0000,2.000000e-05,0.0600,0.4000
mutation_sd=0.0700,mutation_sd,0.0700,false,8,345.0000,2,1.0000,0.5600,4250.0000,2.000000e-05,0.0700,0.4000
mutation_sd=0.1100,mutation_sd,0.1100,false,8,345.0000,2,1.0000,0.5600,4250.0000,2.000000e-05,0.1100,0.4000
transposition_mutation_correlation=0.0000,transposition_mutation_correlation,0.0000,false,8,345.0000,2,1.0000,0.5600,4250.0000,2.000000e-05,0.0900,0.0000
transposition_mutation_correlation=0.1500,transposition_mutation_correlation,0.1500,false,8,345.0000,2,1.0000,0.5600,4250.0000,2.000000e-05,0.0900,0.1500
transposition_mutation_correlation=0.6500,transposition_mutation_correlation,0.6500,false,8,345.0000,2,1.0000,0.5600,4250.0000,2.000000e-05,0.0900,0.6500
transposition_mutation_correlation=0.9000,transposition_mutation_correlation,0.9000,false,8,345.0000,2,1.0000,0.5600,4250.0000,2.000000e-05,0.0900,0.9000
