point,parameter,parameter_value,is_baseline,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,comb_tilt_mutation_sd,transposition_mutation_correlation,seed,comparison_group,outcome,stable_vertical_gravity,reached_gravity,retained_vertical,collapsed,gravity_reach_generation,vertical_reach_generation,partial_tilt_generation,partial_transposition_generation,max_comb_tilt,max_comb_tilt_generation,max_min_transposition,max_min_transposition_generation,min_success,min_success_generation,final_directional_bias,final_attention,final_sender_transposition,final_receiver_transposition,final_min_transposition,final_transposition_gap,final_comb_tilt,final_success,final_payoff,elapsed_seconds
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000,96,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,not_reached,0.326,55,0.205,73,0.261,0,0.768,0.755,0.130,0.134,0.130,0.004,0.177,0.710,6.113,89.840
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000,97,unsuccessful,partial_transposition,false,false,false,false,not_reached,not_reached,56,46,0.604,70,0.412,97,0.265,0,0.549,0.811,0.363,0.363,0.363,0.000,0.154,0.692,5.834,86.155
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000,98,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,not_reached,0.213,21,0.216,62,0.247,0,0.797,0.892,0.311,0.185,0.185,0.126,0.106,0.697,6.021,89.933
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000,99,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,not_reached,0.336,45,0.231,87,0.268,0,0.901,0.884,0.299,0.125,0.125,0.174,0.113,0.743,6.425,87.556
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000,105,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,57,0.264,64,0.385,67,0.259,0,0.873,0.909,0.225,0.173,0.173,0.052,0.141,0.754,6.570,89.431
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000,106,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,not_reached,0.356,45,0.243,74,0.274,0,0.713,0.904,0.236,0.185,0.185,0.051,0.210,0.715,6.202,85.156
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000,107,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,not_reached,0.330,40,0.215,51,0.243,0,0.884,0.882,0.141,0.239,0.141,0.098,0.116,0.729,6.396,85.541
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000,108,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,113,0.221,120,0.276,115,0.253,0,0.804,0.856,0.268,0.214,0.214,0.053,0.221,0.696,6.059,87.847
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000,109,unsuccessful,partial_transposition,false,false,false,false,not_reached,not_reached,not_reached,119,0.339,43,0.259,119,0.236,0,0.685,0.910,0.513,0.256,0.256,0.258,0.114,0.726,6.195,87.499
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000,110,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,95,0.225,90,0.269,97,0.237,0,0.815,0.911,0.149,0.188,0.149,0.038,0.108,0.743,6.426,89.662
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000,111,unsuccessful,partial_transposition,false,false,false,false,not_reached,not_reached,not_reached,110,0.325,78,0.290,112,0.252,0,0.693,0.902,0.272,0.323,0.272,0.051,0.205,0.709,6.113,82.641
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000,112,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,74,0.242,80,0.325,77,0.247,0,0.878,0.862,0.240,0.214,0.214,0.027,0.157,0.711,6.270,88.443
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000,113,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,not_reached,0.327,72,0.200,79,0.268,0,0.761,0.875,0.153,0.080,0.080,0.073,0.132,0.729,6.323,88.567
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000,114,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,77,0.285,91,0.306,84,0.266,0,0.603,0.843,0.179,0.193,0.179,0.014,0.158,0.719,6.154,89.190
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000,115,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,46,0.244,46,0.279,61,0.241,0,0.801,0.893,0.160,0.174,0.160,0.014,0.176,0.699,6.150,87.886
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000,116,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,69,0.308,83,0.448,98,0.237,0,0.864,0.891,0.073,0.116,0.073,0.042,0.100,0.757,6.568,85.868
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000,117,unsuccessful,partial_transposition,false,false,false,false,not_reached,not_reached,not_reached,112,0.207,57,0.340,120,0.236,0,0.791,0.864,0.340,0.428,0.340,0.088,0.174,0.719,6.199,85.792
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000,118,unsuccessful,flat,false,false,false,false,not_reached,not_reached,57,66,0.532,61,0.263,66,0.241,0,0.786,0.847,0.200,0.329,0.200,0.129,0.133,0.745,6.484,87.852
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000,119,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,not_reached,0.250,55,0.238,59,0.252,0,0.820,0.787,0.124,0.105,0.105,0.019,0.129,0.720,6.187,88.149
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000,120,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,74,0.315,101,0.366,91,0.262,0,0.914,0.878,0.189,0.347,0.189,0.158,0.109,0.740,6.464,87.142
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000,121,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,not_reached,0.243,58,0.232,115,0.258,0,0.640,0.805,0.381,0.206,0.206,0.175,0.130,0.695,5.927,89.033
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000,122,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,not_reached,0.298,59,0.201,52,0.264,0,0.507,0.824,0.109,0.064,0.064,0.045,0.220,0.716,6.157,87.032
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000,123,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,50,0.257,29,0.344,68,0.262,0,0.692,0.666,0.223,0.219,0.219,0.004,0.221,0.681,5.795,88.472
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000,124,unsuccessful,partial_transposition,false,false,false,false,not_reached,not_reached,not_reached,27,0.327,57,0.497,120,0.248,0,0.754,0.860,0.542,0.497,0.497,0.045,0.096,0.702,5.914,86.745
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000,125,unsuccessful,partial_transposition,false,false,false,false,not_reached,not_reached,not_reached,74,0.218,52,0.428,119,0.256,0,0.777,0.770,0.408,0.433,0.408,0.025,0.138,0.697,5.847,85.165
