job_index,point,seed,parameter,parameter_value,is_baseline,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,comb_tilt_mutation_sd,transposition_mutation_correlation
0,alpha_0p1_mut_0p045_rho_0,96,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
1,alpha_0p1_mut_0p045_rho_0,97,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
2,alpha_0p1_mut_0p045_rho_0,98,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
3,alpha_0p1_mut_0p045_rho_0,99,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
4,alpha_0p1_mut_0p045_rho_0,105,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
5,alpha_0p1_mut_0p045_rho_0,106,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
6,alpha_0p1_mut_0p045_rho_0,107,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
7,alpha_0p1_mut_0p045_rho_0,108,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
8,alpha_0p1_mut_0p045_rho_0,109,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
9,alpha_0p1_mut_0p045_rho_0,110,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
10,alpha_0p1_mut_0p045_rho_0,111,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
11,alpha_0p1_mut_0p045_rho_0,112,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
12,alpha_0p1_mut_0p045_rho_0,113,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
13,alpha_0p1_mut_0p045_rho_0,114,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
14,alpha_0p1_mut_0p045_rho_0,115,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
15,alpha_0p1_mut_0p045_rho_0,116,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
16,alpha_0p1_mut_0p045_rho_0,117,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
17,alpha_0p1_mut_0p045_rho_0,118,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
18,alpha_0p1_mut_0p045_rho_0,119,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
19,alpha_0p1_mut_0p045_rho_0,120,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
20,alpha_0p1_mut_0p045_rho_0,121,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
21,alpha_0p1_mut_0p045_rho_0,122,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
22,alpha_0p1_mut_0p045_rho_0,123,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
23,alpha_0p1_mut_0p045_rho_0,124,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
24,alpha_0p1_mut_0p045_rho_0,125,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
25,alpha_0p1_mut_0p045_rho_0,126,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
26,alpha_0p1_mut_0p045_rho_0,127,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
27,alpha_0p1_mut_0p045_rho_0,128,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
28,alpha_0p1_mut_0p045_rho_0,129,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
29,alpha_0p1_mut_0p045_rho_0,130,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
30,alpha_0p1_mut_0p045_rho_0,131,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
31,alpha_0p1_mut_0p045_rho_0,132,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
32,alpha_0p1_mut_0p045_rho_0,133,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
33,alpha_0p1_mut_0p045_rho_0,134,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
34,alpha_0p1_mut_0p045_rho_0,135,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
35,alpha_0p1_mut_0p045_rho_0,136,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
36,alpha_0p1_mut_0p045_rho_0,137,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
37,alpha_0p1_mut_0p045_rho_0,138,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
38,alpha_0p1_mut_0p045_rho_0,139,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
39,alpha_0p1_mut_0p045_rho_0,140,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
40,alpha_0p1_mut_0p045_rho_0,141,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
41,alpha_0p1_mut_0p045_rho_0,142,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
42,alpha_0p1_mut_0p045_rho_0,143,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
43,alpha_0p1_mut_0p045_rho_0,144,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
44,alpha_0p1_mut_0p045_rho_0,145,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
45,alpha_0p1_mut_0p045_rho_0,146,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
46,alpha_0p1_mut_0p045_rho_0,147,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
47,alpha_0p1_mut_0p045_rho_0,148,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
48,alpha_0p1_mut_0p045_rho_0,149,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
49,alpha_0p1_mut_0p045_rho_0,150,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
50,alpha_0p1_mut_0p045_rho_0,151,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
51,alpha_0p1_mut_0p045_rho_0,152,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
52,alpha_0p1_mut_0p045_rho_0,153,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
53,alpha_0p1_mut_0p045_rho_0,154,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
54,alpha_0p1_mut_0p045_rho_0,155,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
55,alpha_0p1_mut_0p045_rho_0,156,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
56,alpha_0p1_mut_0p045_rho_0,157,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
57,alpha_0p1_mut_0p045_rho_0,158,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
58,alpha_0p1_mut_0p045_rho_0,159,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
59,alpha_0p1_mut_0p045_rho_0,160,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
