case_index,seed,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,vertical_comb_modifier,generations,initial_comb_tilt,comb_orientation_axial,transposition_mutation_correlation,mutation_sd,gravity_reach_generation,vertical_reach_generation,stable_vertical_gravity,reached_gravity,retained_vertical,collapsed,recovered_from_collapse,initial_success,min_success,min_success_generation,final_bias,final_attention,final_sender_transposition,final_receiver_transposition,final_min_transposition,final_transposition_gap,final_comb_tilt,final_comb_orientation_alignment,final_search_limit,final_success,final_payoff,success_delta,elapsed_seconds
1,101,3,0.260,8,1.000,0.200,linear,120,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.044,0.044,0,0.838,0.906,0.145,0.135,0.135,0.010,0.146,0.333,7.326,0.366,2.957,0.322,123.826
2,101,3,0.260,8,1.000,0.250,linear,120,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.044,0.044,0,0.857,0.899,0.305,0.169,0.169,0.135,0.126,0.273,6.672,0.338,2.714,0.294,125.840
4,101,3,0.260,10,1.000,0.200,linear,120,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.044,0.044,0,0.807,0.877,0.219,0.349,0.219,0.130,0.118,0.075,6.963,0.350,2.809,0.306,126.545
3,101,3,0.260,8,1.000,0.300,linear,120,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.044,0.044,0,0.782,0.882,0.122,0.181,0.122,0.058,0.166,0.252,7.147,0.343,2.744,0.299,127.440
7,101,3,0.260,12,1.000,0.200,linear,120,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.044,0.044,0,0.853,0.884,0.251,0.210,0.210,0.041,0.155,0.169,6.788,0.353,2.903,0.309,120.125
6,101,3,0.260,10,1.000,0.300,linear,120,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.044,0.044,0,0.892,0.873,0.223,0.321,0.223,0.098,0.127,0.018,7.064,0.355,2.881,0.311,121.615
5,101,3,0.260,10,1.000,0.250,linear,120,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.044,0.044,0,0.820,0.885,0.171,0.304,0.171,0.133,0.173,0.106,6.714,0.334,2.680,0.290,128.252
8,101,3,0.260,12,1.000,0.250,linear,120,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.044,0.044,0,0.899,0.886,0.182,0.166,0.166,0.016,0.214,0.271,7.105,0.361,2.978,0.317,127.914
9,101,3,0.260,12,1.000,0.300,linear,120,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.044,0.044,0,0.868,0.832,0.156,0.140,0.140,0.016,0.158,0.172,7.270,0.368,3.037,0.324,136.315
10,101,3,0.300,8,1.000,0.200,linear,120,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.051,0.051,0,0.802,0.701,0.190,0.193,0.190,0.002,0.158,0.153,7.101,0.353,2.839,0.302,141.413
11,101,3,0.300,8,1.000,0.250,linear,120,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.051,0.051,0,0.828,0.849,0.202,0.355,0.202,0.153,0.186,0.220,7.273,0.387,3.277,0.336,138.638
12,101,3,0.300,8,1.000,0.300,linear,120,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.051,0.051,0,0.820,0.798,0.131,0.247,0.131,0.116,0.210,0.144,7.009,0.371,3.178,0.320,136.304
13,101,3,0.300,10,1.000,0.200,linear,120,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.051,0.051,0,0.844,0.921,0.147,0.242,0.147,0.094,0.175,0.194,6.993,0.418,3.703,0.366,141.315
15,101,3,0.300,10,1.000,0.300,linear,120,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.051,0.051,0,0.803,0.928,0.162,0.301,0.162,0.139,0.179,0.144,7.157,0.415,3.701,0.363,137.739
14,101,3,0.300,10,1.000,0.250,linear,120,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.051,0.051,0,0.791,0.848,0.389,0.351,0.351,0.038,0.107,0.224,7.428,0.412,3.517,0.360,140.942
16,101,3,0.300,12,1.000,0.200,linear,120,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.051,0.051,0,0.816,0.893,0.283,0.215,0.215,0.068,0.151,0.226,6.584,0.386,3.358,0.335,143.880
17,101,3,0.300,12,1.000,0.250,linear,120,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.051,0.051,0,0.803,0.858,0.266,0.184,0.184,0.081,0.215,0.232,7.327,0.397,3.406,0.345,155.978
19,101,3,0.340,8,1.000,0.200,linear,120,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.059,0.059,0,0.846,0.867,0.256,0.193,0.193,0.063,0.141,0.098,7.151,0.447,4.031,0.388,153.108
18,101,3,0.300,12,1.000,0.300,linear,120,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.051,0.051,0,0.786,0.852,0.145,0.168,0.145,0.024,0.167,0.414,6.996,0.406,3.596,0.355,157.359
20,101,3,0.340,8,1.000,0.250,linear,120,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.059,0.059,0,0.820,0.792,0.170,0.189,0.170,0.020,0.158,0.139,6.946,0.423,3.794,0.363,151.082
21,101,3,0.340,8,1.000,0.300,linear,120,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.059,0.059,0,0.737,0.840,0.155,0.179,0.155,0.024,0.200,0.145,7.323,0.428,3.862,0.369,152.625
22,101,3,0.340,10,1.000,0.200,linear,120,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.059,0.059,0,0.877,0.896,0.176,0.151,0.151,0.025,0.139,0.212,7.097,0.474,4.394,0.415,160.287
24,101,3,0.340,10,1.000,0.300,linear,120,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.059,0.059,0,0.857,0.875,0.242,0.359,0.242,0.117,0.118,0.082,7.308,0.474,4.390,0.415,161.955
23,101,3,0.340,10,1.000,0.250,linear,120,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.059,0.059,0,0.807,0.897,0.434,0.285,0.285,0.149,0.134,0.203,6.707,0.432,3.939,0.373,164.973
25,101,3,0.340,12,1.000,0.200,linear,120,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.059,0.059,0,0.836,0.852,0.157,0.253,0.157,0.096,0.247,0.178,7.306,0.454,4.178,0.395,158.325
26,101,3,0.340,12,1.000,0.250,linear,120,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.059,0.059,0,0.834,0.891,0.150,0.248,0.150,0.098,0.110,0.267,6.870,0.466,4.350,0.407,158.405
27,101,3,0.340,12,1.000,0.300,linear,120,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.059,0.059,0,0.833,0.889,0.206,0.176,0.176,0.030,0.158,0.371,7.283,0.477,4.485,0.418,157.506
