case_index,seed,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,vertical_comb_modifier,generations,initial_comb_tilt,comb_orientation_axial,transposition_mutation_correlation,mutation_sd,gravity_reach_generation,vertical_reach_generation,stable_vertical_gravity,reached_gravity,retained_vertical,collapsed,recovered_from_collapse,initial_success,min_success,min_success_generation,final_bias,final_attention,final_sender_transposition,final_receiver_transposition,final_min_transposition,final_transposition_gap,final_comb_tilt,final_comb_orientation_alignment,final_search_limit,final_success,final_payoff,success_delta,elapsed_seconds
1,96,4,0.300,10,1.000,0.250,linear,160,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.082,0.082,0,0.763,0.820,0.179,0.224,0.179,0.045,0.217,0.197,6.481,0.409,3.758,0.328,190.467
2,96,5,0.260,8,1.000,0.300,linear,160,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.085,0.085,0,0.812,0.831,0.260,0.209,0.209,0.051,0.198,0.234,7.130,0.441,4.076,0.356,199.499
3,96,5,0.300,10,1.000,0.300,linear,160,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.098,0.098,0,0.805,0.890,0.211,0.247,0.211,0.035,0.179,0.300,7.319,0.517,5.047,0.419,207.609
4,96,5,0.300,12,1.000,0.300,linear,160,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.098,0.098,0,0.724,0.839,0.155,0.165,0.155,0.010,0.203,0.232,7.048,0.502,4.916,0.404,208.825
5,97,4,0.300,10,1.000,0.250,linear,160,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.084,0.084,0,0.818,0.893,0.186,0.254,0.186,0.068,0.151,0.254,7.031,0.481,4.539,0.398,191.732
6,97,5,0.260,8,1.000,0.300,linear,160,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.087,0.087,0,0.730,0.800,0.259,0.246,0.246,0.013,0.263,0.174,7.122,0.421,3.870,0.334,198.635
7,97,5,0.300,10,1.000,0.300,linear,160,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.101,0.101,0,0.830,0.890,0.284,0.281,0.281,0.003,0.200,0.196,7.131,0.500,4.889,0.400,214.733
8,97,5,0.300,12,1.000,0.300,linear,160,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.101,0.101,0,0.838,0.864,0.361,0.281,0.281,0.080,0.089,0.287,7.125,0.529,5.115,0.429,217.188
9,98,4,0.300,10,1.000,0.250,linear,160,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.075,0.075,0,0.750,0.863,0.182,0.159,0.159,0.023,0.304,0.067,7.077,0.435,4.046,0.359,200.847
10,98,5,0.260,8,1.000,0.300,linear,160,0.000,true,0.600,0.070,not_reached,not_reached,false,false,false,false,false,0.081,0.081,0,0.864,0.807,0.242,0.152,0.152,0.090,0.317,0.236,6.952,0.420,3.931,0.339,201.053
