group_kind,group,generation,runs,mean_directional_bias,mean_receiver_attention,mean_sender_transposition,mean_receiver_transposition,mean_min_transposition,mean_transposition_gap,mean_comb_tilt,mean_success,mean_payoff
comparison,successful,0,5,0.072,0.120,0.000,0.000,0.000,0.000,0.000,0.166,1.168
comparison,successful,1,5,0.073,0.116,0.026,0.028,0.026,0.002,0.029,0.203,1.511
comparison,successful,2,5,0.093,0.123,0.045,0.048,0.043,0.008,0.052,0.247,1.937
comparison,successful,3,5,0.099,0.127,0.063,0.061,0.060,0.004,0.068,0.282,2.292
comparison,successful,4,5,0.107,0.127,0.081,0.074,0.070,0.015,0.086,0.305,2.523
comparison,successful,5,5,0.128,0.135,0.089,0.090,0.083,0.011,0.114,0.330,2.770
comparison,successful,6,5,0.139,0.134,0.103,0.106,0.101,0.007,0.136,0.353,3.007
comparison,successful,7,5,0.139,0.123,0.108,0.105,0.105,0.003,0.152,0.375,3.223
comparison,successful,8,5,0.148,0.130,0.118,0.126,0.116,0.012,0.168,0.381,3.300
comparison,successful,9,5,0.145,0.156,0.125,0.141,0.125,0.016,0.182,0.396,3.445
comparison,successful,10,5,0.156,0.164,0.117,0.133,0.114,0.021,0.178,0.410,3.577
comparison,successful,11,5,0.158,0.179,0.120,0.131,0.109,0.033,0.192,0.422,3.695
comparison,successful,12,5,0.177,0.173,0.131,0.144,0.126,0.024,0.216,0.431,3.803
comparison,successful,13,5,0.200,0.186,0.129,0.161,0.125,0.039,0.233,0.439,3.899
comparison,successful,14,5,0.199,0.203,0.124,0.154,0.120,0.037,0.236,0.443,3.922
comparison,successful,15,5,0.216,0.227,0.132,0.165,0.132,0.034,0.244,0.449,4.003
comparison,successful,16,5,0.208,0.213,0.149,0.169,0.141,0.035,0.253,0.448,3.983
comparison,successful,17,5,0.202,0.224,0.147,0.161,0.140,0.028,0.261,0.456,4.083
comparison,successful,18,5,0.202,0.223,0.160,0.171,0.153,0.026,0.285,0.458,4.119
comparison,successful,19,5,0.205,0.234,0.173,0.182,0.156,0.042,0.296,0.463,4.181
comparison,successful,20,5,0.224,0.237,0.181,0.192,0.170,0.034,0.313,0.464,4.220
comparison,successful,21,5,0.232,0.241,0.190,0.193,0.179,0.025,0.332,0.470,4.262
comparison,successful,22,5,0.230,0.255,0.188,0.190,0.178,0.023,0.355,0.472,4.328
comparison,successful,23,5,0.234,0.281,0.203,0.211,0.194,0.026,0.361,0.480,4.420
comparison,successful,24,5,0.227,0.302,0.200,0.214,0.190,0.035,0.371,0.481,4.429
comparison,successful,25,5,0.238,0.319,0.211,0.212,0.196,0.031,0.380,0.479,4.425
comparison,successful,26,5,0.246,0.290,0.229,0.235,0.214,0.035,0.413,0.478,4.464
comparison,successful,27,5,0.293,0.312,0.215,0.238,0.208,0.036,0.424,0.479,4.504
comparison,successful,28,5,0.302,0.306,0.212,0.236,0.204,0.040,0.405,0.485,4.539
comparison,successful,29,5,0.341,0.313,0.215,0.225,0.204,0.033,0.413,0.489,4.616
comparison,successful,30,5,0.390,0.345,0.230,0.236,0.218,0.030,0.415,0.489,4.618
comparison,successful,31,5,0.421,0.333,0.248,0.248,0.225,0.045,0.434,0.488,4.624
comparison,successful,32,5,0.439,0.319,0.265,0.263,0.238,0.053,0.454,0.488,4.671
comparison,successful,33,5,0.479,0.334,0.256,0.263,0.240,0.039,0.475,0.488,4.698
comparison,successful,34,5,0.493,0.345,0.260,0.263,0.251,0.022,0.477,0.489,4.716
comparison,successful,35,5,0.521,0.310,0.261,0.270,0.259,0.013,0.520,0.483,4.691
comparison,successful,36,5,0.537,0.328,0.252,0.270,0.247,0.028,0.559,0.485,4.766
comparison,successful,37,5,0.560,0.319,0.262,0.271,0.248,0.036,0.586,0.484,4.789
comparison,successful,38,5,0.559,0.361,0.260,0.262,0.242,0.037,0.565,0.495,4.890
comparison,successful,39,5,0.557,0.351,0.274,0.270,0.249,0.047,0.551,0.502,4.950
comparison,successful,40,5,0.562,0.339,0.274,0.275,0.250,0.050,0.553,0.504,4.951
comparison,successful,41,5,0.573,0.348,0.269,0.275,0.243,0.057,0.562,0.507,4.994
comparison,successful,42,5,0.572,0.349,0.277,0.281,0.250,0.057,0.578,0.507,5.022
comparison,successful,43,5,0.554,0.353,0.254,0.262,0.233,0.051,0.585,0.503,4.986
comparison,successful,44,5,0.551,0.351,0.255,0.286,0.246,0.050,0.601,0.497,4.939
comparison,successful,45,5,0.542,0.364,0.255,0.284,0.248,0.044,0.597,0.495,4.910
comparison,successful,46,5,0.532,0.365,0.245,0.269,0.236,0.042,0.594,0.497,4.937
comparison,successful,47,5,0.537,0.361,0.234,0.268,0.229,0.043,0.594,0.498,4.924
comparison,successful,48,5,0.547,0.373,0.240,0.263,0.227,0.048,0.604,0.506,5.059
