seed,comparison_group,outcome,generation,average_directional_bias,average_receiver_attention,average_sender_transposition,average_receiver_transposition,average_min_transposition,average_transposition_gap,average_comb_tilt,average_comb_orientation,comb_orientation_alignment,average_search_limit,average_success,average_payoff
96,unsuccessful,flat,0,0.071,0.127,0.000,0.000,0.000,0.000,0.000,2.241,0.131,2.425,0.164,1.143
96,unsuccessful,flat,1,0.088,0.118,0.028,0.029,0.028,0.001,0.030,2.477,0.205,2.634,0.187,1.378
96,unsuccessful,flat,2,0.105,0.137,0.044,0.041,0.041,0.003,0.052,2.368,0.309,3.018,0.225,1.732
96,unsuccessful,flat,3,0.116,0.134,0.063,0.060,0.060,0.003,0.057,2.751,0.266,3.289,0.250,1.968
96,unsuccessful,flat,4,0.147,0.117,0.071,0.071,0.071,0.000,0.083,0.640,0.144,3.635,0.287,2.348
96,unsuccessful,flat,5,0.167,0.134,0.086,0.097,0.086,0.011,0.101,1.158,0.129,3.709,0.288,2.346
96,unsuccessful,flat,6,0.175,0.137,0.105,0.098,0.098,0.007,0.105,1.133,0.250,4.199,0.334,2.802
96,unsuccessful,flat,7,0.195,0.130,0.117,0.096,0.096,0.021,0.104,0.849,0.172,4.607,0.357,2.983
96,unsuccessful,flat,8,0.180,0.153,0.141,0.114,0.114,0.028,0.108,0.610,0.094,4.891,0.392,3.375
96,unsuccessful,flat,9,0.165,0.187,0.125,0.113,0.113,0.013,0.116,0.975,0.144,5.288,0.404,3.431
96,unsuccessful,flat,10,0.162,0.186,0.127,0.119,0.119,0.008,0.129,1.013,0.242,5.655,0.422,3.590
96,unsuccessful,flat,11,0.185,0.206,0.117,0.120,0.117,0.003,0.109,0.856,0.245,5.625,0.426,3.635
96,unsuccessful,flat,12,0.236,0.236,0.140,0.117,0.117,0.023,0.129,0.682,0.327,5.750,0.442,3.834
96,unsuccessful,flat,13,0.228,0.251,0.137,0.127,0.127,0.010,0.168,0.734,0.342,6.104,0.455,3.965
96,unsuccessful,flat,14,0.264,0.245,0.134,0.177,0.134,0.043,0.193,0.797,0.403,6.231,0.479,4.294
96,unsuccessful,flat,15,0.300,0.250,0.098,0.157,0.098,0.059,0.247,0.763,0.234,6.395,0.476,4.287
96,unsuccessful,flat,16,0.285,0.297,0.124,0.136,0.124,0.012,0.302,0.923,0.243,6.542,0.485,4.442
96,unsuccessful,flat,17,0.276,0.287,0.125,0.142,0.125,0.017,0.295,0.972,0.158,6.403,0.469,4.243
96,unsuccessful,flat,18,0.291,0.303,0.153,0.160,0.153,0.007,0.331,1.042,0.237,6.698,0.488,4.493
96,unsuccessful,flat,19,0.292,0.339,0.178,0.143,0.143,0.034,0.353,1.277,0.188,6.800,0.494,4.568
96,unsuccessful,flat,20,0.308,0.325,0.193,0.145,0.145,0.048,0.377,1.669,0.146,6.735,0.489,4.561
96,unsuccessful,flat,21,0.312,0.375,0.236,0.162,0.162,0.073,0.385,1.203,0.144,6.923,0.499,4.660
96,unsuccessful,flat,22,0.334,0.432,0.261,0.169,0.169,0.092,0.407,1.544,0.171,7.067,0.508,4.773
96,unsuccessful,flat,23,0.311,0.410,0.231,0.159,0.159,0.072,0.401,1.870,0.165,6.832,0.501,4.705
96,unsuccessful,flat,24,0.339,0.461,0.295,0.214,0.214,0.080,0.414,1.750,0.106,6.711,0.504,4.796
96,unsuccessful,flat,25,0.355,0.445,0.245,0.206,0.206,0.039,0.409,2.608,0.137,6.736,0.508,4.845
96,unsuccessful,flat,26,0.372,0.457,0.287,0.188,0.188,0.099,0.433,3.080,0.168,6.734,0.499,4.736
96,unsuccessful,flat,27,0.447,0.554,0.298,0.190,0.190,0.108,0.439,2.767,0.046,6.508,0.512,4.989
96,unsuccessful,flat,28,0.526,0.625,0.338,0.188,0.188,0.150,0.473,0.432,0.090,6.438,0.516,5.093
