number,state,value,seed,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,comb_tilt_mutation_sd,transposition_mutation_correlation,stable,collapsed,progress,final_success,final_payoff,final_comb_tilt,final_sender_transposition,final_receiver_transposition,final_min_transposition
0,COMPLETE,2.704,100,7,0.380,14,1.300,0.310,5.000,0.045,0.050,0.100,0.900,true,false,1.000,0.711,11.298,0.832,0.649,0.641,0.641
0,COMPLETE,2.704,101,7,0.380,14,1.300,0.310,5.000,0.045,0.050,0.100,0.900,false,false,0.174,0.686,9.662,0.462,0.087,0.104,0.087
0,COMPLETE,2.704,102,7,0.380,14,1.300,0.310,5.000,0.045,0.050,0.100,0.900,true,false,1.000,0.709,11.296,0.844,0.714,0.645,0.645
0,COMPLETE,2.704,103,7,0.380,14,1.300,0.310,5.000,0.045,0.050,0.100,0.900,false,false,0.973,0.702,10.843,0.778,0.821,0.795,0.795
0,COMPLETE,2.704,104,7,0.380,14,1.300,0.310,5.000,0.045,0.050,0.100,0.900,false,false,0.372,0.601,8.732,0.700,0.186,0.252,0.186
1,COMPLETE,1.375,100,4,0.280,16,0.800,0.290,9.000,0.015,0.110,0.080,0.800,false,false,0.231,0.396,2.835,0.185,0.217,0.242,0.217
1,COMPLETE,1.375,101,4,0.280,16,0.800,0.290,9.000,0.015,0.110,0.080,0.800,false,false,0.268,0.380,2.678,0.214,0.222,0.201,0.201
1,COMPLETE,1.375,102,4,0.280,16,0.800,0.290,9.000,0.015,0.110,0.080,0.800,false,false,0.156,0.394,2.782,0.125,0.258,0.298,0.258
1,COMPLETE,1.375,103,4,0.280,16,0.800,0.290,9.000,0.015,0.110,0.080,0.800,true,false,1.000,0.363,3.058,0.892,0.853,0.859,0.853
1,COMPLETE,1.375,104,4,0.280,16,0.800,0.290,9.000,0.015,0.110,0.080,0.800,false,false,0.219,0.367,2.592,0.175,0.152,0.238,0.152
2,COMPLETE,0.158,100,3,0.230,13,0.900,0.330,6.500,0.030,0.080,0.100,0.600,false,false,0.168,0.333,1.597,0.134,0.234,0.194,0.194
2,COMPLETE,0.158,101,3,0.230,13,0.900,0.330,6.500,0.030,0.080,0.100,0.600,false,false,0.175,0.334,1.689,0.140,0.165,0.170,0.165
2,COMPLETE,0.158,102,3,0.230,13,0.900,0.330,6.500,0.030,0.080,0.100,0.600,false,false,0.140,0.350,1.726,0.112,0.237,0.232,0.232
