number,state,value,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,comb_tilt_mutation_sd,transposition_mutation_correlation,stable_count,seed_count,collapse_count,mean_progress,mean_final_success,mean_final_payoff,mean_final_comb_tilt,mean_final_min_transposition,elapsed_seconds
0,COMPLETE,2.704,7,0.380,14,1.300,0.310,5.000,0.045,0.050,0.100,0.900,2,5,0,0.704,0.682,10.366,0.723,0.471,824.074
1,COMPLETE,1.375,4,0.280,16,0.800,0.290,9.000,0.015,0.110,0.080,0.800,1,5,0,0.375,0.380,2.789,0.318,0.336,629.324
2,COMPLETE,0.158,3,0.230,13,0.900,0.330,6.500,0.030,0.080,0.100,0.600,0,5,0,0.158,0.337,1.670,0.127,0.179,593.788
3,COMPLETE,0.157,3,0.250,15,1.100,0.280,7.000,0.045,0.070,0.090,0.400,0,5,0,0.157,0.371,1.838,0.125,0.161,606.624
4,COMPLETE,0.195,3,0.210,8,0.900,0.270,7.000,0.020,0.050,0.080,0.700,0,5,0,0.195,0.310,1.899,0.156,0.146,539.176
5,COMPLETE,0.261,7,0.310,16,1.000,0.190,7.000,0.010,0.080,0.080,0.500,0,5,0,0.261,0.598,6.761,0.209,0.207,776.303
6,COMPLETE,0.245,4,0.280,9,1.300,0.160,7.000,0.035,0.060,0.090,0.900,0,5,0,0.245,0.459,4.933,0.196,0.162,645.658
7,COMPLETE,0.221,5,0.380,11,1.100,0.300,8.500,0.045,0.040,0.110,0.500,0,5,0,0.221,0.603,5.411,0.216,0.131,698.536
8,COMPLETE,1.418,6,0.290,11,1.000,0.370,8.500,0.020,0.070,0.060,0.700,1,5,0,0.418,0.512,5.431,0.372,0.313,723.506
9,COMPLETE,0.168,3,0.220,8,1.100,0.220,9.000,0.015,0.040,0.070,0.700,0,5,0,0.168,0.277,2.520,0.149,0.154,482.477
10,COMPLETE,2.528,8,0.230,8,1.000,0.250,5.500,0.045,0.110,0.090,0.600,2,5,0,0.528,0.524,4.180,0.456,0.464,793.167
11,COMPLETE,3.812,6,0.400,8,0.800,0.430,6.500,0.015,0.110,0.040,0.600,3,5,0,0.812,0.586,6.177,0.712,0.521,796.929
12,COMPLETE,0.302,8,0.340,11,1.000,0.220,7.000,0.035,0.070,0.050,0.600,0,5,0,0.302,0.688,6.650,0.242,0.266,848.162
13,COMPLETE,6.000,8,0.390,10,1.000,0.410,5.000,0.035,0.080,0.070,0.900,5,5,0,1.000,0.729,9.695,0.872,0.764,875.464
14,COMPLETE,0.284,5,0.390,15,0.800,0.350,8.000,0.020,0.090,0.060,0.600,0,5,0,0.284,0.590,4.699,0.231,0.223,752.046
15,COMPLETE,0.165,3,0.320,12,0.800,0.300,6.500,0.015,0.110,0.040,0.400,0,5,0,0.165,0.430,3.233,0.132,0.219,627.357
16,COMPLETE,2.715,8,0.260,6,0.900,0.210,5.500,0.040,0.090,0.100,0.300,2,5,0,0.715,0.520,3.797,0.594,0.484,790.282
17,COMPLETE,0.542,7,0.310,12,0.800,0.300,6.500,0.025,0.040,0.100,0.900,0,5,0,0.542,0.543,4.436,0.712,0.354,724.972
