number,state,value,food_site_count,food_site_width,food_site_capacity,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,stable_count,seed_count,collapse_count,mean_progress,mean_final_success,mean_final_comb_tilt,mean_final_min_transposition,elapsed_seconds
0,COMPLETE,0.159,3,0.280,14,0.160,8.000,0.040,0,3,0,0.159,0.395,0.127,0.193,440.493
1,COMPLETE,0.178,3,0.240,12,0.200,8.500,0.020,0,3,0,0.178,0.325,0.143,0.216,400.098
2,COMPLETE,0.161,3,0.250,13,0.280,8.000,0.025,0,3,0,0.161,0.356,0.129,0.159,409.957
3,COMPLETE,1.569,6,0.350,13,0.330,8.000,0.010,1,3,0,0.569,0.576,0.578,0.402,547.245
4,COMPLETE,0.193,4,0.300,13,0.250,6.500,0.010,0,3,0,0.193,0.493,0.181,0.152,504.194
5,COMPLETE,0.245,6,0.280,12,0.190,9.000,0.025,0,3,0,0.245,0.483,0.196,0.204,512.882
6,COMPLETE,0.211,3,0.350,11,0.310,7.000,0.020,0,3,0,0.211,0.491,0.175,0.187,477.368
7,COMPLETE,0.186,6,0.250,13,0.330,7.500,0.040,0,3,0,0.186,0.511,0.149,0.186,536.251
8,COMPLETE,0.245,3,0.240,9,0.240,7.000,0.015,0,3,0,0.245,0.339,0.197,0.130,421.976
9,COMPLETE,0.308,4,0.350,6,0.240,8.500,0.020,0,3,0,0.308,0.427,0.246,0.219,439.449
10,COMPLETE,1.520,6,0.280,7,0.250,6.000,0.025,1,3,0,0.520,0.515,0.431,0.420,494.699
11,COMPLETE,0.219,5,0.360,7,0.250,9.500,0.010,0,3,0,0.219,0.491,0.175,0.186,371.219
12,COMPLETE,1.577,6,0.320,9,0.350,6.000,0.030,1,3,0,0.577,0.574,0.477,0.420,546.210
13,COMPLETE,2.761,6,0.320,9,0.340,6.000,0.030,2,3,0,0.761,0.589,0.669,0.596,526.577
14,COMPLETE,0.290,6,0.310,9,0.300,6.000,0.030,0,3,0,0.290,0.569,0.279,0.174,560.360
15,COMPLETE,1.577,6,0.320,9,0.350,6.000,0.030,1,3,0,0.577,0.574,0.477,0.420,550.533
16,COMPLETE,0.151,5,0.320,10,0.350,10.000,0.035,0,3,0,0.151,0.494,0.121,0.236,468.832
17,COMPLETE,0.229,5,0.320,9,0.350,6.000,0.035,0,3,0,0.229,0.553,0.196,0.183,502.156
18,COMPLETE,0.246,5,0.320,9,0.300,6.000,0.035,0,3,0,0.246,0.558,0.197,0.230,506.496
19,COMPLETE,0.249,5,0.330,10,0.350,6.500,0.035,0,3,0,0.249,0.560,0.199,0.220,505.784
20,COMPLETE,0.248,5,0.330,8,0.290,6.500,0.035,0,3,0,0.248,0.537,0.228,0.159,500.636
21,COMPLETE,0.311,5,0.330,8,0.300,6.500,0.030,0,3,0,0.311,0.539,0.263,0.196,481.824
22,COMPLETE,0.215,5,0.300,8,0.320,6.500,0.030,0,3,0,0.215,0.514,0.201,0.194,475.141
23,COMPLETE,0.240,6,0.220,8,0.320,7.000,0.030,0,3,0,0.240,0.434,0.192,0.239,460.958
