condition,food_site_count,food_site_width,food_site_capacity,food_value,initial_comb_tilt,vertical_comb_benefit,vertical_comb_modifier,seed,generations,gravity_reach_generation,vertical_reach_generation,collapsed,recovered_from_collapse,retained_vertical,final_gravity,stable_vertical_gravity,initial_success,min_success,min_success_generation,final_bias,final_attention,final_sender_transposition,final_receiver_transposition,final_min_transposition,final_transposition_gap,final_comb_tilt,final_comb_orientation_alignment,final_search_limit,final_success,final_payoff,success_delta,elapsed_seconds
baseline,2,0.200,6,1.000,0.000,0.250,linear,101,120,not_reached,not_reached,false,false,false,false,false,0.023,0.021,1,0.853,0.867,0.140,0.279,0.140,0.139,0.164,0.164,7.337,0.192,0.709,0.170,43.300
baseline,2,0.200,6,1.000,0.000,0.250,linear,102,120,not_reached,not_reached,false,false,false,false,false,0.026,0.022,2,0.892,0.868,0.173,0.275,0.173,0.102,0.155,0.120,7.211,0.193,0.736,0.168,42.678
baseline,2,0.200,6,1.000,0.000,0.250,linear,103,120,not_reached,not_reached,false,false,false,false,false,0.027,0.023,2,0.842,0.906,0.242,0.276,0.242,0.034,0.119,0.387,7.361,0.199,0.766,0.172,41.767
baseline,2,0.200,6,1.000,0.000,0.250,linear,104,120,not_reached,not_reached,false,false,false,false,false,0.027,0.027,0,0.859,0.840,0.255,0.259,0.255,0.004,0.100,0.075,7.337,0.199,0.778,0.173,41.360
baseline,2,0.200,6,1.000,0.000,0.250,linear,105,120,not_reached,not_reached,false,false,false,false,false,0.026,0.026,0,0.857,0.827,0.166,0.194,0.166,0.027,0.133,0.081,6.809,0.185,0.709,0.159,44.163
broad,2,0.350,6,1.000,0.000,0.250,linear,101,120,not_reached,not_reached,false,false,false,false,false,0.039,0.039,0,0.854,0.865,0.164,0.200,0.164,0.036,0.269,0.101,7.159,0.310,2.334,0.271,52.717
broad,2,0.350,6,1.000,0.000,0.250,linear,102,120,not_reached,not_reached,false,false,false,false,false,0.047,0.047,0,0.838,0.839,0.201,0.236,0.201,0.035,0.217,0.188,6.941,0.313,2.392,0.266,51.947
broad,2,0.350,6,1.000,0.000,0.250,linear,103,120,not_reached,not_reached,false,false,false,false,false,0.048,0.048,0,0.816,0.740,0.140,0.133,0.133,0.006,0.248,0.069,7.160,0.313,2.349,0.265,54.412
broad,2,0.350,6,1.000,0.000,0.250,linear,104,120,not_reached,not_reached,false,false,false,false,false,0.047,0.047,0,0.780,0.855,0.242,0.294,0.242,0.052,0.091,0.123,7.226,0.331,2.493,0.284,51.827
broad,2,0.350,6,1.000,0.000,0.250,linear,105,120,not_reached,not_reached,false,false,false,false,false,0.048,0.048,0,0.888,0.882,0.275,0.203,0.203,0.072,0.157,0.129,7.115,0.320,2.403,0.272,52.662
broad_high_capacity,2,0.350,12,1.000,0.000,0.250,linear,101,120,not_reached,not_reached,false,false,false,false,false,0.043,0.043,0,0.835,0.880,0.213,0.328,0.213,0.116,0.096,0.277,7.358,0.396,3.340,0.353,53.943
broad_high_capacity,2,0.350,12,1.000,0.000,0.250,linear,102,120,not_reached,not_reached,false,false,false,false,false,0.047,0.047,0,0.798,0.901,0.334,0.312,0.312,0.023,0.118,0.285,7.182,0.394,3.353,0.348,53.975
broad_high_capacity,2,0.350,12,1.000,0.000,0.250,linear,103,120,not_reached,not_reached,false,false,false,false,false,0.048,0.048,0,0.828,0.862,0.192,0.150,0.150,0.042,0.141,0.076,7.283,0.407,3.533,0.359,54.965
broad_high_capacity,2,0.350,12,1.000,0.000,0.250,linear,104,120,not_reached,not_reached,false,false,false,false,false,0.047,0.047,0,0.852,0.883,0.224,0.230,0.224,0.006,0.109,0.087,7.209,0.388,3.256,0.341,54.648
broad_high_capacity,2,0.350,12,1.000,0.000,0.250,linear,105,120,not_reached,not_reached,false,false,false,false,false,0.048,0.048,0,0.795,0.877,0.249,0.354,0.249,0.104,0.110,0.241,6.864,0.370,3.083,0.322,53.700
broad_rich,2,0.350,6,1.500,0.000,0.250,linear,101,120,not_reached,not_reached,false,false,false,false,false,0.039,0.039,0,0.808,0.827,0.172,0.225,0.172,0.053,0.220,0.150,7.220,0.321,4.469,0.282,50.904
broad_rich,2,0.350,6,1.500,0.000,0.250,linear,102,120,not_reached,not_reached,false,false,false,false,false,0.047,0.047,0,0.846,0.886,0.159,0.118,0.118,0.042,0.195,0.138,7.134,0.333,4.689,0.286,52.630
