point,parameter,parameter_value,is_baseline,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,comb_tilt_mutation_sd,transposition_mutation_correlation,seed,comparison_group,outcome,stable_vertical_gravity,reached_gravity,retained_vertical,collapsed,gravity_reach_generation,vertical_reach_generation,partial_tilt_generation,partial_transposition_generation,max_comb_tilt,max_comb_tilt_generation,max_min_transposition,max_min_transposition_generation,min_success,min_success_generation,final_directional_bias,final_attention,final_sender_transposition,final_receiver_transposition,final_min_transposition,final_transposition_gap,final_comb_tilt,final_success,final_payoff,elapsed_seconds
baseline,baseline,baseline,true,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,98,successful,success,true,true,true,false,41,42,33,15,0.892,96,0.882,101,0.247,0,0.767,0.742,0.862,0.831,0.831,0.031,0.824,0.676,7.683,86.329
baseline,baseline,baseline,true,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,113,successful,success,true,true,true,false,50,40,25,9,0.915,71,0.890,91,0.268,0,0.821,0.747,0.824,0.781,0.781,0.042,0.800,0.656,7.280,87.752
baseline,baseline,baseline,true,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,108,successful,success,true,true,true,false,90,92,21,22,0.907,115,0.888,113,0.253,0,0.714,0.749,0.824,0.839,0.824,0.015,0.893,0.667,7.710,88.466
baseline,baseline,baseline,true,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,96,successful,success,true,true,true,false,48,51,29,24,0.899,118,0.848,103,0.261,0,0.796,0.767,0.715,0.715,0.715,0.000,0.852,0.634,7.174,89.087
baseline,baseline,baseline,true,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,112,unsuccessful,gravity_without_vertical,false,true,false,false,58,36,23,15,0.916,87,0.873,89,0.247,0,0.741,0.859,0.836,0.786,0.786,0.049,0.791,0.688,7.705,89.077
baseline,baseline,baseline,true,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,107,successful,success,true,true,true,false,40,29,15,18,0.914,62,0.881,72,0.243,0,0.600,0.770,0.847,0.868,0.847,0.021,0.814,0.672,7.565,89.217
baseline,baseline,baseline,true,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,105,successful,success,true,true,true,false,48,120,24,17,0.817,120,0.618,120,0.259,0,0.700,0.793,0.653,0.618,0.618,0.035,0.817,0.649,7.281,89.304
baseline,baseline,baseline,true,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,97,successful,success,true,true,true,false,95,119,59,52,0.839,119,0.684,115,0.265,0,0.541,0.618,0.638,0.692,0.638,0.054,0.816,0.589,6.412,89.438
baseline,baseline,baseline,true,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,114,successful,success,true,true,true,false,62,71,45,36,0.877,76,0.877,81,0.266,0,0.673,0.856,0.824,0.818,0.818,0.005,0.872,0.698,8.036,89.466
baseline,baseline,baseline,true,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,116,successful,success,true,true,true,false,79,88,55,17,0.914,110,0.891,118,0.237,0,0.811,0.786,0.907,0.886,0.886,0.020,0.873,0.684,7.942,89.680
baseline,baseline,baseline,true,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,111,successful,success,true,true,true,false,36,57,36,20,0.894,79,0.880,92,0.252,0,0.831,0.803,0.866,0.882,0.866,0.015,0.845,0.686,7.945,89.744
baseline,baseline,baseline,true,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,99,unsuccessful,gravity_without_vertical,false,true,false,false,41,47,35,23,0.925,92,0.863,58,0.268,0,0.781,0.844,0.747,0.799,0.747,0.052,0.791,0.657,7.312,89.786
baseline,baseline,baseline,true,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,109,successful,success,true,true,true,false,64,68,57,19,0.905,112,0.882,89,0.236,0,0.832,0.827,0.863,0.874,0.863,0.011,0.895,0.652,7.780,90.420
baseline,baseline,baseline,true,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,106,successful,success,true,true,true,false,72,72,50,23,0.881,110,0.859,106,0.274,0,0.760,0.783,0.823,0.817,0.817,0.006,0.802,0.664,7.488,90.553
baseline,baseline,baseline,true,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,110,successful,success,true,true,true,false,94,103,49,21,0.849,115,0.822,111,0.237,0,0.696,0.807,0.743,0.755,0.743,0.012,0.821,0.681,7.707,90.673
baseline,baseline,baseline,true,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,115,successful,success,true,true,true,false,29,28,24,12,0.928,45,0.891,90,0.241,0,0.652,0.751,0.820,0.781,0.781,0.039,0.847,0.645,7.229,91.030
baseline,baseline,baseline,true,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,117,successful,success,true,true,true,false,23,42,31,16,0.923,99,0.850,111,0.236,0,0.748,0.814,0.713,0.749,0.713,0.036,0.808,0.630,7.033,87.557
baseline,baseline,baseline,true,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,118,successful,success,true,true,true,false,59,60,33,17,0.893,118,0.893,91,0.241,0,0.676,0.830,0.788,0.718,0.718,0.071,0.884,0.681,7.840,89.177
baseline,baseline,baseline,true,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,121,successful,success,true,true,true,false,75,91,50,11,0.901,101,0.890,110,0.258,0,0.763,0.745,0.822,0.829,0.822,0.008,0.825,0.672,7.621,88.907
baseline,baseline,baseline,true,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,119,successful,success,true,true,true,false,33,32,21,21,0.906,86,0.884,79,0.252,0,0.678,0.850,0.881,0.877,0.877,0.003,0.866,0.707,8.235,89.935
baseline,baseline,baseline,true,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,130,successful,success,true,true,true,false,40,31,23,33,0.923,118,0.868,70,0.237,0,0.762,0.808,0.864,0.877,0.864,0.013,0.910,0.689,8.230,88.410
baseline,baseline,baseline,true,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,120,successful,success,true,true,true,false,63,37,24,22,0.924,117,0.872,116,0.262,0,0.823,0.704,0.826,0.830,0.826,0.004,0.911,0.699,8.095,90.231
baseline,baseline,baseline,true,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,124,successful,success,true,true,true,false,57,51,36,26,0.912,120,0.878,115,0.248,0,0.860,0.817,0.802,0.830,0.802,0.028,0.912,0.697,8.242,90.055
baseline,baseline,baseline,true,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,128,successful,success,true,true,true,false,57,81,51,12,0.917,116,0.857,104,0.234,0,0.768,0.840,0.796,0.814,0.796,0.017,0.859,0.689,7.978,89.732
baseline,baseline,baseline,true,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,125,unsuccessful,gravity_without_vertical,false,true,false,false,61,60,40,28,0.900,113,0.826,107,0.256,0,0.550,0.771,0.764,0.717,0.717,0.047,0.794,0.636,6.993,90.060
baseline,baseline,baseline,true,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,122,successful,success,true,true,true,false,36,36,17,22,0.909,89,0.892,83,0.264,0,0.615,0.806,0.734,0.807,0.734,0.073,0.885,0.661,7.584,90.476
baseline,baseline,baseline,true,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,126,unsuccessful,vertical_without_gravity,false,false,true,false,not_reached,114,43,18,0.829,115,0.462,120,0.247,0,0.802,0.660,0.462,0.630,0.462,0.168,0.813,0.615,6.636,90.077
baseline,baseline,baseline,true,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,129,successful,success,true,true,true,false,33,58,49,15,0.905,112,0.870,112,0.261,0,0.810,0.817,0.832,0.844,0.832,0.011,0.865,0.691,8.051,90.197
baseline,baseline,baseline,true,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,131,unsuccessful,gravity_without_vertical,false,true,false,false,116,not_reached,79,12,0.713,117,0.574,118,0.259,0,0.653,0.760,0.590,0.553,0.553,0.036,0.674,0.632,6.551,90.200
baseline,baseline,baseline,true,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,123,successful,success,true,true,true,false,42,50,31,29,0.930,71,0.892,120,0.262,0,0.723,0.830,0.893,0.892,0.892,0.001,0.834,0.626,7.118,91.755
baseline,baseline,baseline,true,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,127,unsuccessful,gravity_without_vertical,false,true,false,false,30,37,27,10,0.914,94,0.882,63,0.250,0,0.747,0.731,0.855,0.849,0.849,0.006,0.770,0.669,7.421,91.480
baseline,baseline,baseline,true,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,132,successful,success,true,true,true,false,51,48,34,23,0.927,108,0.838,116,0.238,0,0.799,0.873,0.782,0.784,0.782,0.002,0.894,0.699,8.213,90.992
baseline,baseline,baseline,true,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,133,successful,success,true,true,true,false,49,57,29,36,0.915,95,0.839,106,0.243,0,0.836,0.827,0.775,0.812,0.775,0.037,0.834,0.671,7.664,88.797
baseline,baseline,baseline,true,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900,135,successful,success,true,true,true,false,24,29,18,19,0.920,75,0.858,68,0.258,0,0.665,0.785,0.734,0.725,0.725,0.010,0.851,0.666,7.565,87.910
