point,parameter,parameter_value,is_baseline,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,comb_tilt_mutation_sd,transposition_mutation_correlation
baseline,baseline,baseline,true,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900
food_site_count_4,food_site_count,4,false,4,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900
food_site_count_6,food_site_count,6,false,6,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900
food_site_count_9,food_site_count,9,false,9,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.900
mutation_sd_0p045,mutation_sd,0.045,false,7,0.370,10,0.900,0.440,5.000,0.035,0.045,0.080,0.900
mutation_sd_0p075,mutation_sd,0.075,false,7,0.370,10,0.900,0.440,5.000,0.035,0.075,0.080,0.900
mutation_sd_0p105,mutation_sd,0.105,false,7,0.370,10,0.900,0.440,5.000,0.035,0.105,0.080,0.900
mutation_sd_0p135,mutation_sd,0.135,false,7,0.370,10,0.900,0.440,5.000,0.035,0.135,0.080,0.900
vertical_comb_benefit_0p300,vertical_comb_benefit,0.300,false,7,0.370,10,0.900,0.300,5.000,0.035,0.090,0.080,0.900
vertical_comb_benefit_0p370,vertical_comb_benefit,0.370,false,7,0.370,10,0.900,0.370,5.000,0.035,0.090,0.080,0.900
vertical_comb_benefit_0p420,vertical_comb_benefit,0.420,false,7,0.370,10,0.900,0.420,5.000,0.035,0.090,0.080,0.900
vertical_comb_benefit_0p460,vertical_comb_benefit,0.460,false,7,0.370,10,0.900,0.460,5.000,0.035,0.090,0.080,0.900
vertical_comb_benefit_0p520,vertical_comb_benefit,0.520,false,7,0.370,10,0.900,0.520,5.000,0.035,0.090,0.080,0.900
transposition_mutation_correlation_0p300,transposition_mutation_correlation,0.300,false,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.300
transposition_mutation_correlation_0p600,transposition_mutation_correlation,0.600,false,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.600
transposition_mutation_correlation_0p800,transposition_mutation_correlation,0.800,false,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,0.800
transposition_mutation_correlation_1p000,transposition_mutation_correlation,1.000,false,7,0.370,10,0.900,0.440,5.000,0.035,0.090,0.080,1.000
