candidate,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation,seed,comparison_group,outcome,stable_vertical_gravity,reached_gravity,retained_vertical,collapsed,gravity_reach_generation,vertical_reach_generation,partial_tilt_generation,partial_transposition_generation,max_comb_tilt,max_comb_tilt_generation,max_min_transposition,max_min_transposition_generation,min_success,min_success_generation,final_directional_bias,final_attention,final_sender_transposition,final_receiver_transposition,final_min_transposition,final_transposition_gap,final_comb_tilt,final_success,final_payoff,elapsed_seconds
trial_243,8,0.280,9,1.000,0.540,7.000,0.055,0.090,1.000,113,unsuccessful,gravity_without_vertical,false,true,false,false,53,26,19,10,0.905,107,0.852,82,0.167,0,0.884,0.744,0.704,0.704,0.704,0.000,0.750,0.590,5.139,114.360
trial_243,8,0.280,9,1.000,0.540,7.000,0.055,0.090,1.000,124,successful,success,true,true,true,false,54,36,23,14,0.915,120,0.875,72,0.151,0,0.796,0.792,0.781,0.781,0.781,0.000,0.915,0.568,5.317,114.446
trial_243,8,0.280,9,1.000,0.540,7.000,0.055,0.090,1.000,110,successful,success,true,true,true,false,36,26,19,12,0.903,81,0.918,98,0.147,0,0.841,0.775,0.851,0.851,0.851,0.000,0.896,0.567,5.320,115.708
trial_243,8,0.280,9,1.000,0.540,7.000,0.055,0.090,1.000,111,successful,success,true,true,true,false,50,40,20,13,0.909,61,0.901,80,0.155,0,0.612,0.729,0.757,0.757,0.757,0.000,0.832,0.552,4.878,116.183
trial_243,8,0.280,9,1.000,0.540,7.000,0.055,0.090,1.000,119,successful,success,true,true,true,false,37,52,36,13,0.916,88,0.896,120,0.154,0,0.855,0.831,0.896,0.896,0.896,0.000,0.846,0.594,5.577,117.046
trial_243,8,0.280,9,1.000,0.540,7.000,0.055,0.090,1.000,118,successful,success,true,true,true,false,36,43,24,9,0.893,68,0.921,68,0.148,0,0.726,0.768,0.917,0.917,0.917,0.000,0.825,0.573,5.170,117.561
trial_243,8,0.280,9,1.000,0.540,7.000,0.055,0.090,1.000,122,successful,success,true,true,true,false,32,32,23,17,0.901,54,0.901,74,0.162,0,0.803,0.691,0.843,0.843,0.843,0.000,0.859,0.551,4.913,119.158
trial_243,8,0.280,9,1.000,0.540,7.000,0.055,0.090,1.000,112,successful,success,true,true,true,false,60,75,47,12,0.944,94,0.911,86,0.148,0,0.835,0.785,0.820,0.820,0.820,0.000,0.810,0.588,5.247,119.476
trial_243,8,0.280,9,1.000,0.540,7.000,0.055,0.090,1.000,121,successful,success,true,true,true,false,43,50,19,16,0.909,56,0.910,87,0.161,0,0.744,0.769,0.856,0.856,0.856,0.000,0.822,0.550,4.944,119.542
trial_243,8,0.280,9,1.000,0.540,7.000,0.055,0.090,1.000,115,successful,success,true,true,true,false,50,47,27,18,0.917,101,0.900,69,0.148,0,0.730,0.742,0.871,0.871,0.871,0.000,0.855,0.550,4.916,119.612
trial_243,8,0.280,9,1.000,0.540,7.000,0.055,0.090,1.000,120,unsuccessful,gravity_without_vertical,false,true,false,false,54,62,40,16,0.918,105,0.886,72,0.164,0,0.800,0.836,0.821,0.821,0.821,0.000,0.765,0.582,5.110,119.849
trial_243,8,0.280,9,1.000,0.540,7.000,0.055,0.090,1.000,117,successful,success,true,true,true,false,60,52,30,15,0.917,77,0.902,70,0.147,0,0.790,0.839,0.833,0.833,0.833,0.000,0.841,0.564,5.133,120.728
trial_243,8,0.280,9,1.000,0.540,7.000,0.055,0.090,1.000,114,unsuccessful,gravity_without_vertical,false,true,false,false,61,66,52,15,0.886,75,0.878,86,0.161,0,0.734,0.791,0.826,0.826,0.826,0.000,0.793,0.563,5.008,120.961
trial_243,8,0.280,9,1.000,0.540,7.000,0.055,0.090,1.000,123,successful,success,true,true,true,false,55,64,46,40,0.911,107,0.874,109,0.160,0,0.829,0.811,0.853,0.853,0.853,0.000,0.902,0.615,5.894,121.082
trial_243,8,0.280,9,1.000,0.540,7.000,0.055,0.090,1.000,125,successful,success,true,true,true,false,86,89,19,24,0.895,103,0.902,103,0.155,0,0.870,0.859,0.846,0.846,0.846,0.000,0.813,0.549,5.043,121.407
trial_243,8,0.280,9,1.000,0.540,7.000,0.055,0.090,1.000,116,successful,success,true,true,true,false,59,67,29,18,0.922,84,0.916,84,0.146,0,0.785,0.824,0.860,0.860,0.860,0.000,0.856,0.571,5.182,122.311
trial_243,8,0.280,9,1.000,0.540,7.000,0.055,0.090,1.000,126,successful,success,true,true,true,false,78,59,28,16,0.928,88,0.897,111,0.155,0,0.833,0.741,0.852,0.852,0.852,0.000,0.820,0.564,5.012,109.152
trial_243,8,0.280,9,1.000,0.540,7.000,0.055,0.090,1.000,127,successful,success,true,true,true,false,51,54,46,17,0.918,89,0.907,106,0.153,0,0.713,0.690,0.777,0.777,0.777,0.000,0.835,0.570,4.979,118.204
trial_243,8,0.280,9,1.000,0.540,7.000,0.055,0.090,1.000,130,successful,success,true,true,true,false,48,17,11,20,0.905,66,0.882,101,0.149,0,0.871,0.801,0.814,0.814,0.814,0.000,0.846,0.578,5.266,116.930
trial_243,8,0.280,9,1.000,0.540,7.000,0.055,0.090,1.000,131,successful,success,true,true,true,false,76,83,19,22,0.905,112,0.856,120,0.157,0,0.814,0.762,0.856,0.856,0.856,0.000,0.887,0.578,5.298,116.472
trial_243,8,0.280,9,1.000,0.540,7.000,0.055,0.090,1.000,129,successful,success,true,true,true,false,73,77,32,31,0.892,89,0.876,115,0.160,0,0.815,0.779,0.847,0.847,0.847,0.000,0.889,0.564,5.272,118.911
trial_243,8,0.280,9,1.000,0.540,7.000,0.055,0.090,1.000,128,successful,success,true,true,true,false,52,66,47,16,0.893,73,0.894,118,0.151,0,0.851,0.717,0.844,0.844,0.844,0.000,0.832,0.585,5.264,119.668
trial_243,8,0.280,9,1.000,0.540,7.000,0.055,0.090,1.000,133,successful,success,true,true,true,false,36,37,23,25,0.894,89,0.921,118,0.150,0,0.797,0.800,0.872,0.872,0.872,0.000,0.884,0.567,5.424,116.120
trial_243,8,0.280,9,1.000,0.540,7.000,0.055,0.090,1.000,132,successful,success,true,true,true,false,32,39,15,11,0.910,117,0.899,86,0.149,0,0.863,0.861,0.850,0.850,0.850,0.000,0.873,0.550,5.153,117.563
trial_243,8,0.280,9,1.000,0.540,7.000,0.055,0.090,1.000,139,successful,success,true,true,true,false,68,58,53,18,0.900,89,0.909,90,0.167,0,0.815,0.796,0.865,0.865,0.865,0.000,0.863,0.579,5.273,116.151
trial_243,8,0.280,9,1.000,0.540,7.000,0.055,0.090,1.000,134,successful,success,true,true,true,false,46,64,41,23,0.904,93,0.883,79,0.159,0,0.701,0.782,0.814,0.814,0.814,0.000,0.859,0.579,5.190,119.453
