candidate,seed,comparison_group,outcome,generation,average_directional_bias,average_receiver_attention,average_sender_transposition,average_receiver_transposition,average_min_transposition,average_transposition_gap,average_comb_tilt,average_comb_orientation,comb_orientation_alignment,average_search_limit,average_success,average_payoff
trial_785,122,successful,success,0,0.065,0.134,0.000,0.000,0.000,0.000,0.000,2.379,0.022,2.476,0.143,0.155
trial_785,122,successful,success,1,0.091,0.147,0.057,0.057,0.057,0.000,0.061,1.150,0.160,2.804,0.172,0.280
trial_785,122,successful,success,2,0.157,0.144,0.082,0.082,0.082,0.000,0.087,0.063,0.189,3.665,0.243,0.608
trial_785,122,successful,success,3,0.148,0.151,0.123,0.123,0.123,0.000,0.103,0.253,0.295,4.453,0.302,0.897
trial_785,122,successful,success,4,0.187,0.146,0.143,0.143,0.143,0.000,0.136,0.645,0.062,5.018,0.343,1.162
trial_785,122,successful,success,5,0.193,0.132,0.177,0.177,0.177,0.000,0.213,0.921,0.265,5.401,0.363,1.321
trial_785,122,successful,success,6,0.204,0.142,0.208,0.208,0.208,0.000,0.261,0.671,0.305,6.365,0.423,1.620
trial_785,122,successful,success,7,0.200,0.130,0.263,0.263,0.263,0.000,0.291,0.655,0.216,6.574,0.423,1.578
trial_785,122,successful,success,8,0.237,0.102,0.309,0.309,0.309,0.000,0.352,2.022,0.036,6.674,0.437,1.753
trial_785,122,successful,success,9,0.273,0.135,0.316,0.316,0.316,0.000,0.354,2.097,0.058,6.628,0.433,1.714
trial_785,122,successful,success,10,0.360,0.179,0.289,0.289,0.289,0.000,0.332,0.209,0.168,6.572,0.445,1.882
trial_785,122,successful,success,11,0.391,0.192,0.291,0.291,0.291,0.000,0.333,0.137,0.172,6.731,0.449,1.892
trial_785,122,successful,success,12,0.370,0.220,0.239,0.239,0.239,0.000,0.364,0.857,0.083,6.935,0.456,1.914
trial_785,122,successful,success,13,0.425,0.254,0.260,0.260,0.260,0.000,0.377,3.104,0.015,6.801,0.451,1.892
trial_785,122,successful,success,14,0.481,0.318,0.296,0.296,0.296,0.000,0.391,1.907,0.051,7.067,0.475,2.130
trial_785,122,successful,success,15,0.507,0.352,0.262,0.262,0.262,0.000,0.388,1.629,0.044,6.993,0.486,2.300
trial_785,122,successful,success,16,0.627,0.389,0.287,0.287,0.287,0.000,0.379,1.284,0.219,6.931,0.484,2.292
trial_785,122,successful,success,17,0.560,0.422,0.316,0.316,0.316,0.000,0.401,1.501,0.202,7.215,0.497,2.413
trial_785,122,successful,success,18,0.562,0.416,0.299,0.299,0.299,0.000,0.384,1.160,0.101,6.896,0.480,2.296
trial_785,122,successful,success,19,0.574,0.501,0.296,0.296,0.296,0.000,0.454,1.324,0.071,6.726,0.475,2.352
trial_785,122,successful,success,20,0.577,0.541,0.312,0.312,0.312,0.000,0.490,3.121,0.256,6.800,0.485,2.505
trial_785,122,successful,success,21,0.542,0.556,0.327,0.327,0.327,0.000,0.509,2.866,0.318,6.942,0.478,2.357
trial_785,122,successful,success,22,0.623,0.588,0.293,0.293,0.293,0.000,0.538,2.639,0.248,6.964,0.488,2.495
trial_785,122,successful,success,23,0.622,0.615,0.311,0.311,0.311,0.000,0.522,2.670,0.335,6.861,0.484,2.514
trial_785,122,successful,success,24,0.634,0.689,0.328,0.328,0.328,0.000,0.580,2.693,0.295,6.729,0.476,2.491
trial_785,122,successful,success,25,0.631,0.730,0.364,0.364,0.364,0.000,0.585,2.696,0.184,6.876,0.498,2.774
trial_785,122,successful,success,26,0.574,0.750,0.423,0.423,0.423,0.000,0.634,2.603,0.171,6.524,0.486,2.848
trial_785,122,successful,success,27,0.578,0.746,0.421,0.421,0.421,0.000,0.558,2.841,0.202,6.297,0.464,2.572
trial_785,122,successful,success,28,0.590,0.729,0.464,0.464,0.464,0.000,0.571,2.811,0.153,6.269,0.467,2.606
trial_785,122,successful,success,29,0.593,0.714,0.519,0.519,0.519,0.000,0.608,2.925,0.033,6.496,0.490,2.900
trial_785,122,successful,success,30,0.598,0.675,0.489,0.489,0.489,0.000,0.621,0.994,0.089,6.377,0.487,2.954
trial_785,122,successful,success,31,0.582,0.701,0.604,0.604,0.604,0.000,0.708,0.553,0.127,6.495,0.484,2.997
trial_785,122,successful,success,32,0.616,0.688,0.579,0.579,0.579,0.000,0.676,0.292,0.273,6.580,0.481,2.838
trial_785,122,successful,success,33,0.661,0.711,0.640,0.640,0.640,0.000,0.746,0.168,0.177,6.730,0.499,3.195
trial_785,122,successful,success,34,0.665,0.686,0.612,0.612,0.612,0.000,0.743,0.283,0.162,7.138,0.513,3.104
