point,parameter,parameter_value,is_baseline,group_kind,group,generation,runs,mean_directional_bias,mean_receiver_attention,mean_sender_transposition,mean_receiver_transposition,mean_min_transposition,mean_transposition_gap,mean_comb_tilt,mean_success,mean_payoff
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,0,100,0.074,0.124,0.000,0.000,0.000,0.000,0.000,0.103,0.682
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,1,100,0.077,0.128,0.018,0.018,0.016,0.003,0.018,0.130,0.917
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,2,100,0.082,0.132,0.030,0.030,0.027,0.006,0.030,0.150,1.091
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,3,100,0.088,0.137,0.042,0.039,0.036,0.009,0.040,0.166,1.233
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,4,100,0.096,0.141,0.051,0.048,0.043,0.012,0.047,0.180,1.359
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,5,100,0.103,0.144,0.057,0.055,0.049,0.014,0.056,0.193,1.478
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,6,100,0.111,0.147,0.064,0.063,0.055,0.017,0.063,0.208,1.619
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,7,100,0.118,0.152,0.071,0.069,0.060,0.019,0.067,0.224,1.760
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,8,100,0.122,0.157,0.077,0.076,0.065,0.024,0.075,0.235,1.864
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,9,100,0.127,0.164,0.085,0.082,0.070,0.026,0.081,0.248,1.984
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,10,100,0.134,0.171,0.089,0.088,0.074,0.029,0.087,0.261,2.096
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,11,100,0.139,0.174,0.094,0.093,0.079,0.029,0.091,0.273,2.211
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,12,100,0.144,0.178,0.097,0.100,0.083,0.031,0.095,0.284,2.314
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,13,100,0.150,0.182,0.100,0.108,0.087,0.034,0.101,0.296,2.420
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,14,100,0.156,0.185,0.104,0.110,0.089,0.036,0.106,0.307,2.516
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,15,100,0.161,0.191,0.109,0.116,0.093,0.038,0.111,0.317,2.611
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,16,100,0.168,0.196,0.113,0.120,0.095,0.042,0.115,0.326,2.695
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,17,100,0.173,0.201,0.116,0.126,0.099,0.044,0.119,0.333,2.753
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,18,100,0.179,0.204,0.119,0.128,0.100,0.047,0.123,0.340,2.825
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,19,100,0.182,0.209,0.123,0.132,0.104,0.046,0.130,0.346,2.875
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,20,100,0.187,0.213,0.128,0.136,0.108,0.047,0.133,0.351,2.924
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,21,100,0.190,0.219,0.131,0.142,0.111,0.051,0.136,0.355,2.958
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,22,100,0.193,0.222,0.135,0.144,0.112,0.055,0.140,0.359,2.993
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,23,100,0.202,0.226,0.138,0.146,0.112,0.059,0.146,0.363,3.035
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,24,100,0.207,0.231,0.142,0.150,0.114,0.064,0.152,0.366,3.063
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,25,100,0.216,0.235,0.146,0.153,0.118,0.063,0.156,0.368,3.083
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,26,100,0.224,0.238,0.151,0.155,0.121,0.064,0.162,0.372,3.125
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,27,100,0.228,0.243,0.155,0.157,0.125,0.062,0.166,0.375,3.156
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,28,100,0.239,0.248,0.157,0.161,0.129,0.060,0.170,0.378,3.181
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,29,100,0.249,0.252,0.164,0.160,0.132,0.061,0.175,0.381,3.211
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,30,100,0.252,0.259,0.167,0.161,0.132,0.063,0.180,0.382,3.226
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,31,100,0.258,0.269,0.171,0.164,0.133,0.070,0.181,0.384,3.246
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,32,100,0.268,0.276,0.176,0.164,0.135,0.069,0.184,0.386,3.262
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,33,100,0.277,0.278,0.182,0.168,0.139,0.072,0.186,0.388,3.288
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,34,100,0.288,0.285,0.182,0.171,0.141,0.071,0.189,0.390,3.303
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,35,100,0.298,0.291,0.183,0.173,0.143,0.071,0.195,0.391,3.322
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,36,100,0.308,0.301,0.186,0.177,0.144,0.075,0.197,0.393,3.341
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,37,100,0.317,0.309,0.191,0.181,0.147,0.078,0.203,0.396,3.367
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,38,100,0.328,0.318,0.191,0.184,0.148,0.080,0.202,0.397,3.382
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,39,100,0.336,0.328,0.193,0.186,0.149,0.082,0.204,0.398,3.396
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,40,100,0.345,0.334,0.192,0.188,0.149,0.082,0.203,0.398,3.395
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,all,all,41,100,0.352,0.341,0.193,0.191,0.151,0.081,0.207,0.400,3.415
