point,parameter,parameter_value,is_baseline,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation,group_kind,group,runs,seeds,stable_fraction,reached_gravity_fraction,retained_vertical_fraction,collapse_fraction,mean_gravity_reach_generation,mean_vertical_reach_generation,mean_partial_tilt_generation,mean_partial_transposition_generation,mean_max_comb_tilt,mean_max_min_transposition,mean_min_success,mean_final_directional_bias,mean_final_attention,mean_final_min_transposition,mean_final_transposition_gap,mean_final_comb_tilt,mean_final_success,mean_final_payoff
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000,all,all,100,"300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399",0.000,0.000,0.000,0.000,not_reached,not_reached,79.333,68.042,0.289,0.293,0.164,0.808,0.841,0.186,0.090,0.148,0.601,3.988
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000,comparison,unsuccessful,100,"300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399",0.000,0.000,0.000,0.000,not_reached,not_reached,79.333,68.042,0.289,0.293,0.164,0.808,0.841,0.186,0.090,0.148,0.601,3.988
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000,outcome,flat,87,"300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,328,329,333,334,335,336,338,340,341,342,343,344,345,346,347,348,349,351,352,353,354,356,357,358,359,360,361,362,363,364,365,366,367,368,369,371,372,373,376,378,379,380,381,382,383,384,385,386,387,388,389,390,391,393,394,395,396,397,398,399",0.000,0.000,0.000,0.000,not_reached,not_reached,79.333,68.466,0.291,0.285,0.164,0.805,0.841,0.167,0.098,0.151,0.600,3.989
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000,outcome,partial_transposition,13,"327,330,331,332,337,339,350,355,370,374,375,377,392",0.000,0.000,0.000,0.000,not_reached,not_reached,not_reached,66.154,0.279,0.346,0.160,0.823,0.842,0.309,0.036,0.125,0.603,3.983
alpha_0p1_mut_0p045_rho_0p3,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0p3,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,all,all,100,"300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399",0.000,0.020,0.000,0.000,84.000,not_reached,45.000,67.687,0.293,0.299,0.164,0.830,0.851,0.197,0.093,0.141,0.602,4.017
alpha_0p1_mut_0p045_rho_0p3,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0p3,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,comparison,unsuccessful,100,"300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399",0.000,0.020,0.000,0.000,84.000,not_reached,45.000,67.687,0.293,0.299,0.164,0.830,0.851,0.197,0.093,0.141,0.602,4.017
alpha_0p1_mut_0p045_rho_0p3,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0p3,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,outcome,flat,74,"300,301,303,305,306,307,309,312,313,315,316,317,318,319,320,322,324,325,327,328,330,331,332,333,334,335,336,337,338,341,342,343,345,346,347,350,351,352,353,354,355,356,357,358,359,360,361,362,363,365,367,368,370,373,374,375,376,379,381,382,384,385,386,387,388,389,390,391,392,393,394,396,397,398",0.000,0.000,0.000,0.000,not_reached,not_reached,not_reached,62.463,0.299,0.276,0.163,0.833,0.851,0.160,0.093,0.148,0.604,4.047
alpha_0p1_mut_0p045_rho_0p3,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0p3,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,outcome,gravity_without_vertical,2,"323,395",0.000,1.000,0.000,0.000,84.000,not_reached,45.000,64.500,0.372,0.554,0.170,0.867,0.775,0.426,0.114,0.080,0.595,3.750
alpha_0p1_mut_0p045_rho_0p3,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0p3,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,outcome,partial_transposition,24,"302,304,308,310,311,314,321,326,329,339,340,344,348,349,364,366,369,371,372,377,378,380,383,399",0.000,0.000,0.000,0.000,not_reached,not_reached,not_reached,76.875,0.269,0.350,0.167,0.818,0.860,0.295,0.091,0.127,0.599,3.946
alpha_0p1_mut_0p045_rho_0p6,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0p6,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.600,all,all,100,"300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399",0.000,0.010,0.000,0.000,74.000,not_reached,49.000,63.472,0.301,0.311,0.164,0.827,0.841,0.189,0.084,0.157,0.601,4.012
