job_index,point,seed,parameter,parameter_value,is_baseline,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation
0,alpha_0p1_mut_0p045_rho_0,300,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
1,alpha_0p1_mut_0p045_rho_0,301,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
2,alpha_0p1_mut_0p045_rho_0,302,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
3,alpha_0p1_mut_0p045_rho_0,303,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
4,alpha_0p1_mut_0p045_rho_0,304,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
5,alpha_0p1_mut_0p045_rho_0,305,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
6,alpha_0p1_mut_0p045_rho_0,306,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
7,alpha_0p1_mut_0p045_rho_0,307,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
8,alpha_0p1_mut_0p045_rho_0,308,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
9,alpha_0p1_mut_0p045_rho_0,309,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
10,alpha_0p1_mut_0p045_rho_0,310,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
11,alpha_0p1_mut_0p045_rho_0,311,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
12,alpha_0p1_mut_0p045_rho_0,312,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
13,alpha_0p1_mut_0p045_rho_0,313,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
14,alpha_0p1_mut_0p045_rho_0,314,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
15,alpha_0p1_mut_0p045_rho_0,315,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
16,alpha_0p1_mut_0p045_rho_0,316,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
17,alpha_0p1_mut_0p045_rho_0,317,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
18,alpha_0p1_mut_0p045_rho_0,318,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
19,alpha_0p1_mut_0p045_rho_0,319,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
20,alpha_0p1_mut_0p045_rho_0,320,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
21,alpha_0p1_mut_0p045_rho_0,321,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
22,alpha_0p1_mut_0p045_rho_0,322,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
23,alpha_0p1_mut_0p045_rho_0,323,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
24,alpha_0p1_mut_0p045_rho_0,324,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
25,alpha_0p1_mut_0p045_rho_0,325,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
26,alpha_0p1_mut_0p045_rho_0,326,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
27,alpha_0p1_mut_0p045_rho_0,327,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
28,alpha_0p1_mut_0p045_rho_0,328,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
29,alpha_0p1_mut_0p045_rho_0,329,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
30,alpha_0p1_mut_0p045_rho_0,330,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
31,alpha_0p1_mut_0p045_rho_0,331,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
32,alpha_0p1_mut_0p045_rho_0,332,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
33,alpha_0p1_mut_0p045_rho_0,333,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
34,alpha_0p1_mut_0p045_rho_0,334,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
35,alpha_0p1_mut_0p045_rho_0,335,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
36,alpha_0p1_mut_0p045_rho_0,336,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.000
