point,parameter,parameter_value,is_baseline,generations,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation,seed,comparison_group,outcome,stable_vertical_gravity,reached_gravity,retained_vertical,collapsed,gravity_reach_generation,vertical_reach_generation,partial_tilt_generation,partial_transposition_generation,max_comb_tilt,max_comb_tilt_generation,max_min_transposition,max_min_transposition_generation,min_success,min_success_generation,final_directional_bias,final_attention,final_sender_transposition,final_receiver_transposition,final_min_transposition,final_transposition_gap,final_comb_tilt,final_success,final_payoff,elapsed_seconds
generations_240_alpha_0p1_mut_0p045_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,313,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,177,0.343,70,0.353,188,0.162,0,0.877,0.891,0.178,0.232,0.178,0.054,0.236,0.597,3.988,231.881
generations_240_alpha_0p1_mut_0p045_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,311,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,99,0.359,50,0.358,119,0.176,0,0.780,0.909,0.270,0.152,0.152,0.117,0.186,0.598,3.942,242.235
generations_240_alpha_0p1_mut_0p045_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,314,unsuccessful,partial_transposition,false,false,false,false,not_reached,not_reached,not_reached,86,0.231,136,0.446,221,0.165,0,0.843,0.821,0.263,0.505,0.263,0.241,0.075,0.580,3.844,245.939
generations_240_alpha_0p1_mut_0p045_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,309,unsuccessful,partial_transposition,false,false,false,false,not_reached,not_reached,not_reached,37,0.221,42,0.433,240,0.166,0,0.896,0.882,0.433,0.539,0.433,0.106,0.077,0.603,4.034,246.163
generations_240_alpha_0p1_mut_0p045_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,310,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,39,0.222,143,0.441,69,0.166,0,0.771,0.823,0.167,0.117,0.117,0.051,0.107,0.604,4.070,247.484
generations_240_alpha_0p1_mut_0p045_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,315,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,38,0.220,54,0.419,205,0.167,0,0.800,0.826,0.238,0.491,0.238,0.253,0.106,0.605,3.963,248.492
generations_240_alpha_0p1_mut_0p045_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,303,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,78,0.400,34,0.384,137,0.168,0,0.831,0.886,0.219,0.326,0.219,0.106,0.116,0.605,3.987,249.636
generations_240_alpha_0p1_mut_0p045_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,306,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,188,0.406,59,0.258,188,0.168,0,0.897,0.875,0.159,0.268,0.159,0.110,0.157,0.612,4.138,250.444
generations_240_alpha_0p1_mut_0p045_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,304,unsuccessful,partial_transposition,false,false,false,false,not_reached,not_reached,not_reached,53,0.275,104,0.378,131,0.165,0,0.856,0.930,0.284,0.449,0.284,0.165,0.084,0.608,4.160,251.537
generations_240_alpha_0p1_mut_0p045_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,301,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,59,0.338,49,0.289,75,0.155,0,0.917,0.887,0.148,0.212,0.148,0.064,0.140,0.603,4.165,252.657
generations_240_alpha_0p1_mut_0p045_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,312,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,142,0.219,39,0.327,162,0.158,0,0.870,0.866,0.210,0.148,0.148,0.062,0.139,0.618,4.154,253.978
generations_240_alpha_0p1_mut_0p045_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,308,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,120,0.310,179,0.296,123,0.173,0,0.831,0.917,0.217,0.232,0.217,0.015,0.127,0.617,4.223,257.275
generations_240_alpha_0p1_mut_0p045_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,300,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,not_reached,0.301,219,0.250,102,0.153,0,0.884,0.896,0.166,0.217,0.166,0.050,0.206,0.617,4.191,257.505
generations_240_alpha_0p1_mut_0p045_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,307,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,154,0.322,29,0.251,154,0.162,0,0.822,0.867,0.139,0.247,0.139,0.108,0.096,0.619,4.222,259.187
generations_240_alpha_0p1_mut_0p045_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,305,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,155,0.265,33,0.279,232,0.183,0,0.803,0.850,0.243,0.214,0.214,0.029,0.137,0.610,4.082,259.820
generations_240_alpha_0p1_mut_0p045_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,302,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,34,0.251,42,0.431,57,0.160,0,0.706,0.852,0.216,0.186,0.186,0.030,0.189,0.611,4.033,260.741
generations_240_alpha_0p1_mut_0p045_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,320,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,113,0.419,75,0.323,173,0.158,0,0.767,0.891,0.238,0.465,0.238,0.227,0.138,0.605,3.983,231.752
generations_240_alpha_0p1_mut_0p045_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,317,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,36,0.301,177,0.280,51,0.157,0,0.830,0.898,0.169,0.317,0.169,0.148,0.125,0.603,4.024,243.072
generations_240_alpha_0p1_mut_0p045_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,322,unsuccessful,partial_transposition,false,false,false,false,not_reached,not_reached,not_reached,36,0.316,229,0.472,177,0.161,0,0.743,0.780,0.282,0.262,0.262,0.021,0.232,0.586,3.811,238.456
generations_240_alpha_0p1_mut_0p045_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,316,unsuccessful,partial_transposition,false,false,false,false,not_reached,not_reached,not_reached,198,0.268,159,0.491,220,0.174,0,0.900,0.873,0.304,0.517,0.304,0.212,0.084,0.605,4.155,257.048
