point,parameter,parameter_value,is_baseline,generations,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation,group_kind,group,runs,seeds,stable_fraction,reached_gravity_fraction,retained_vertical_fraction,collapse_fraction,mean_gravity_reach_generation,mean_vertical_reach_generation,mean_partial_tilt_generation,mean_partial_transposition_generation,mean_max_comb_tilt,mean_max_min_transposition,mean_min_success,mean_final_directional_bias,mean_final_attention,mean_final_min_transposition,mean_final_transposition_gap,mean_final_comb_tilt,mean_final_success,mean_final_payoff
generations_240_alpha_0p1_mut_0p045_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,all,all,100,"300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399",0.000,0.040,0.000,0.000,135.750,not_reached,45.000,92.618,0.301,0.352,0.164,0.845,0.865,0.178,0.093,0.140,0.607,4.079
generations_240_alpha_0p1_mut_0p045_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,comparison,unsuccessful,100,"300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399",0.000,0.040,0.000,0.000,135.750,not_reached,45.000,92.618,0.301,0.352,0.164,0.845,0.865,0.178,0.093,0.140,0.607,4.079
generations_240_alpha_0p1_mut_0p045_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,outcome,flat,82,"300,301,302,303,305,306,307,308,310,311,312,313,315,317,319,320,321,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,349,351,352,354,355,356,359,360,361,362,363,364,365,366,367,368,369,370,371,372,374,376,377,378,379,380,381,382,383,384,385,386,387,389,390,391,392,393,394,396,397,398,399",0.000,0.000,0.000,0.000,not_reached,not_reached,not_reached,93.352,0.306,0.337,0.164,0.843,0.865,0.156,0.086,0.141,0.607,4.093
generations_240_alpha_0p1_mut_0p045_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,outcome,gravity_without_vertical,4,"323,348,375,395",0.000,1.000,0.000,0.000,135.750,not_reached,45.000,72.250,0.313,0.546,0.168,0.886,0.872,0.235,0.147,0.151,0.603,4.006
generations_240_alpha_0p1_mut_0p045_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,outcome,partial_transposition,14,"304,309,314,316,318,322,324,325,350,353,357,358,373,388",0.000,0.000,0.000,0.000,not_reached,not_reached,not_reached,94.714,0.269,0.386,0.162,0.843,0.860,0.290,0.118,0.130,0.602,4.018
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,all,all,100,"300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399",0.000,0.080,0.000,0.000,234.750,not_reached,45.000,113.140,0.311,0.396,0.164,0.841,0.862,0.175,0.099,0.146,0.604,4.054
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,comparison,unsuccessful,100,"300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399",0.000,0.080,0.000,0.000,234.750,not_reached,45.000,113.140,0.311,0.396,0.164,0.841,0.862,0.175,0.099,0.146,0.604,4.054
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,outcome,flat,81,"300,301,302,303,304,305,306,307,308,310,311,312,313,315,316,317,318,319,320,321,322,324,325,326,327,329,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,349,350,351,352,353,354,355,359,360,361,362,363,364,367,368,369,370,371,372,373,374,376,377,378,380,382,384,385,386,387,389,390,391,392,393,394,396,397,398,399",0.000,0.000,0.000,0.000,not_reached,not_reached,not_reached,112.802,0.313,0.380,0.164,0.841,0.861,0.157,0.102,0.152,0.605,4.063
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,outcome,gravity_without_vertical,8,"309,314,323,347,348,358,375,395",0.000,1.000,0.000,0.000,234.750,not_reached,45.000,105.500,0.284,0.537,0.165,0.849,0.872,0.173,0.089,0.131,0.605,4.071
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,outcome,partial_transposition,11,"328,330,331,356,357,365,366,379,381,383,388",0.000,0.000,0.000,0.000,not_reached,not_reached,not_reached,121.182,0.316,0.414,0.165,0.836,0.860,0.316,0.084,0.117,0.600,3.971
generations_960_alpha_0p1_mut_0p045_rho_0p3,generations,960,false,960,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,all,all,100,"300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399",0.000,0.100,0.000,0.000,304.500,not_reached,45.000,113.140,0.326,0.429,0.164,0.843,0.857,0.183,0.092,0.142,0.605,4.060
generations_960_alpha_0p1_mut_0p045_rho_0p3,generations,960,false,960,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,comparison,unsuccessful,100,"300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399",0.000,0.100,0.000,0.000,304.500,not_reached,45.000,113.140,0.326,0.429,0.164,0.843,0.857,0.183,0.092,0.142,0.605,4.060
generations_960_alpha_0p1_mut_0p045_rho_0p3,generations,960,false,960,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,outcome,flat,78,"300,303,304,305,306,307,308,310,312,313,315,316,317,318,319,320,321,322,324,326,328,330,331,333,335,336,337,338,339,340,341,342,343,344,345,350,351,353,354,355,356,357,359,360,361,362,363,364,365,366,367,368,369,370,371,372,376,377,378,379,380,381,383,384,385,386,387,388,389,390,391,392,393,394,396,397,398,399",0.000,0.000,0.000,0.000,not_reached,not_reached,not_reached,117.192,0.325,0.414,0.164,0.845,0.858,0.162,0.094,0.147,0.606,4.069
generations_960_alpha_0p1_mut_0p045_rho_0p3,generations,960,false,960,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,outcome,gravity_without_vertical,10,"301,309,314,323,329,347,348,358,375,395",0.000,1.000,0.000,0.000,304.500,not_reached,45.000,99.700,0.307,0.539,0.164,0.863,0.858,0.219,0.088,0.153,0.603,4.066
generations_960_alpha_0p1_mut_0p045_rho_0p3,generations,960,false,960,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,outcome,partial_transposition,12,"302,311,325,327,332,334,346,349,352,373,374,382",0.000,0.000,0.000,0.000,not_reached,not_reached,not_reached,98.000,0.350,0.432,0.163,0.815,0.850,0.289,0.082,0.107,0.601,3.995
