point,parameter,parameter_value,is_baseline,generations,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation,seed,comparison_group,outcome,stable_vertical_gravity,reached_gravity,retained_vertical,collapsed,gravity_reach_generation,vertical_reach_generation,partial_tilt_generation,partial_transposition_generation,max_comb_tilt,max_comb_tilt_generation,max_min_transposition,max_min_transposition_generation,min_success,min_success_generation,final_directional_bias,final_attention,final_sender_transposition,final_receiver_transposition,final_min_transposition,final_transposition_gap,final_comb_tilt,final_success,final_payoff,elapsed_seconds
generations_240_alpha_0p1_mut_0p075_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.075,0.300,306,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,29,0.396,234,0.327,148,0.168,0,0.798,0.677,0.254,0.208,0.208,0.046,0.239,0.566,3.561,238.816
generations_240_alpha_0p1_mut_0p075_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.075,0.300,315,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,128,0.377,40,0.331,216,0.167,0,0.855,0.861,0.159,0.187,0.159,0.028,0.183,0.588,3.886,239.545
generations_240_alpha_0p1_mut_0p075_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.075,0.300,308,unsuccessful,partial_transposition,false,false,false,false,not_reached,not_reached,not_reached,81,0.343,78,0.386,85,0.173,0,0.766,0.853,0.252,0.453,0.252,0.201,0.133,0.587,3.857,239.871
generations_240_alpha_0p1_mut_0p075_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.075,0.300,304,unsuccessful,partial_transposition,false,false,false,false,not_reached,not_reached,not_reached,19,0.325,36,0.391,189,0.165,0,0.803,0.843,0.292,0.316,0.292,0.023,0.245,0.567,3.747,240.513
generations_240_alpha_0p1_mut_0p075_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.075,0.300,302,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,27,0.315,130,0.407,40,0.160,0,0.820,0.829,0.219,0.331,0.219,0.112,0.176,0.597,3.974,240.713
generations_240_alpha_0p1_mut_0p075_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.075,0.300,300,unsuccessful,partial_transposition,false,false,false,false,not_reached,not_reached,25,19,0.688,35,0.369,126,0.153,0,0.820,0.825,0.288,0.332,0.288,0.045,0.113,0.583,3.886,241.588
generations_240_alpha_0p1_mut_0p075_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.075,0.300,309,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,26,0.274,238,0.373,33,0.166,0,0.812,0.794,0.309,0.125,0.125,0.184,0.248,0.561,3.650,241.760
generations_240_alpha_0p1_mut_0p075_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.075,0.300,312,unsuccessful,partial_transposition,false,false,false,false,not_reached,not_reached,23,26,0.524,23,0.411,43,0.158,0,0.778,0.836,0.345,0.330,0.330,0.014,0.130,0.573,3.725,243.805
generations_240_alpha_0p1_mut_0p075_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.075,0.300,310,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,17,0.476,43,0.353,175,0.166,0,0.813,0.777,0.156,0.257,0.156,0.102,0.166,0.589,3.843,244.173
generations_240_alpha_0p1_mut_0p075_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.075,0.300,313,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,29,0.309,240,0.447,169,0.162,0,0.768,0.801,0.230,0.213,0.213,0.017,0.309,0.572,3.686,244.687
generations_240_alpha_0p1_mut_0p075_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.075,0.300,311,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,22,0.390,67,0.444,66,0.176,0,0.767,0.733,0.219,0.247,0.219,0.028,0.210,0.577,3.708,245.058
generations_240_alpha_0p1_mut_0p075_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.075,0.300,303,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,27,0.371,39,0.302,164,0.168,0,0.878,0.833,0.113,0.171,0.113,0.058,0.216,0.596,3.978,245.264
generations_240_alpha_0p1_mut_0p075_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.075,0.300,314,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,65,0.305,29,0.351,195,0.165,0,0.756,0.855,0.276,0.188,0.188,0.088,0.135,0.590,3.923,246.444
generations_240_alpha_0p1_mut_0p075_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.075,0.300,301,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,28,0.266,105,0.347,80,0.155,0,0.864,0.894,0.094,0.303,0.094,0.209,0.106,0.592,3.964,248.067
