point,parameter,parameter_value,is_baseline,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation,seed,comparison_group,outcome,stable_vertical_gravity,reached_gravity,retained_vertical,collapsed,gravity_reach_generation,vertical_reach_generation,partial_tilt_generation,partial_transposition_generation,max_comb_tilt,max_comb_tilt_generation,max_min_transposition,max_min_transposition_generation,min_success,min_success_generation,final_directional_bias,final_attention,final_sender_transposition,final_receiver_transposition,final_min_transposition,final_transposition_gap,final_comb_tilt,final_success,final_payoff,elapsed_seconds
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,303,successful,success,true,true,true,false,35,52,17,8,0.908,83,0.908,98,0.168,0,0.784,0.773,0.829,0.829,0.829,0.000,0.837,0.560,5.259,113.909
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,312,successful,success,true,true,true,false,35,65,19,20,0.924,82,0.864,92,0.158,0,0.776,0.750,0.783,0.783,0.783,0.000,0.898,0.562,5.256,114.106
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,305,unsuccessful,gravity_without_vertical,false,true,false,false,46,43,18,37,0.916,60,0.897,60,0.183,0,0.598,0.805,0.834,0.834,0.834,0.000,0.786,0.568,5.083,114.123
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,300,successful,success,true,true,true,false,62,62,20,15,0.911,100,0.896,108,0.153,0,0.890,0.778,0.719,0.719,0.719,0.000,0.893,0.531,5.078,114.155
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,313,unsuccessful,partial_tilt,false,false,false,false,not_reached,61,22,13,0.803,61,0.418,117,0.162,0,0.623,0.720,0.305,0.305,0.305,0.000,0.573,0.521,4.077,114.147
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,310,successful,success,true,true,true,false,42,46,26,15,0.882,120,0.916,69,0.166,0,0.853,0.776,0.848,0.848,0.848,0.000,0.882,0.584,5.801,114.202
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,306,successful,success,true,true,true,false,34,37,32,24,0.926,77,0.903,77,0.168,0,0.740,0.778,0.829,0.829,0.829,0.000,0.851,0.577,5.524,114.396
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,314,successful,success,true,true,true,false,33,33,17,12,0.890,104,0.904,95,0.165,0,0.628,0.755,0.813,0.813,0.813,0.000,0.861,0.555,5.119,116.268
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,315,successful,success,true,true,true,false,64,56,42,61,0.881,98,0.901,92,0.167,0,0.710,0.764,0.794,0.794,0.794,0.000,0.864,0.547,5.197,117.340
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,308,successful,success,true,true,true,false,26,50,27,13,0.908,53,0.891,108,0.173,0,0.817,0.792,0.784,0.784,0.784,0.000,0.884,0.564,5.426,117.504
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,309,successful,success,true,true,true,false,66,82,21,40,0.914,90,0.901,109,0.166,0,0.723,0.762,0.853,0.853,0.853,0.000,0.871,0.566,5.445,117.743
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,302,unsuccessful,gravity_without_vertical,false,true,false,false,45,47,22,26,0.908,93,0.914,73,0.160,0,0.734,0.841,0.760,0.760,0.760,0.000,0.767,0.587,5.375,118.425
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,301,successful,success,true,true,true,false,61,65,13,21,0.905,114,0.897,120,0.155,0,0.836,0.797,0.897,0.897,0.897,0.000,0.890,0.588,5.966,118.454
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,304,successful,success,true,true,true,false,32,27,17,26,0.931,96,0.906,88,0.165,0,0.804,0.831,0.835,0.835,0.835,0.000,0.859,0.565,5.452,119.265
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,311,successful,success,true,true,true,false,31,30,16,14,0.920,98,0.895,94,0.176,0,0.786,0.849,0.880,0.880,0.880,0.000,0.908,0.574,5.684,120.377
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,307,successful,success,true,true,true,false,37,34,19,18,0.927,114,0.897,92,0.162,0,0.669,0.852,0.795,0.795,0.795,0.000,0.870,0.584,5.392,120.988
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,327,successful,success,true,true,true,false,32,44,18,9,0.903,69,0.894,96,0.164,0,0.821,0.865,0.832,0.832,0.832,0.000,0.874,0.574,5.605,108.327
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,330,successful,success,true,true,true,false,42,27,20,9,0.901,67,0.887,63,0.158,0,0.733,0.720,0.764,0.764,0.764,0.000,0.820,0.535,4.729,108.270
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,316,successful,success,true,true,true,false,88,106,16,53,0.887,110,0.841,120,0.174,0,0.824,0.854,0.841,0.841,0.841,0.000,0.862,0.565,5.472,116.424
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,317,successful,success,true,true,true,false,55,47,20,12,0.925,100,0.884,64,0.157,0,0.768,0.805,0.843,0.843,0.843,0.000,0.831,0.569,5.384,117.552
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,320,successful,success,true,true,true,false,24,29,18,16,0.918,67,0.894,69,0.158,0,0.853,0.794,0.856,0.856,0.856,0.000,0.868,0.586,5.654,117.960
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,323,successful,success,true,true,true,false,76,82,67,17,0.926,101,0.895,119,0.172,0,0.812,0.794,0.887,0.887,0.887,0.000,0.825,0.568,5.463,116.338
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,321,successful,success,true,true,true,false,61,63,44,47,0.906,99,0.911,77,0.177,0,0.684,0.910,0.833,0.833,0.833,0.000,0.846,0.565,5.421,118.881
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,318,successful,success,true,true,true,false,39,43,19,21,0.906,106,0.898,55,0.146,0,0.807,0.846,0.850,0.850,0.850,0.000,0.831,0.563,5.449,120.291
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,319,successful,success,true,true,true,false,60,64,35,14,0.921,112,0.907,92,0.182,0,0.773,0.853,0.808,0.808,0.808,0.000,0.863,0.568,5.314,120.464
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,326,successful,success,true,true,true,false,43,52,19,11,0.912,67,0.911,93,0.176,0,0.908,0.835,0.873,0.873,0.873,0.000,0.909,0.599,6.012,117.396
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,329,successful,success,true,true,true,false,60,63,27,36,0.886,101,0.875,107,0.165,0,0.860,0.679,0.846,0.846,0.846,0.000,0.807,0.553,5.185,115.884
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,331,unsuccessful,gravity_without_vertical,false,true,false,false,38,43,25,22,0.904,71,0.907,75,0.173,0,0.828,0.744,0.836,0.836,0.836,0.000,0.790,0.567,5.209,114.390
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,322,successful,success,true,true,true,false,24,28,23,11,0.909,102,0.924,61,0.161,0,0.797,0.858,0.861,0.861,0.861,0.000,0.848,0.567,5.466,121.189
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,324,unsuccessful,gravity_without_vertical,false,true,false,false,43,37,22,27,0.930,78,0.904,53,0.145,0,0.807,0.731,0.806,0.806,0.806,0.000,0.788,0.513,4.641,119.022
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,328,successful,success,true,true,true,false,68,65,49,37,0.920,97,0.906,100,0.168,0,0.792,0.732,0.781,0.781,0.781,0.000,0.869,0.575,5.376,119.170
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,325,successful,success,true,true,true,false,93,66,26,24,0.904,80,0.891,117,0.167,0,0.886,0.873,0.869,0.869,0.869,0.000,0.842,0.586,5.808,121.523
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,341,successful,success,true,true,true,false,60,45,18,17,0.895,115,0.874,107,0.168,0,0.610,0.724,0.697,0.697,0.697,0.000,0.845,0.525,4.598,110.423
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,336,successful,success,true,true,true,false,26,23,16,10,0.884,89,0.938,72,0.153,0,0.712,0.737,0.789,0.789,0.789,0.000,0.823,0.536,4.793,114.096
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,332,successful,success,true,true,true,false,36,37,20,18,0.900,63,0.894,68,0.166,0,0.772,0.728,0.786,0.786,0.786,0.000,0.819,0.540,4.992,120.353
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,333,successful,success,true,true,true,false,55,53,24,46,0.893,77,0.921,80,0.166,0,0.850,0.696,0.795,0.795,0.795,0.000,0.877,0.563,5.326,119.316
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,334,successful,success,true,true,true,false,49,60,40,21,0.908,93,0.909,101,0.164,0,0.783,0.747,0.888,0.888,0.888,0.000,0.871,0.590,5.740,118.253
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,339,successful,success,true,true,true,false,49,47,21,15,0.926,74,0.895,89,0.154,0,0.798,0.845,0.788,0.788,0.788,0.000,0.856,0.547,5.236,116.118
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,344,successful,success,true,true,true,false,48,45,23,32,0.922,96,0.908,116,0.161,0,0.786,0.844,0.888,0.888,0.888,0.000,0.873,0.569,5.583,115.097
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,337,unsuccessful,gravity_without_vertical,false,true,false,false,22,25,20,9,0.903,115,0.915,40,0.161,0,0.808,0.858,0.804,0.804,0.804,0.000,0.779,0.564,5.062,118.333
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,345,successful,success,true,true,true,false,85,91,78,10,0.888,111,0.891,105,0.173,0,0.776,0.739,0.830,0.830,0.830,0.000,0.858,0.570,5.420,115.275
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,335,successful,success,true,true,true,false,35,29,17,13,0.921,77,0.901,91,0.152,0,0.709,0.812,0.771,0.771,0.771,0.000,0.870,0.555,5.224,121.345
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,338,successful,success,true,true,true,false,44,46,19,31,0.903,84,0.912,67,0.164,0,0.809,0.855,0.851,0.851,0.851,0.000,0.880,0.569,5.598,120.392
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,346,successful,success,true,true,true,false,48,63,26,17,0.916,70,0.894,73,0.168,0,0.766,0.756,0.870,0.870,0.870,0.000,0.861,0.558,5.354,116.513
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,340,successful,success,true,true,true,false,49,68,42,17,0.915,107,0.917,114,0.169,0,0.762,0.857,0.839,0.839,0.839,0.000,0.839,0.545,5.157,120.071
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,342,successful,success,true,true,true,false,53,66,25,17,0.898,103,0.896,82,0.163,0,0.706,0.891,0.845,0.845,0.845,0.000,0.884,0.572,5.569,119.766
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,343,successful,success,true,true,true,false,30,35,21,18,0.935,85,0.898,68,0.154,0,0.862,0.755,0.788,0.788,0.788,0.000,0.898,0.563,5.387,120.638
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,347,successful,success,true,true,true,false,60,60,46,27,0.886,92,0.912,82,0.160,0,0.721,0.797,0.864,0.864,0.864,0.000,0.828,0.536,5.079,118.339
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,349,successful,success,true,true,true,false,55,64,23,17,0.915,67,0.895,80,0.156,0,0.686,0.775,0.786,0.786,0.786,0.000,0.854,0.549,5.104,114.479
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,352,successful,success,true,true,true,false,47,45,19,23,0.910,101,0.907,104,0.160,0,0.725,0.745,0.844,0.844,0.844,0.000,0.858,0.550,5.284,113.916
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,351,successful,success,true,true,true,false,43,35,29,37,0.907,64,0.882,98,0.147,0,0.806,0.769,0.870,0.870,0.870,0.000,0.852,0.585,5.749,114.634
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000,353,successful,success,true,true,true,false,34,32,13,13,0.893,113,0.912,117,0.158,0,0.825,0.742,0.865,0.865,0.865,0.000,0.856,0.585,5.580,114.481
