point,parameter,parameter_value,is_baseline,group_kind,group,generation,runs,mean_directional_bias,mean_receiver_attention,mean_sender_transposition,mean_receiver_transposition,mean_min_transposition,mean_transposition_gap,mean_comb_tilt,mean_success,mean_payoff
baseline,baseline,baseline,true,all,all,0,100,0.074,0.124,0.000,0.000,0.000,0.000,0.000,0.103,0.682
baseline,baseline,baseline,true,all,all,1,100,0.083,0.133,0.032,0.032,0.031,0.003,0.032,0.131,0.945
baseline,baseline,baseline,true,all,all,2,100,0.099,0.145,0.055,0.055,0.053,0.004,0.055,0.160,1.216
baseline,baseline,baseline,true,all,all,3,100,0.114,0.152,0.074,0.074,0.071,0.006,0.075,0.187,1.479
baseline,baseline,baseline,true,all,all,4,100,0.129,0.161,0.088,0.088,0.084,0.008,0.091,0.214,1.746
baseline,baseline,baseline,true,all,all,5,100,0.143,0.172,0.101,0.100,0.096,0.009,0.111,0.238,2.000
baseline,baseline,baseline,true,all,all,6,100,0.159,0.183,0.115,0.114,0.109,0.010,0.132,0.263,2.263
baseline,baseline,baseline,true,all,all,7,100,0.171,0.191,0.125,0.124,0.118,0.012,0.148,0.284,2.483
baseline,baseline,baseline,true,all,all,8,100,0.186,0.196,0.136,0.134,0.128,0.014,0.167,0.303,2.697
baseline,baseline,baseline,true,all,all,9,100,0.200,0.205,0.148,0.145,0.139,0.014,0.187,0.320,2.887
baseline,baseline,baseline,true,all,all,10,100,0.217,0.220,0.159,0.155,0.149,0.016,0.210,0.336,3.084
baseline,baseline,baseline,true,all,all,11,100,0.228,0.232,0.168,0.163,0.157,0.017,0.231,0.346,3.220
baseline,baseline,baseline,true,all,all,12,100,0.244,0.242,0.178,0.173,0.166,0.019,0.250,0.355,3.340
baseline,baseline,baseline,true,all,all,13,100,0.253,0.260,0.185,0.183,0.174,0.020,0.271,0.361,3.437
baseline,baseline,baseline,true,all,all,14,100,0.268,0.271,0.192,0.190,0.179,0.023,0.289,0.367,3.527
baseline,baseline,baseline,true,all,all,15,100,0.282,0.283,0.202,0.201,0.189,0.025,0.307,0.372,3.610
baseline,baseline,baseline,true,all,all,16,100,0.295,0.299,0.207,0.208,0.194,0.027,0.323,0.375,3.668
baseline,baseline,baseline,true,all,all,17,100,0.306,0.311,0.216,0.217,0.202,0.029,0.342,0.376,3.713
baseline,baseline,baseline,true,all,all,18,100,0.318,0.324,0.225,0.226,0.210,0.031,0.361,0.378,3.765
baseline,baseline,baseline,true,all,all,19,100,0.329,0.334,0.232,0.232,0.216,0.032,0.383,0.380,3.827
baseline,baseline,baseline,true,all,all,20,100,0.333,0.345,0.235,0.235,0.219,0.033,0.406,0.381,3.876
baseline,baseline,baseline,true,all,all,21,100,0.343,0.357,0.244,0.244,0.228,0.031,0.423,0.382,3.913
baseline,baseline,baseline,true,all,all,22,100,0.352,0.362,0.251,0.251,0.236,0.031,0.444,0.383,3.965
baseline,baseline,baseline,true,all,all,23,100,0.359,0.372,0.255,0.255,0.240,0.031,0.464,0.383,3.999
baseline,baseline,baseline,true,all,all,24,100,0.371,0.387,0.260,0.259,0.244,0.031,0.477,0.384,4.029
baseline,baseline,baseline,true,all,all,25,100,0.377,0.399,0.267,0.265,0.250,0.032,0.490,0.383,4.041
baseline,baseline,baseline,true,all,all,26,100,0.388,0.407,0.274,0.274,0.256,0.036,0.507,0.385,4.089
baseline,baseline,baseline,true,all,all,27,100,0.394,0.417,0.283,0.281,0.262,0.039,0.519,0.386,4.123
baseline,baseline,baseline,true,all,all,28,100,0.401,0.419,0.287,0.288,0.268,0.039,0.531,0.386,4.144
baseline,baseline,baseline,true,all,all,29,100,0.411,0.426,0.294,0.294,0.274,0.040,0.553,0.385,4.178
baseline,baseline,baseline,true,all,all,30,100,0.423,0.433,0.300,0.299,0.280,0.040,0.561,0.386,4.206
baseline,baseline,baseline,true,all,all,31,100,0.434,0.435,0.310,0.309,0.288,0.042,0.574,0.387,4.239
baseline,baseline,baseline,true,all,all,32,100,0.438,0.444,0.317,0.316,0.295,0.044,0.588,0.388,4.274
baseline,baseline,baseline,true,all,all,33,100,0.439,0.447,0.326,0.324,0.302,0.046,0.602,0.386,4.277
baseline,baseline,baseline,true,all,all,34,100,0.446,0.450,0.336,0.335,0.312,0.047,0.617,0.386,4.305
baseline,baseline,baseline,true,all,all,35,100,0.458,0.458,0.345,0.343,0.321,0.047,0.630,0.387,4.345
