point,parameter,parameter_value,is_baseline,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation,group_kind,group,runs,seeds,stable_fraction,reached_gravity_fraction,retained_vertical_fraction,collapse_fraction,mean_gravity_reach_generation,mean_vertical_reach_generation,mean_partial_tilt_generation,mean_partial_transposition_generation,mean_max_comb_tilt,mean_max_min_transposition,mean_min_success,mean_final_directional_bias,mean_final_attention,mean_final_min_transposition,mean_final_transposition_gap,mean_final_comb_tilt,mean_final_success,mean_final_payoff
baseline,baseline,baseline,true,7,0.220,14,1.000,0.580,7.500,0.020,0.080,0.900,all,all,100,"300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399",0.910,0.990,0.910,0.000,56.303,51.121,28.330,26.040,0.909,0.858,0.103,0.761,0.774,0.787,0.035,0.853,0.436,5.655
baseline,baseline,baseline,true,7,0.220,14,1.000,0.580,7.500,0.020,0.080,0.900,comparison,successful,91,"300,301,302,303,304,305,306,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,328,329,330,331,332,333,334,336,337,338,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,369,370,371,372,373,374,376,377,378,379,380,381,382,383,384,385,386,388,389,390,392,393,394,395,396,398,399",1.000,1.000,1.000,0.000,56.165,51.176,28.374,26.352,0.911,0.864,0.104,0.761,0.777,0.792,0.036,0.862,0.437,5.692
baseline,baseline,baseline,true,7,0.220,14,1.000,0.580,7.500,0.020,0.080,0.900,comparison,unsuccessful,9,"307,327,335,339,368,375,387,391,397",0.000,0.889,0.000,0.000,57.875,50.500,27.889,22.889,0.882,0.802,0.099,0.759,0.753,0.736,0.024,0.766,0.426,5.287
baseline,baseline,baseline,true,7,0.220,14,1.000,0.580,7.500,0.020,0.080,0.900,outcome,gravity_without_vertical,8,"307,327,335,339,368,387,391,397",0.000,1.000,0.000,0.000,57.875,50.500,26.875,20.125,0.905,0.861,0.099,0.774,0.780,0.796,0.024,0.778,0.430,5.389
baseline,baseline,baseline,true,7,0.220,14,1.000,0.580,7.500,0.020,0.080,0.900,outcome,partial_tilt,1,375,0.000,0.000,0.000,0.000,not_reached,not_reached,36.000,45.000,0.695,0.337,0.100,0.641,0.537,0.260,0.024,0.668,0.397,4.473
baseline,baseline,baseline,true,7,0.220,14,1.000,0.580,7.500,0.020,0.080,0.900,outcome,success,91,"300,301,302,303,304,305,306,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,328,329,330,331,332,333,334,336,337,338,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,369,370,371,372,373,374,376,377,378,379,380,381,382,383,384,385,386,388,389,390,392,393,394,395,396,398,399",1.000,1.000,1.000,0.000,56.165,51.176,28.374,26.352,0.911,0.864,0.104,0.761,0.777,0.792,0.036,0.862,0.437,5.692
vertical_comb_benefit_0p500,vertical_comb_benefit,0.500,false,7,0.220,14,1.000,0.500,7.500,0.020,0.080,0.900,all,all,100,"300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399",0.800,0.960,0.820,0.000,56.052,56.320,30.303,25.120,0.894,0.846,0.103,0.772,0.772,0.788,0.031,0.838,0.435,5.360
vertical_comb_benefit_0p500,vertical_comb_benefit,0.500,false,7,0.220,14,1.000,0.500,7.500,0.020,0.080,0.900,comparison,successful,80,"300,301,302,303,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,324,325,326,327,330,332,333,334,335,336,337,339,340,341,343,345,346,349,350,351,352,353,354,355,356,357,359,360,361,362,364,365,366,367,368,369,371,372,373,374,375,376,377,378,379,381,382,383,384,386,387,389,390,391,395,396,397,398,399",1.000,1.000,1.000,0.000,54.575,55.112,28.887,23.425,0.907,0.874,0.103,0.781,0.781,0.818,0.028,0.860,0.438,5.451
vertical_comb_benefit_0p500,vertical_comb_benefit,0.500,false,7,0.220,14,1.000,0.500,7.500,0.020,0.080,0.900,comparison,unsuccessful,20,"304,322,323,328,329,331,338,342,344,347,348,358,363,370,380,385,388,392,393,394",0.000,0.800,0.100,0.000,63.438,62.000,36.263,31.900,0.843,0.735,0.104,0.733,0.735,0.672,0.045,0.752,0.423,4.997
vertical_comb_benefit_0p500,vertical_comb_benefit,0.500,false,7,0.220,14,1.000,0.500,7.500,0.020,0.080,0.900,outcome,flat,1,331,0.000,0.000,0.000,0.000,not_reached,not_reached,not_reached,75.000,0.481,0.278,0.109,0.722,0.756,0.222,0.027,0.481,0.405,4.172
