point,parameter,parameter_value,is_baseline,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000
vertical_comb_benefit_0p520,vertical_comb_benefit,0.520,false,8,0.270,9,1.000,0.520,6.500,0.055,0.090,1.000
vertical_comb_benefit_0p560,vertical_comb_benefit,0.560,false,8,0.270,9,1.000,0.560,6.500,0.055,0.090,1.000
food_site_max_distance_5p500,food_site_max_distance,5.500,false,8,0.270,9,1.000,0.600,5.500,0.055,0.090,1.000
food_site_max_distance_6p000,food_site_max_distance,6.000,false,8,0.270,9,1.000,0.600,6.000,0.055,0.090,1.000
food_site_max_distance_7p000,food_site_max_distance,7.000,false,8,0.270,9,1.000,0.600,7.000,0.055,0.090,1.000
food_site_max_distance_7p500,food_site_max_distance,7.500,false,8,0.270,9,1.000,0.600,7.500,0.055,0.090,1.000
transposition_mutation_correlation_0p800,transposition_mutation_correlation,0.800,false,8,0.270,9,1.000,0.600,6.500,0.055,0.090,0.800
transposition_mutation_correlation_0p900,transposition_mutation_correlation,0.900,false,8,0.270,9,1.000,0.600,6.500,0.055,0.090,0.900
mutation_sd_0p060,mutation_sd,0.060,false,8,0.270,9,1.000,0.600,6.500,0.055,0.060,1.000
mutation_sd_0p080,mutation_sd,0.080,false,8,0.270,9,1.000,0.600,6.500,0.055,0.080,1.000
mutation_sd_0p100,mutation_sd,0.100,false,8,0.270,9,1.000,0.600,6.500,0.055,0.100,1.000
mutation_sd_0p120,mutation_sd,0.120,false,8,0.270,9,1.000,0.600,6.500,0.055,0.120,1.000
food_site_width_0p200,food_site_width,0.200,false,8,0.200,9,1.000,0.600,6.500,0.055,0.090,1.000
food_site_width_0p240,food_site_width,0.240,false,8,0.240,9,1.000,0.600,6.500,0.055,0.090,1.000
food_site_width_0p300,food_site_width,0.300,false,8,0.300,9,1.000,0.600,6.500,0.055,0.090,1.000
food_site_width_0p340,food_site_width,0.340,false,8,0.340,9,1.000,0.600,6.500,0.055,0.090,1.000
food_site_count_6,food_site_count,6,false,6,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000
food_site_count_7,food_site_count,7,false,7,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000
food_site_count_9,food_site_count,9,false,9,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000
food_site_count_10,food_site_count,10,false,10,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000
food_site_capacity_5,food_site_capacity,5,false,8,0.270,5,1.000,0.600,6.500,0.055,0.090,1.000
food_site_capacity_7,food_site_capacity,7,false,8,0.270,7,1.000,0.600,6.500,0.055,0.090,1.000
food_site_capacity_11,food_site_capacity,11,false,8,0.270,11,1.000,0.600,6.500,0.055,0.090,1.000
food_site_capacity_13,food_site_capacity,13,false,8,0.270,13,1.000,0.600,6.500,0.055,0.090,1.000
travel_cost_per_distance_0p040,travel_cost_per_distance,0.040,false,8,0.270,9,1.000,0.600,6.500,0.040,0.090,1.000
travel_cost_per_distance_0p050,travel_cost_per_distance,0.050,false,8,0.270,9,1.000,0.600,6.500,0.050,0.090,1.000
travel_cost_per_distance_0p060,travel_cost_per_distance,0.060,false,8,0.270,9,1.000,0.600,6.500,0.060,0.090,1.000
