number,state,value,seed,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation,stable,collapsed,progress,final_success,final_payoff,final_comb_tilt,final_sender_transposition,final_receiver_transposition,final_min_transposition
0,COMPLETE,0.217,100,4,0.250,15,1.000,0.420,6.500,0.040,0.130,0.400,false,false,0.273,0.391,2.091,0.244,0.136,0.144,0.136
0,COMPLETE,0.217,101,4,0.250,15,1.000,0.420,6.500,0.040,0.130,0.400,false,false,0.125,0.357,1.764,0.100,0.288,0.230,0.230
0,COMPLETE,0.217,102,4,0.250,15,1.000,0.420,6.500,0.040,0.130,0.400,false,false,0.272,0.366,1.824,0.218,0.272,0.204,0.204
0,COMPLETE,0.217,103,4,0.250,15,1.000,0.420,6.500,0.040,0.130,0.400,false,false,0.299,0.349,1.605,0.239,0.223,0.259,0.223
0,COMPLETE,0.217,104,4,0.250,15,1.000,0.420,6.500,0.040,0.130,0.400,false,false,0.149,0.349,1.599,0.119,0.278,0.340,0.278
0,COMPLETE,0.217,105,4,0.250,15,1.000,0.420,6.500,0.040,0.130,0.400,false,false,0.205,0.369,1.961,0.164,0.215,0.214,0.214
0,COMPLETE,0.217,106,4,0.250,15,1.000,0.420,6.500,0.040,0.130,0.400,false,false,0.238,0.357,1.762,0.190,0.232,0.311,0.232
0,COMPLETE,0.217,107,4,0.250,15,1.000,0.420,6.500,0.040,0.130,0.400,false,false,0.195,0.332,1.598,0.156,0.238,0.238,0.238
0,COMPLETE,0.217,108,4,0.250,15,1.000,0.420,6.500,0.040,0.130,0.400,false,false,0.192,0.362,1.891,0.154,0.250,0.359,0.250
0,COMPLETE,0.217,109,4,0.250,15,1.000,0.420,6.500,0.040,0.130,0.400,false,false,0.222,0.384,2.027,0.177,0.234,0.152,0.152
1,COMPLETE,2.817,100,9,0.440,7,1.000,0.320,6.500,0.045,0.090,1.000,false,false,0.613,0.749,8.083,0.681,0.306,0.306,0.306
1,COMPLETE,2.817,101,9,0.440,7,1.000,0.320,6.500,0.045,0.090,1.000,false,false,0.452,0.705,7.757,0.743,0.226,0.226,0.226
1,COMPLETE,2.817,102,9,0.440,7,1.000,0.320,6.500,0.045,0.090,1.000,false,false,0.394,0.724,7.897,0.732,0.197,0.197,0.197
1,COMPLETE,2.817,103,9,0.440,7,1.000,0.320,6.500,0.045,0.090,1.000,false,false,0.939,0.745,8.281,0.751,0.780,0.780,0.780
1,COMPLETE,2.817,104,9,0.440,7,1.000,0.320,6.500,0.045,0.090,1.000,true,false,1.000,0.739,8.466,0.902,0.635,0.635,0.635
1,COMPLETE,2.817,105,9,0.440,7,1.000,0.320,6.500,0.045,0.090,1.000,false,false,0.938,0.725,8.044,0.750,0.748,0.748,0.748
1,COMPLETE,2.817,106,9,0.440,7,1.000,0.320,6.500,0.045,0.090,1.000,false,false,0.972,0.752,8.464,0.778,0.792,0.792,0.792
1,COMPLETE,2.817,107,9,0.440,7,1.000,0.320,6.500,0.045,0.090,1.000,false,false,0.928,0.702,7.731,0.742,0.550,0.550,0.550
1,COMPLETE,2.817,108,9,0.440,7,1.000,0.320,6.500,0.045,0.090,1.000,false,false,0.939,0.773,8.672,0.751,0.734,0.734,0.734
1,COMPLETE,2.817,109,9,0.440,7,1.000,0.320,6.500,0.045,0.090,1.000,true,false,1.000,0.736,8.176,0.806,0.795,0.795,0.795
2,COMPLETE,0.191,100,3,0.220,12,1.000,0.220,7.000,0.025,0.080,0.600,false,false,0.190,0.294,1.613,0.152,0.315,0.234,0.234
2,COMPLETE,0.191,101,3,0.220,12,1.000,0.220,7.000,0.025,0.080,0.600,false,false,0.199,0.280,1.537,0.159,0.191,0.341,0.191
2,COMPLETE,0.191,102,3,0.220,12,1.000,0.220,7.000,0.025,0.080,0.600,false,false,0.250,0.284,1.578,0.200,0.192,0.192,0.192
2,COMPLETE,0.191,103,3,0.220,12,1.000,0.220,7.000,0.025,0.080,0.600,false,false,0.224,0.295,1.672,0.179,0.210,0.174,0.174
2,COMPLETE,0.191,104,3,0.220,12,1.000,0.220,7.000,0.025,0.080,0.600,false,false,0.207,0.298,1.743,0.166,0.162,0.181,0.162
2,COMPLETE,0.191,105,3,0.220,12,1.000,0.220,7.000,0.025,0.080,0.600,false,false,0.150,0.285,1.612,0.120,0.256,0.307,0.256
2,COMPLETE,0.191,106,3,0.220,12,1.000,0.220,7.000,0.025,0.080,0.600,false,false,0.187,0.287,1.601,0.150,0.201,0.355,0.201
