candidate,group_kind,group,generation,runs,mean_directional_bias,mean_receiver_attention,mean_sender_transposition,mean_receiver_transposition,mean_min_transposition,mean_transposition_gap,mean_comb_tilt,mean_success,mean_payoff
trial_196,all,all,0,40,0.075,0.123,0.000,0.000,0.000,0.000,0.000,0.096,0.333
trial_196,all,all,1,40,0.088,0.130,0.032,0.031,0.030,0.002,0.033,0.130,0.563
trial_196,all,all,2,40,0.098,0.138,0.053,0.051,0.050,0.004,0.056,0.157,0.767
trial_196,all,all,3,40,0.114,0.149,0.072,0.071,0.069,0.006,0.075,0.180,0.940
trial_196,all,all,4,40,0.131,0.162,0.089,0.091,0.086,0.008,0.096,0.206,1.146
trial_196,all,all,5,40,0.149,0.172,0.106,0.106,0.102,0.009,0.114,0.231,1.339
trial_196,all,all,6,40,0.162,0.178,0.118,0.120,0.112,0.014,0.131,0.254,1.532
trial_196,all,all,7,40,0.176,0.189,0.132,0.134,0.126,0.014,0.151,0.275,1.705
trial_196,all,all,8,40,0.190,0.203,0.147,0.150,0.141,0.015,0.166,0.294,1.859
trial_196,all,all,9,40,0.204,0.213,0.162,0.163,0.154,0.016,0.184,0.309,1.996
trial_196,all,all,10,40,0.209,0.224,0.174,0.176,0.166,0.018,0.200,0.319,2.081
trial_196,all,all,11,40,0.224,0.236,0.183,0.186,0.174,0.020,0.217,0.329,2.171
trial_196,all,all,12,40,0.231,0.253,0.194,0.197,0.184,0.024,0.238,0.336,2.257
trial_196,all,all,13,40,0.240,0.265,0.206,0.210,0.195,0.025,0.257,0.340,2.307
trial_196,all,all,14,40,0.253,0.286,0.208,0.210,0.198,0.022,0.268,0.345,2.368
trial_196,all,all,15,40,0.270,0.284,0.214,0.217,0.205,0.020,0.289,0.347,2.394
trial_196,all,all,16,40,0.277,0.297,0.220,0.223,0.210,0.023,0.307,0.349,2.436
trial_196,all,all,17,40,0.286,0.308,0.222,0.223,0.211,0.022,0.331,0.352,2.482
trial_196,all,all,18,40,0.298,0.322,0.224,0.225,0.213,0.023,0.349,0.355,2.532
