candidate,group_kind,group,runs,seeds,stable_fraction,reached_gravity_fraction,retained_vertical_fraction,collapse_fraction,mean_gravity_reach_generation,mean_vertical_reach_generation,mean_partial_tilt_generation,mean_partial_transposition_generation,mean_max_comb_tilt,mean_max_min_transposition,mean_min_success,mean_final_directional_bias,mean_final_attention,mean_final_min_transposition,mean_final_transposition_gap,mean_final_comb_tilt,mean_final_success,mean_final_payoff
trial_196,all,all,40,"110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149",0.925,0.950,0.925,0.000,55.974,59.474,34.513,24.450,0.890,0.855,0.096,0.805,0.782,0.795,0.021,0.835,0.408,3.972
trial_196,comparison,successful,37,"110,111,112,113,114,115,116,117,118,119,121,122,123,124,125,126,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149",1.000,1.000,1.000,0.000,56.027,59.757,33.811,24.459,0.910,0.882,0.096,0.802,0.777,0.825,0.021,0.862,0.408,4.014
trial_196,comparison,unsuccessful,3,"120,127,128",0.000,0.333,0.000,0.000,54.000,49.000,47.500,24.333,0.649,0.524,0.096,0.842,0.833,0.433,0.018,0.505,0.409,3.450
trial_196,outcome,flat,2,"127,128",0.000,0.000,0.000,0.000,not_reached,not_reached,74.000,18.000,0.511,0.337,0.092,0.846,0.831,0.215,0.027,0.370,0.407,3.173
trial_196,outcome,gravity_without_vertical,1,120,0.000,1.000,0.000,0.000,54.000,49.000,21.000,37.000,0.923,0.897,0.104,0.833,0.838,0.869,0.001,0.776,0.414,4.005
trial_196,outcome,success,37,"110,111,112,113,114,115,116,117,118,119,121,122,123,124,125,126,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149",1.000,1.000,1.000,0.000,56.027,59.757,33.811,24.459,0.910,0.882,0.096,0.802,0.777,0.825,0.021,0.862,0.408,4.014
trial_318,all,all,40,"110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149",0.950,1.000,0.950,0.000,59.375,54.850,29.175,28.250,0.907,0.872,0.103,0.786,0.786,0.819,0.024,0.855,0.439,5.713
trial_318,comparison,successful,38,"110,111,112,113,114,115,116,117,118,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,145,146,147,148,149",1.000,1.000,1.000,0.000,58.895,55.632,29.158,27.316,0.907,0.871,0.103,0.788,0.783,0.819,0.024,0.859,0.439,5.726
trial_318,comparison,unsuccessful,2,"119,144",0.000,1.000,0.000,0.000,68.500,40.000,29.500,46.000,0.906,0.897,0.103,0.750,0.842,0.821,0.024,0.778,0.434,5.452
trial_318,outcome,gravity_without_vertical,2,"119,144",0.000,1.000,0.000,0.000,68.500,40.000,29.500,46.000,0.906,0.897,0.103,0.750,0.842,0.821,0.024,0.778,0.434,5.452
trial_318,outcome,success,38,"110,111,112,113,114,115,116,117,118,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,145,146,147,148,149",1.000,1.000,1.000,0.000,58.895,55.632,29.158,27.316,0.907,0.871,0.103,0.788,0.783,0.819,0.024,0.859,0.439,5.726
trial_45,all,all,40,"110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149",0.675,0.900,0.675,0.000,48.778,59.343,33.231,19.650,0.843,0.831,0.138,0.768,0.750,0.763,0.000,0.778,0.504,4.354
trial_45,comparison,successful,27,"110,111,112,113,114,116,117,118,119,121,122,123,124,125,126,127,128,129,135,136,138,139,140,143,145,146,149",1.000,1.000,1.000,0.000,46.074,58.259,28.704,18.037,0.886,0.885,0.138,0.765,0.763,0.829,0.000,0.843,0.508,4.517
trial_45,comparison,unsuccessful,13,"115,120,130,131,132,133,134,137,141,142,144,147,148",0.000,0.692,0.000,0.000,56.889,63.000,43.417,23.000,0.753,0.718,0.137,0.774,0.724,0.624,0.000,0.644,0.495,4.016
trial_45,outcome,flat,2,"115,120",0.000,0.000,0.000,0.000,not_reached,not_reached,23.000,43.000,0.484,0.411,0.141,0.846,0.829,0.223,0.000,0.314,0.527,3.905
trial_45,outcome,gravity_without_vertical,9,"130,131,132,133,134,137,141,144,148",0.000,1.000,0.000,0.000,56.889,63.000,40.333,18.556,0.855,0.857,0.137,0.759,0.712,0.772,0.000,0.754,0.490,4.121
trial_45,outcome,partial_tilt,1,142,0.000,0.000,0.000,0.000,not_reached,not_reached,120.000,35.000,0.566,0.408,0.144,0.798,0.676,0.408,0.000,0.566,0.469,3.558
trial_45,outcome,partial_transposition,1,147,0.000,0.000,0.000,0.000,not_reached,not_reached,15.000,11.000,0.558,0.390,0.124,0.739,0.670,0.311,0.000,0.390,0.507,3.750
