number,state,value,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation,stable_count,seed_count,collapse_count,mean_progress,mean_final_success,mean_final_payoff,mean_final_comb_tilt,mean_final_min_transposition,elapsed_seconds
0,COMPLETE,1.352,4,0.250,15,1.000,0.420,6.500,0.040,0.130,0.400,1,10,0,0.352,0.371,1.965,0.290,0.305,925.129
1,COMPLETE,5.979,10,0.270,14,1.000,0.320,5.000,0.045,0.090,0.600,5,10,0,0.979,0.613,6.390,0.812,0.691,1169.692
2,COMPLETE,4.569,4,0.410,10,1.000,0.580,7.500,0.020,0.070,0.700,4,10,0,0.569,0.549,6.702,0.509,0.422,1063.153
3,COMPLETE,1.551,9,0.240,4,1.000,0.220,8.500,0.020,0.060,0.000,1,10,0,0.551,0.450,4.438,0.551,0.305,909.313
4,COMPLETE,4.640,6,0.450,13,1.000,0.300,5.500,0.035,0.090,0.200,4,10,0,0.640,0.691,7.462,0.524,0.494,1243.127
5,COMPLETE,0.186,3,0.420,16,1.000,0.320,8.500,0.040,0.120,0.300,0,10,0,0.186,0.471,3.129,0.148,0.202,1023.080
6,COMPLETE,0.169,4,0.290,16,1.000,0.140,6.500,0.060,0.060,1.000,0,10,0,0.169,0.465,1.878,0.136,0.212,1054.308
7,COMPLETE,1.934,6,0.360,6,1.000,0.400,8.000,0.020,0.130,1.000,1,10,0,0.934,0.503,6.070,0.750,0.701,1053.629
8,COMPLETE,0.260,10,0.220,14,1.000,0.120,4.500,0.045,0.060,0.600,0,10,0,0.260,0.567,4.652,0.228,0.219,1121.926
9,COMPLETE,5.939,10,0.240,10,1.000,0.460,6.500,0.025,0.100,0.400,5,10,0,0.939,0.552,6.961,0.817,0.645,1126.531
10,COMPLETE,6.937,5,0.360,16,1.000,0.460,9.000,0.020,0.130,0.700,6,10,0,0.937,0.458,5.553,0.772,0.691,1019.234
11,COMPLETE,0.176,3,0.220,12,1.000,0.220,7.000,0.025,0.080,0.600,0,10,0,0.176,0.290,1.645,0.141,0.177,780.782
12,COMPLETE,4.958,9,0.440,7,1.000,0.320,6.500,0.045,0.090,1.000,4,10,0,0.958,0.724,8.092,0.779,0.660,1325.532
13,COMPLETE,2.439,7,0.320,13,1.000,0.360,6.500,0.035,0.050,0.500,2,10,0,0.439,0.622,6.111,0.417,0.251,1104.679
14,COMPLETE,6.954,10,0.420,7,1.000,0.460,7.000,0.020,0.080,0.900,6,10,0,0.954,0.756,10.999,0.834,0.689,1328.325
15,COMPLETE,3.914,9,0.430,14,1.000,0.540,7.000,0.015,0.130,0.200,3,10,0,0.914,0.697,10.685,0.787,0.631,1293.649
16,COMPLETE,2.760,9,0.320,5,1.000,0.120,5.500,0.020,0.080,0.500,2,10,0,0.760,0.628,6.861,0.645,0.549,1133.359
17,COMPLETE,0.226,5,0.240,8,1.000,0.260,8.500,0.040,0.110,0.700,0,10,0,0.226,0.366,1.613,0.180,0.204,963.229
18,COMPLETE,0.276,8,0.240,12,1.000,0.380,9.000,0.030,0.050,0.500,0,10,0,0.276,0.482,3.935,0.240,0.196,1004.615
19,COMPLETE,3.504,8,0.210,11,1.000,0.300,6.000,0.060,0.140,0.800,3,10,0,0.504,0.444,2.006,0.406,0.409,1151.160
20,COMPLETE,3.928,9,0.300,11,1.000,0.260,5.500,0.045,0.100,0.200,3,10,0,0.928,0.615,6.058,0.756,0.666,1238.975
21,COMPLETE,9.999,6,0.260,12,1.000,0.480,5.000,0.015,0.120,0.200,9,10,0,0.999,0.450,6.216,0.829,0.685,995.204
22,COMPLETE,0.328,7,0.390,7,1.000,0.300,5.500,0.055,0.040,0.400,0,10,0,0.328,0.680,5.841,0.328,0.220,1148.659
23,COMPLETE,2.487,6,0.230,16,1.000,0.560,6.500,0.025,0.050,0.100,2,10,0,0.487,0.439,4.454,0.501,0.272,881.896
24,COMPLETE,5.643,9,0.400,13,1.000,0.220,8.500,0.050,0.080,0.200,5,10,0,0.643,0.685,6.073,0.544,0.529,1352.496
25,COMPLETE,0.201,4,0.330,15,1.000,0.340,8.000,0.045,0.080,1.000,0,10,0,0.201,0.481,2.861,0.161,0.199,1080.225
26,COMPLETE,1.298,4,0.300,16,1.000,0.160,8.500,0.030,0.110,0.300,1,10,0,0.298,0.393,2.673,0.251,0.253,950.078
27,COMPLETE,7.991,10,0.250,13,1.000,0.560,8.500,0.035,0.100,0.600,7,10,0,0.991,0.522,5.881,0.828,0.765,1155.368
28,COMPLETE,0.254,6,0.270,5,1.000,0.180,8.500,0.020,0.050,0.800,0,10,0,0.254,0.429,3.792,0.242,0.188,927.212
29,COMPLETE,8.966,9,0.420,8,1.000,0.560,6.500,0.035,0.090,0.800,8,10,0,0.966,0.736,10.240,0.824,0.699,1310.445
30,COMPLETE,0.282,6,0.450,5,1.000,0.200,9.000,0.050,0.060,0.500,0,10,0,0.282,0.569,3.757,0.256,0.202,1103.109
31,COMPLETE,0.245,3,0.290,13,1.000,0.540,6.000,0.020,0.070,0.400,0,10,0,0.245,0.383,3.507,0.197,0.185,902.191
32,COMPLETE,0.194,6,0.210,15,1.000,0.240,9.000,0.035,0.060,0.300,0,10,0,0.194,0.377,1.989,0.156,0.174,977.712
33,COMPLETE,2.377,5,0.230,11,1.000,0.420,7.000,0.035,0.090,0.400,2,10,0,0.377,0.397,2.629,0.315,0.320,994.266
34,COMPLETE,0.181,3,0.330,11,1.000,0.260,9.000,0.020,0.060,0.500,0,10,0,0.181,0.401,3.392,0.155,0.156,878.314
35,COMPLETE,2.494,6,0.330,8,1.000,0.380,6.000,0.030,0.050,0.700,2,10,0,0.494,0.565,5.806,0.478,0.332,1066.439
36,COMPLETE,1.233,3,0.200,16,1.000,0.500,8.000,0.040,0.120,0.700,1,10,0,0.233,0.250,0.182,0.199,0.269,705.740
37,COMPLETE,7.945,10,0.260,16,1.000,0.460,9.000,0.040,0.090,1.000,7,10,0,0.945,0.541,5.317,0.790,0.787,1184.385
38,COMPLETE,3.597,9,0.420,6,1.000,0.220,7.000,0.045,0.050,0.600,3,10,0,0.597,0.722,7.186,0.713,0.391,1214.656
39,COMPLETE,1.918,10,0.350,8,1.000,0.400,7.500,0.015,0.140,0.300,1,10,0,0.918,0.638,8.742,0.751,0.539,1257.569
40,COMPLETE,1.343,5,0.220,14,1.000,0.560,8.500,0.025,0.090,0.700,1,10,0,0.343,0.347,2.608,0.281,0.271,922.796
41,COMPLETE,7.865,7,0.280,13,1.000,0.580,4.500,0.015,0.060,0.700,7,10,0,0.865,0.540,8.323,0.856,0.642,998.512
42,COMPLETE,1.309,9,0.200,13,1.000,0.140,8.000,0.045,0.070,0.800,1,10,0,0.309,0.477,2.752,0.255,0.248,1120.025
43,COMPLETE,5.959,8,0.300,5,1.000,0.240,7.000,0.060,0.120,0.700,5,10,0,0.959,0.533,3.370,0.779,0.719,1123.014
44,COMPLETE,0.205,3,0.450,4,1.000,0.100,5.500,0.055,0.040,0.100,0,10,0,0.205,0.415,1.944,0.166,0.217,866.373
45,COMPLETE,11.000,9,0.220,10,1.000,0.460,7.000,0.045,0.100,1.000,10,10,0,1.000,0.506,4.510,0.845,0.829,1182.599
46,COMPLETE,0.151,4,0.240,6,1.000,0.120,7.000,0.045,0.050,0.200,0,10,0,0.151,0.369,1.267,0.121,0.219,926.592
47,COMPLETE,0.190,9,0.180,16,1.000,0.300,7.000,0.060,0.060,0.100,0,10,0,0.190,0.462,1.700,0.155,0.183,1182.920
48,COMPLETE,1.557,9,0.350,4,1.000,0.200,5.500,0.025,0.040,0.300,1,10,0,0.557,0.649,7.281,0.656,0.315,1111.749
49,COMPLETE,2.391,5,0.230,14,1.000,0.560,7.500,0.035,0.080,1.000,2,10,0,0.391,0.390,2.597,0.344,0.318,978.954
50,COMPLETE,4.639,7,0.260,14,1.000,0.340,7.500,0.030,0.080,0.200,4,10,0,0.639,0.495,4.610,0.542,0.467,1081.250
51,COMPLETE,5.977,8,0.400,8,1.000,0.340,6.000,0.040,0.140,1.000,5,10,0,0.977,0.667,7.525,0.787,0.651,1276.604
52,COMPLETE,0.852,10,0.400,8,1.000,0.300,4.500,0.035,0.140,0.800,0,10,0,0.852,0.740,8.907,0.698,0.610,1347.863
53,COMPLETE,0.244,5,0.200,9,1.000,0.160,8.500,0.020,0.090,0.400,0,10,0,0.244,0.314,2.282,0.197,0.221,857.797
54,COMPLETE,2.385,4,0.290,7,1.000,0.280,5.500,0.040,0.110,0.800,2,10,0,0.385,0.421,2.779,0.324,0.307,1006.937
55,COMPLETE,0.540,4,0.450,5,1.000,0.120,6.500,0.045,0.130,0.700,0,10,0,0.540,0.469,3.094,0.444,0.451,1029.432
56,COMPLETE,0.140,4,0.360,9,1.000,0.160,5.000,0.060,0.040,0.400,0,10,0,0.140,0.578,3.903,0.119,0.133,1087.436
57,COMPLETE,1.763,9,0.420,6,1.000,0.220,8.500,0.025,0.110,0.100,1,10,0,0.763,0.643,7.170,0.716,0.433,1256.453
58,COMPLETE,1.443,10,0.230,10,1.000,0.160,6.000,0.025,0.050,0.900,1,10,0,0.443,0.570,5.661,0.456,0.289,1110.692
59,COMPLETE,0.229,6,0.210,13,1.000,0.560,7.500,0.035,0.060,0.700,0,10,0,0.229,0.413,2.684,0.200,0.181,1012.855
60,COMPLETE,2.566,5,0.450,15,1.000,0.240,4.500,0.025,0.080,0.700,2,10,0,0.566,0.669,7.481,0.466,0.473,1253.210
61,COMPLETE,1.565,8,0.430,8,1.000,0.120,8.000,0.020,0.070,0.100,1,10,0,0.565,0.663,7.129,0.520,0.352,1255.410
62,COMPLETE,0.305,7,0.340,12,1.000,0.200,7.000,0.015,0.040,0.600,0,10,0,0.305,0.635,6.939,0.299,0.235,1073.600
63,COMPLETE,5.672,9,0.180,12,1.000,0.480,5.500,0.045,0.070,0.600,5,10,0,0.672,0.461,3.577,0.585,0.492,1062.213
64,COMPLETE,2.681,10,0.300,5,1.000,0.600,4.500,0.030,0.050,0.600,2,10,0,0.681,0.633,9.327,0.874,0.365,1090.159
65,COMPLETE,4.696,9,0.390,7,1.000,0.420,9.000,0.025,0.050,0.600,4,10,0,0.696,0.628,7.858,0.777,0.420,1116.749
66,COMPLETE,2.846,4,0.260,5,1.000,0.240,7.000,0.010,0.110,0.500,2,10,0,0.846,0.322,3.575,0.683,0.567,820.774
67,COMPLETE,2.441,6,0.360,11,1.000,0.400,7.500,0.030,0.050,0.300,2,10,0,0.441,0.602,6.153,0.446,0.296,1093.292
68,COMPLETE,1.313,6,0.280,14,1.000,0.120,7.500,0.040,0.090,0.900,1,10,0,0.313,0.490,3.376,0.253,0.267,1128.078
69,COMPLETE,1.435,9,0.200,9,1.000,0.380,5.000,0.055,0.040,0.700,1,10,0,0.435,0.491,3.480,0.439,0.278,972.619
70,COMPLETE,2.597,7,0.310,7,1.000,0.360,7.000,0.035,0.060,0.400,2,10,0,0.597,0.559,5.369,0.583,0.362,1062.794
71,COMPLETE,3.467,3,0.420,16,1.000,0.340,6.500,0.030,0.100,0.000,3,10,0,0.467,0.514,4.791,0.399,0.380,1084.193
72,COMPLETE,1.583,7,0.370,4,1.000,0.120,5.000,0.060,0.070,0.500,1,10,0,0.583,0.578,4.175,0.554,0.446,1044.918
73,COMPLETE,0.213,7,0.190,12,1.000,0.180,5.000,0.060,0.110,0.400,0,10,0,0.213,0.389,1.574,0.171,0.200,1034.058
74,COMPLETE,0.165,3,0.250,13,1.000,0.100,8.500,0.025,0.060,0.000,0,10,0,0.165,0.310,1.788,0.132,0.149,794.442
