initial_comb_tilt,vertical_comb_benefit,vertical_comb_modifier,seed,outcome,reached_gravity,retained_vertical,collapsed,recovered_from_collapse,gravity_reach_generation,partial_transposition_generation,directional_reach_generation,vertical_reach_generation,vertical_loss_generation,last_below_vertical_generation,vertical_below_generations,recovered_vertical_after_loss,tilt_below_half_generation,tilt_below_quarter_generation,min_success,min_success_generation,final_success,final_payoff,final_comb_tilt,final_min_transposition,final_transposition_gap,tilt_at_gravity_reach,success_at_gravity_reach,gap_at_gravity_reach,max_min_transposition_while_vertical,max_min_transposition_while_vertical_generation,tilt_at_max_min_transposition_while_vertical,success_at_max_min_transposition_while_vertical,gravity_before_vertical_loss
1.000,0.050,linear,101,flat_recovered_collapse,false,false,true,true,not_reached,99,11,0,20,120,101,false,24,31,0.016,3,0.188,0.665,0.090,0.171,0.083,not_reached,not_reached,not_reached,0.158,15,0.869,0.086,false
1.000,0.050,linear,102,flat,false,false,false,false,not_reached,19,18,0,13,120,106,false,24,29,0.024,1,0.201,0.782,0.205,0.168,0.026,not_reached,not_reached,not_reached,0.129,16,0.804,0.032,false
1.000,0.050,linear,103,success,true,true,false,false,29,27,15,0,24,30,7,true,not_reached,not_reached,0.027,2,0.191,0.696,0.907,0.867,0.029,0.752,0.167,0.056,0.943,94,0.909,0.192,false
1.000,0.050,linear,104,flat,false,false,false,false,not_reached,96,8,0,15,120,106,false,21,29,0.025,0,0.184,0.622,0.106,0.161,0.061,not_reached,not_reached,not_reached,0.113,8,0.965,0.062,false
1.000,0.050,linear,105,flat,false,false,false,false,not_reached,not_reached,25,0,18,120,103,false,24,33,0.026,0,0.199,0.723,0.155,0.160,0.018,not_reached,not_reached,not_reached,0.211,10,0.891,0.046,false
1.000,0.050,linear,106,flat,false,false,false,false,not_reached,42,24,0,11,120,108,false,20,27,0.026,2,0.193,0.698,0.111,0.164,0.229,not_reached,not_reached,not_reached,0.066,7,0.881,0.068,false
1.000,0.050,linear,107,flat,false,false,false,false,not_reached,60,13,0,19,120,100,false,25,28,0.024,1,0.199,0.766,0.110,0.228,0.020,not_reached,not_reached,not_reached,0.242,12,0.903,0.044,false
1.000,0.050,linear,108,flat,false,false,false,false,not_reached,24,11,0,10,120,111,false,13,16,0.026,0,0.195,0.725,0.114,0.285,0.020,not_reached,not_reached,not_reached,0.208,8,0.819,0.073,false
1.000,0.050,linear,109,flat,false,false,false,false,not_reached,76,18,0,12,120,108,false,19,27,0.024,0,0.196,0.758,0.130,0.162,0.006,not_reached,not_reached,not_reached,0.152,15,0.834,0.124,false
1.000,0.050,linear,110,success,true,true,false,false,20,14,17,0,not_reached,not_reached,0,false,not_reached,not_reached,0.022,6,0.193,0.741,0.860,0.909,0.017,0.969,0.080,0.230,0.936,72,0.871,0.190,true
1.000,0.100,linear,101,flat_recovered_collapse,false,false,true,true,not_reached,not_reached,10,0,13,120,98,false,28,34,0.016,3,0.208,0.876,0.101,0.161,0.029,not_reached,not_reached,not_reached,0.184,12,0.809,0.065,false
1.000,0.100,linear,102,flat,false,false,false,false,not_reached,74,10,0,6,120,112,false,16,21,0.024,1,0.206,0.823,0.131,0.204,0.151,not_reached,not_reached,not_reached,0.139,10,0.916,0.110,false
1.000,0.100,linear,103,flat,false,false,false,false,not_reached,22,14,0,19,120,100,false,27,37,0.027,1,0.196,0.752,0.186,0.123,0.038,not_reached,not_reached,not_reached,0.248,16,0.961,0.059,false
1.000,0.100,linear,104,flat,false,false,false,false,not_reached,34,11,0,19,120,102,false,23,28,0.025,0,0.179,0.593,0.109,0.112,0.120,not_reached,not_reached,not_reached,0.079,18,0.827,0.116,false
1.000,0.100,linear,105,flat,false,false,false,false,not_reached,88,9,0,10,120,111,false,14,28,0.026,0,0.209,0.880,0.098,0.141,0.053,not_reached,not_reached,not_reached,0.103,6,0.900,0.050,false
1.000,0.100,linear,106,success,true,true,false,false,35,25,10,0,15,36,12,true,not_reached,not_reached,0.026,2,0.200,0.789,0.911,0.898,0.006,0.803,0.165,0.034,0.937,92,0.898,0.203,false
1.000,0.100,linear,107,success,true,true,false,false,18,13,15,0,not_reached,not_reached,0,false,not_reached,not_reached,0.024,1,0.188,0.752,0.832,0.896,0.005,0.893,0.101,0.071,0.938,69,0.904,0.194,true
1.000,0.100,linear,108,flat,false,false,false,false,not_reached,96,8,0,8,120,113,false,11,14,0.026,0,0.187,0.680,0.092,0.134,0.069,not_reached,not_reached,not_reached,0.142,6,0.848,0.031,false
1.000,0.100,linear,109,flat,false,false,false,false,not_reached,not_reached,14,0,10,120,110,false,18,23,0.024,0,0.196,0.740,0.109,0.100,0.043,not_reached,not_reached,not_reached,0.122,8,0.849,0.079,false
1.000,0.100,linear,110,flat,false,false,false,false,not_reached,not_reached,18,0,11,120,102,false,24,28,0.022,6,0.203,0.804,0.168,0.219,0.018,not_reached,not_reached,not_reached,0.147,10,0.807,0.067,false
1.000,0.150,linear,101,flat_recovered_collapse,false,false,true,true,not_reached,16,13,0,17,120,104,false,22,28,0.014,3,0.206,0.835,0.138,0.197,0.011,not_reached,not_reached,not_reached,0.311,16,0.816,0.112,false
1.000,0.150,linear,102,flat,false,false,false,false,not_reached,13,32,0,20,120,100,false,29,33,0.024,1,0.197,0.783,0.102,0.191,0.018,not_reached,not_reached,not_reached,0.352,16,0.863,0.046,false
1.000,0.150,linear,103,success,true,true,false,false,22,6,5,0,not_reached,not_reached,0,false,not_reached,not_reached,0.028,0,0.193,0.753,0.894,0.890,0.020,0.837,0.130,0.145,0.935,82,0.891,0.195,true
1.000,0.150,linear,104,flat,false,false,false,false,not_reached,16,7,0,18,120,103,false,24,27,0.025,0,0.196,0.752,0.160,0.250,0.084,not_reached,not_reached,not_reached,0.305,17,0.820,0.137,false
1.000,0.150,linear,105,success,true,true,false,false,22,15,8,0,20,21,2,true,not_reached,not_reached,0.026,0,0.196,0.797,0.891,0.839,0.046,0.810,0.169,0.025,0.940,97,0.899,0.195,false
