initial_comb_tilt,vertical_comb_benefit,vertical_comb_modifier,seed,outcome,generation,average_directional_bias,average_receiver_attention,average_sender_transposition,average_receiver_transposition,average_min_transposition,average_transposition_gap,average_comb_tilt,average_comb_orientation,comb_orientation_alignment,average_search_limit,average_success,average_payoff
1.000,0.050,linear,101,flat_recovered_collapse,0,0.071,0.114,0.000,0.000,0.000,0.000,1.000,2.735,0.130,2.217,0.023,0.001
1.000,0.050,linear,101,flat_recovered_collapse,1,0.094,0.101,0.020,0.025,0.020,0.005,0.976,2.248,0.229,2.050,0.020,0.001
1.000,0.050,linear,101,flat_recovered_collapse,2,0.111,0.099,0.046,0.041,0.041,0.005,0.965,2.512,0.097,2.009,0.021,0.002
1.000,0.050,linear,101,flat_recovered_collapse,3,0.102,0.070,0.043,0.046,0.043,0.003,0.954,3.106,0.319,1.689,0.016,0.001
1.000,0.050,linear,101,flat_recovered_collapse,4,0.120,0.107,0.071,0.084,0.071,0.012,0.949,2.614,0.203,1.802,0.020,0.001
1.000,0.050,linear,101,flat_recovered_collapse,5,0.147,0.122,0.092,0.086,0.086,0.006,0.935,2.702,0.308,1.751,0.017,0.001
1.000,0.050,linear,101,flat_recovered_collapse,6,0.161,0.130,0.110,0.091,0.091,0.019,0.916,2.372,0.079,1.678,0.018,0.001
1.000,0.050,linear,101,flat_recovered_collapse,7,0.173,0.123,0.130,0.097,0.097,0.033,0.884,1.125,0.069,1.829,0.019,0.001
1.000,0.050,linear,101,flat_recovered_collapse,8,0.189,0.127,0.147,0.103,0.103,0.045,0.871,1.149,0.113,1.890,0.021,0.001
1.000,0.050,linear,101,flat_recovered_collapse,9,0.207,0.142,0.166,0.112,0.112,0.054,0.851,2.619,0.027,1.996,0.021,0.001
1.000,0.050,linear,101,flat_recovered_collapse,10,0.241,0.158,0.158,0.102,0.102,0.056,0.858,1.908,0.101,2.007,0.023,0.002
1.000,0.050,linear,101,flat_recovered_collapse,11,0.447,0.245,0.122,0.163,0.122,0.041,0.920,1.732,0.539,3.152,0.044,0.005
1.000,0.050,linear,101,flat_recovered_collapse,12,0.531,0.328,0.091,0.213,0.091,0.122,0.947,1.863,0.724,3.935,0.057,0.001
1.000,0.050,linear,101,flat_recovered_collapse,13,0.549,0.345,0.104,0.237,0.104,0.133,0.943,1.829,0.579,4.073,0.060,0.004
