initial_comb_tilt,vertical_comb_benefit,seed,generations,comb_orientation_axial,transposition_mutation_correlation,gravity_reach_generation,directional_reach_generation,vertical_reach_generation,collapsed,recovered_from_collapse,retained_vertical,initial_success,min_success,min_success_generation,final_bias,final_attention,final_sender_transposition,final_receiver_transposition,final_min_transposition,final_transposition_gap,final_comb_tilt,final_comb_orientation_alignment,final_search_limit,final_success,final_payoff,success_delta,elapsed_seconds
0.000,0.150,101,120,true,0.600,not_reached,8,not_reached,false,false,false,0.023,0.021,1,0.867,0.897,0.392,0.278,0.278,0.114,0.112,0.290,7.215,0.195,0.750,0.173,15.418
0.000,0.150,102,120,true,0.600,not_reached,5,not_reached,false,false,false,0.026,0.022,2,0.867,0.908,0.191,0.489,0.191,0.298,0.078,0.348,7.212,0.197,0.768,0.172,15.707
0.000,0.150,103,120,true,0.600,not_reached,8,not_reached,false,false,false,0.027,0.023,2,0.848,0.882,0.178,0.218,0.178,0.040,0.134,0.127,7.336,0.204,0.844,0.177,16.235
0.000,0.150,104,120,true,0.600,not_reached,7,not_reached,false,false,false,0.027,0.027,0,0.882,0.917,0.183,0.204,0.183,0.021,0.107,0.154,7.361,0.202,0.798,0.176,16.384
0.000,0.150,105,120,true,0.600,not_reached,5,not_reached,false,false,false,0.026,0.026,0,0.818,0.865,0.222,0.196,0.196,0.027,0.121,0.152,7.338,0.199,0.763,0.173,16.603
0.000,0.150,106,120,true,0.600,not_reached,9,not_reached,false,false,false,0.029,0.028,1,0.895,0.899,0.158,0.105,0.105,0.053,0.113,0.119,7.229,0.200,0.799,0.171,16.030
0.000,0.150,107,120,true,0.600,not_reached,6,not_reached,false,false,false,0.025,0.023,3,0.879,0.894,0.197,0.249,0.197,0.052,0.080,0.247,7.468,0.200,0.758,0.176,16.169
0.000,0.150,108,120,true,0.600,not_reached,8,not_reached,false,false,false,0.028,0.028,0,0.906,0.894,0.077,0.216,0.077,0.139,0.121,0.183,7.241,0.205,0.861,0.177,16.335
0.000,0.150,109,120,true,0.600,not_reached,7,not_reached,false,false,false,0.027,0.027,0,0.861,0.908,0.187,0.249,0.187,0.061,0.095,0.014,7.254,0.194,0.724,0.167,16.504
0.000,0.150,110,120,true,0.600,not_reached,10,not_reached,false,false,false,0.026,0.024,3,0.878,0.852,0.129,0.129,0.129,0.000,0.221,0.190,7.316,0.196,0.759,0.170,16.006
0.000,0.200,101,120,true,0.600,not_reached,8,not_reached,false,false,false,0.023,0.021,1,0.837,0.916,0.281,0.193,0.193,0.087,0.095,0.256,7.436,0.201,0.789,0.178,16.554
0.000,0.200,102,120,true,0.600,not_reached,12,not_reached,false,false,false,0.026,0.022,2,0.902,0.862,0.248,0.358,0.248,0.110,0.102,0.268,6.988,0.187,0.696,0.162,15.714
