initial_comb_tilt,vertical_comb_benefit,vertical_comb_modifier,seeds,generations,comb_orientation_axial,transposition_mutation_correlation,reached_gravity_fraction,mean_gravity_reach_generation,gravity_reach_generation_sd,reached_directional_fraction,mean_directional_reach_generation,directional_reach_generation_sd,reached_vertical_fraction,mean_vertical_reach_generation,vertical_reach_generation_sd,retained_vertical_fraction,collapse_fraction,recovered_from_collapse_fraction,mean_initial_success,mean_min_success,mean_min_success_generation,mean_final_bias,mean_final_attention,mean_final_sender_transposition,mean_final_receiver_transposition,mean_final_min_transposition,mean_final_transposition_gap,mean_final_comb_tilt,mean_final_comb_orientation_alignment,mean_final_search_limit,mean_final_success,mean_final_payoff,mean_success_delta,elapsed_seconds
0.000,0.050,linear,10,120,true,0.600,0.000,not_reached,0.000,1.000,7.700,1.552,0.000,not_reached,0.000,0.000,0.000,0.000,0.026,0.025,1.200,0.858,0.881,0.189,0.199,0.176,0.036,0.102,0.201,7.280,0.199,0.775,0.173,191.441
0.000,0.100,linear,10,120,true,0.600,0.000,not_reached,0.000,1.000,7.900,1.921,0.000,not_reached,0.000,0.000,0.000,0.000,0.026,0.025,1.200,0.888,0.885,0.172,0.256,0.158,0.112,0.132,0.210,7.207,0.195,0.740,0.169,168.324
0.000,0.150,linear,10,120,true,0.600,0.000,not_reached,0.000,1.000,7.900,1.758,0.000,not_reached,0.000,0.000,0.000,0.000,0.026,0.025,1.200,0.864,0.888,0.184,0.204,0.160,0.069,0.138,0.201,7.316,0.196,0.737,0.170,171.077
0.000,0.200,linear,10,120,true,0.600,0.000,not_reached,0.000,1.000,8.200,1.778,0.000,not_reached,0.000,0.000,0.000,0.000,0.026,0.025,1.200,0.858,0.887,0.174,0.195,0.162,0.046,0.137,0.204,7.284,0.196,0.748,0.170,171.377
0.000,0.250,linear,10,120,true,0.600,0.000,not_reached,0.000,1.000,7.900,2.385,0.000,not_reached,0.000,0.000,0.000,0.000,0.026,0.025,1.200,0.874,0.870,0.197,0.242,0.192,0.056,0.128,0.197,7.243,0.195,0.744,0.169,171.401
0.000,0.050,threshold_0.8,10,120,true,0.600,0.000,not_reached,0.000,1.000,7.900,2.022,0.000,not_reached,0.000,0.000,0.000,0.000,0.026,0.025,1.200,0.890,0.891,0.200,0.227,0.193,0.041,0.125,0.213,7.331,0.200,0.771,0.174,171.249
0.000,0.100,threshold_0.8,10,120,true,0.600,0.000,not_reached,0.000,1.000,7.900,2.022,0.000,not_reached,0.000,0.000,0.000,0.000,0.026,0.025,1.200,0.890,0.891,0.200,0.227,0.193,0.041,0.125,0.213,7.331,0.200,0.771,0.174,172.013
0.000,0.150,threshold_0.8,10,120,true,0.600,0.000,not_reached,0.000,1.000,7.900,2.022,0.000,not_reached,0.000,0.000,0.000,0.000,0.026,0.025,1.200,0.890,0.891,0.200,0.227,0.193,0.041,0.125,0.213,7.331,0.200,0.771,0.174,186.273
0.000,0.200,threshold_0.8,10,120,true,0.600,0.000,not_reached,0.000,1.000,7.900,2.022,0.000,not_reached,0.000,0.000,0.000,0.000,0.026,0.025,1.200,0.890,0.891,0.200,0.227,0.193,0.041,0.125,0.213,7.331,0.200,0.771,0.174,200.211
0.000,0.250,threshold_0.8,10,120,true,0.600,0.000,not_reached,0.000,1.000,7.900,2.022,0.000,not_reached,0.000,0.000,0.000,0.000,0.026,0.025,1.200,0.890,0.891,0.200,0.227,0.193,0.041,0.125,0.213,7.331,0.200,0.771,0.174,199.857
0.500,0.050,linear,10,120,true,0.600,0.000,not_reached,0.000,1.000,8.200,2.482,0.000,not_reached,0.000,0.000,0.200,0.200,0.025,0.024,1.000,0.868,0.880,0.218,0.198,0.194,0.028,0.118,0.205,7.302,0.199,0.764,0.173,198.758
0.500,0.100,linear,10,120,true,0.600,0.000,not_reached,0.000,1.000,11.600,3.980,0.000,not_reached,0.000,0.000,0.200,0.200,0.025,0.024,0.900,0.884,0.886,0.177,0.231,0.170,0.069,0.133,0.154,7.295,0.199,0.774,0.174,193.456
0.500,0.150,linear,10,120,true,0.600,0.000,not_reached,0.000,1.000,11.400,2.939,0.000,not_reached,0.000,0.000,0.100,0.100,0.025,0.024,1.400,0.878,0.892,0.191,0.201,0.167,0.058,0.132,0.219,7.301,0.201,0.794,0.175,204.259
0.500,0.200,linear,10,120,true,0.600,0.000,not_reached,0.000,1.000,11.900,4.908,0.000,not_reached,0.000,0.000,0.100,0.100,0.025,0.024,1.200,0.874,0.896,0.155,0.197,0.148,0.057,0.125,0.202,7.257,0.197,0.766,0.172,185.829
0.500,0.250,linear,10,120,true,0.600,0.000,not_reached,0.000,1.000,10.300,4.173,0.000,not_reached,0.000,0.000,0.100,0.100,0.025,0.024,1.100,0.900,0.887,0.196,0.201,0.178,0.040,0.118,0.269,7.302,0.202,0.814,0.176,184.804
0.500,0.050,threshold_0.8,10,120,true,0.600,0.000,not_reached,0.000,1.000,10.700,3.068,0.000,not_reached,0.000,0.000,0.100,0.100,0.025,0.024,1.000,0.855,0.866,0.219,0.254,0.207,0.059,0.111,0.207,7.202,0.195,0.726,0.169,190.208
0.500,0.100,threshold_0.8,10,120,true,0.600,0.000,not_reached,0.000,1.000,10.700,3.068,0.000,not_reached,0.000,0.000,0.100,0.100,0.025,0.024,1.000,0.855,0.866,0.219,0.254,0.207,0.059,0.111,0.207,7.202,0.195,0.726,0.169,183.665
0.500,0.150,threshold_0.8,10,120,true,0.600,0.000,not_reached,0.000,1.000,10.700,3.068,0.000,not_reached,0.000,0.000,0.100,0.100,0.025,0.024,1.000,0.855,0.866,0.219,0.254,0.207,0.059,0.111,0.207,7.202,0.195,0.726,0.169,183.452
0.500,0.200,threshold_0.8,10,120,true,0.600,0.000,not_reached,0.000,1.000,10.700,3.068,0.000,not_reached,0.000,0.000,0.100,0.100,0.025,0.024,1.000,0.855,0.866,0.219,0.254,0.207,0.059,0.111,0.207,7.202,0.195,0.726,0.169,183.676
0.500,0.250,threshold_0.8,10,120,true,0.600,0.000,not_reached,0.000,1.000,10.700,3.068,0.000,not_reached,0.000,0.000,0.100,0.100,0.025,0.024,1.000,0.855,0.866,0.219,0.254,0.207,0.059,0.111,0.207,7.202,0.195,0.726,0.169,187.534
